Change in global mean sea level (GMSL) in millimeters compared to 1995-2014 average
Year,Central Estimate,Structural Unc. (1-sigma),Internal Unc. (1-sigma),Total Unc. (1-sigma)
1900.5,-158.0177265158238,9.54635146812363,25.32,27.059845275850083
1901.5,-156.30335979414448,10.18900787657809,25.17,27.15409327355584
1902.5,-157.8716792463579,13.35597355982452,25.01,28.352815199389493
1903.5,-151.71430101179837,18.531288562130865,24.86,31.0069065818079
1904.5,-153.9539361158885,10.632799784075807,25.099999999999998,27.25924487670637
1905.5,-152.5049442816797,14.573086224928145,24.55,28.54955940324107
1906.5,-155.05177904163645,10.393903946140078,24.4,26.521561779834652
1907.5,-152.67587554085108,12.339137296930765,24.25,27.208763463864138
1908.5,-157.9041932035102,16.007750547137945,24.1,28.931955992974192
1909.5,-154.7364518313021,12.966095037348785,23.95,27.234575827751765
1910.5,-153.92662581074123,12.714652510695094,23.8,26.983372444298453
1911.5,-145.03676835758367,10.63130966072247,23.65,25.929659563946664
1912.5,-143.2329816246336,12.987778275562885,23.51,26.85893677223995
1913.5,-139.74376805433744,12.541729676134551,23.36,26.513856439025123
1914.5,-136.56622680206215,14.947742962645108,23.21,27.60686725576277
1915.5,-132.15746776490928,11.190286020327433,23.07,25.640737142616157
1916.5,-141.81656488228637,11.780511998129716,22.92,25.77027091316811
1917.5,-139.78029478785183,13.840489296626295,22.77,26.646426476547038
1918.5,-138.04931423450293,11.334495131750893,22.62,25.300892867479693
1919.5,-135.01620270535892,12.272590229240336,22.48,25.611850205224247
1920.5,-131.7765758798611,12.038081462304591,22.33,25.36817504853436
1921.5,-131.18879136420836,11.123422569200475,22.18,24.812958905640386
1922.5,-131.28440777947495,12.306770931024918,22.04,25.243181470423252
1923.5,-135.5327104666974,9.97109650062482,21.89,24.053998948714796
1924.5,-136.11352636988522,13.505360557378014,21.74,25.593404693099775
1925.5,-136.54118970580274,12.357397388054501,21.59,24.876361675419822
1926.5,-134.54409141536414,9.893042212801804,21.44,23.612409538720918
1927.5,-132.38948604923362,10.183903555929195,21.29,23.600338803425412
1928.5,-133.88751924930668,12.045849921438153,21.14,24.33109328266635
1929.5,-132.85426656036705,12.630135970987395,20.99,24.496947455665364
1930.5,-129.42145572375952,11.54710089095451,20.9,23.87772055674248
1931.5,-129.52005214444023,11.979997341129542,20.9,24.090046415344883
1932.5,-122.37267476810707,11.641531165241323,20.9,23.923529168399988
1933.5,-122.54617623335861,9.589103390764816,20.9,22.99480166991612
1934.5,-128.0406127846978,13.837176011721207,20.9,25.065463091260707
1935.5,-120.9335652435658,11.902060372789471,20.6,23.791154682308413
1936.5,-123.63448789685167,14.47420099417351,20.099999999999998,24.769184371305677
1937.5,-118.11074142771729,12.734846370449633,20.299999999999997,23.96385428262645
1938.5,-113.40048774278957,13.559964539641184,19.8,23.99817989590724
1939.5,-109.26573664062,11.647095985508992,20.099999999999998,23.23068756829336
1940.5,-113.92505324498165,16.88007087945033,20.299999999999997,26.40126498664916
1941.5,-103.957632660496,12.229711218877194,20.2,23.613679012325264
1942.5,-103.3622325678301,11.2415715432471,20.2,23.11737292085636
1943.5,-100.87942888784268,11.75210402131392,20.6,23.716491075363212
1944.5,-105.08516157180355,15.162438182935192,20.099999999999998,25.17756008137665
1945.5,-103.632354486269,14.700108640766592,20.0,24.821224668624644
1946.5,-95.01797059717637,13.528554731308361,19.3,23.569297679778366
1947.5,-96.16677034565807,12.637552016737361,18.700000000000003,22.56984096035554
1948.5,-91.58029260724832,11.514372511005304,18.5,21.790612068553617
1949.5,-87.28471827224212,14.519097850805235,18.5,23.51710446464992
1950.5,-87.51504458161752,13.878336729655162,18.6,23.20707285250976
1951.5,-80.41651429572372,11.211863575441928,18.2,21.37629258862073
1952.5,-80.41494272843538,12.340502568905222,18.3,22.07210917998451
1953.5,-76.97374008492166,11.817271336081104,18.3,21.783890879054738
1954.5,-81.04049794817566,12.252152990009971,18.2,21.939809773346035
1955.5,-79.65047996445043,11.596272328813699,18.3,21.664799374192466
1956.5,-85.29954674882363,12.668241361246269,18.3,22.2570065189996
1957.5,-74.56160415678416,8.994290579108029,17.1,19.321161016394214
1958.5,-74.74817426346608,8.532899088067891,16.45,18.531402182434814
1959.5,-73.52433454475852,8.850941832237758,16.28,18.530449841211528
1960.5,-70.36446457428066,8.648598079936274,16.12,18.293513843662662
1961.5,-68.64660258222823,6.307668812674262,15.96,17.161243715138585
1962.5,-70.96787234889803,7.836829124944235,15.8,17.63677665373053
1963.5,-71.20824852428962,8.919164383351399,17.4,19.552787353654825
1964.5,-75.33125204771589,10.74161828697433,17.2,20.27861838052734
1965.5,-68.38794381435757,7.708937597777294,17.7,19.30589855164541
1966.5,-72.16109252372533,8.923882779330839,15.13,17.56566491366716
1967.5,-72.36956152540142,8.590470193725242,14.95,17.242351294103766
1968.5,-72.09580698396475,8.006297638085147,14.78,16.80919991759298
1969.5,-68.83779024267643,6.714775063033539,14.61,16.079188541314423
1970.5,-69.98759225534813,6.244131115318777,14.8,16.063286506356416
1971.5,-64.07604467697125,6.576116595500157,14.5,15.921536027582658
1972.5,-62.29880611847301,3.4115939346496478,14.399999999999999,14.798613893704308
1973.5,-65.82347949270446,4.1134281063196045,14.399999999999999,14.975990477623176
1974.5,-59.590213957017376,4.527055406541293,14.5,15.190267629436118
1975.5,-56.940293784748405,4.436070685590202,14.1,14.78136404827216
1976.5,-59.781966527287715,3.0731974719830792,14.2,14.528748834700226
1977.5,-58.26482911112921,6.090644697336068,14.0,15.267480238375551
