# OHC[10**22 J]
# Region : GLOBAL
# A(0-700) : Deviation from 1955 [0-700m]
# A(700-2000) : Deviation from 1955 [700-2000m]
# A(0-2000) : Deviation from 1955 [0-2000m]
# E(0-2000) : Analysis error (confidence interval 95%) [0-2000m]
 Year    A(0-700) A(700-2000)   A(0-2000)   E(0-2000)
 1955        0.00        0.00        0.00        3.69
 1956        1.54        0.57        2.12        3.67
 1957        0.49       -0.15        0.33        3.64
 1958        3.69        0.29        3.98        3.61
 1959        2.10        0.13        2.23        3.64
 1960        3.79        1.24        5.03        3.60
 1961        5.27        1.11        6.38        3.60
 1962        6.39        1.82        8.22        3.58
 1963        5.68        1.99        7.67        3.55
 1964        4.73        2.56        7.29        3.54
 1965        4.30        3.06        7.36        3.51
 1966        5.09        3.31        8.40        3.49
 1967        3.54        2.14        5.68        3.45
 1968        2.26        1.59        3.85        3.40
 1969        2.95        1.94        4.90        3.40
 1970        3.74        2.58        6.32        3.36
 1971        5.17        3.49        8.65        3.28
 1972        5.99        2.03        8.03        3.30
 1973        6.05        2.49        8.54        3.32
 1974        5.64        2.40        8.04        3.36
 1975        7.05        3.70       10.75        3.38
 1976        6.35        3.36        9.71        3.33
 1977        6.26        3.40        9.67        3.34
 1978        6.58        3.22        9.80        3.32
 1979        7.20        2.90       10.11        3.28
 1980        9.08        4.29       13.38        3.26
 1981       10.29        3.82       14.11        3.26
 1982        9.23        2.67       11.90        3.25
 1983        7.56        3.47       11.04        3.23
 1984        8.67        3.80       12.47        3.25
 1985        9.57        4.20       13.77        3.21
 1986        8.96        4.96       13.92        3.21
 1987        8.22        3.95       12.17        3.17
 1988       10.10        4.55       14.64        3.17
 1989        9.89        4.97       14.86        3.19
 1990       10.29        4.61       14.90        3.11
 1991       11.17        4.86       16.03        3.11
 1992       12.24        6.54       18.78        3.09
 1993       11.91        6.88       18.79        3.06
 1994       12.12        6.84       18.96        3.11
 1995       10.34        5.66       16.00        3.07
 1996       12.36        6.57       18.93        3.06
 1997       12.42        7.25       19.67        3.05
 1998       12.55        5.64       18.18        3.03
 1999       14.52        6.84       21.36        3.03
 2000       13.57        6.54       20.11        3.05
 2001       14.71        7.49       22.20        3.06
 2002       17.14        7.99       25.13        2.99
 2003       19.12        9.02       28.13        2.82
 2004       18.38        9.18       27.56        2.65
 2005       18.25        9.78       28.03        2.50
 2006       19.01       10.39       29.40        2.43
 2007       17.57       10.02       27.58        2.37
 2008       18.95       10.38       29.34        2.32
 2009       20.01       10.78       30.79        2.28
 2010       19.89       11.05       30.94        2.27
 2011       20.66       11.76       32.41        2.26
 2012       20.41       12.21       32.62        2.25
 2013       22.24       13.25       35.49        2.34
 2014       22.45       13.70       36.15        2.34
 2015       23.90       14.18       38.08        2.31
 2016       22.95       14.13       37.08        2.31
 2017       25.15       14.93       40.08        2.31
 2018       26.01       14.71       40.73        2.32
 2019       27.30       15.45       42.74        2.36
