"CMIP_time","CMIP","CMIP_Likely_lbound","CMIP_VeryLikely_lbound","CMIP_Likely_ubound","CMIP_VeryLikely_ubound","SSP126_time","SSP126","SSP126_Likely_lbound","SSP126_VeryLikely_lbound","SSP126_Likely_ubound","SSP126_VeryLikely_ubound","SSP245_time","SSP245","SSP245_Likely_lbound","SSP245_VeryLikely_lbound","SSP245_Likely_ubound","SSP245_VeryLikely_ubound","SSP370_time","SSP370","SSP370_Likely_lbound","SSP370_VeryLikely_lbound","SSP370_Likely_ubound","SSP370_VeryLikely_ubound","SSP585_time","SSP585","SSP585_Likely_lbound","SSP585_VeryLikely_lbound","SSP585_Likely_ubound","SSP585_VeryLikely_ubound","Zanna_time","Zanna","Zanna_Likely_lbound","Zanna_Likely_ubound","Ishii2k_time","Ishii2k","Ishii2k_Likely_lbound","Ishii2k_Likely_ubound",
1850,-0.22047,-0.396,-0.49934,-0.053175,0.052216,2015,0.070237,0.063645,-0.045398,0.088131,0.10678,2015,0.080794,0.067724,0.054829,0.093307,0.10825,2015,0.074354,0.064757,0.0029488,0.089131,0.10647,2015,0.081304,0.070166,0.055574,0.093488,0.1076,1870,-0.38768,-0.82317,-0.72756,1955,-0.31533,-0.33378,-0.29688,
1850.0833,-0.22549,-0.4006,-0.50422,-0.057655,0.047383,2015.0833,0.065602,0.058899,-0.049583,0.083385,0.10256,2015.0833,0.076092,0.063224,0.049142,0.08903,0.10419,2015.0833,0.069745,0.058807,-0.0010443,0.08447,0.10227,2015.0833,0.07669,0.065925,0.049841,0.089158,0.10378,1871,-0.38655,-0.82146,-0.72701,1956,-0.29413,-0.31248,-0.27578,
1850.1667,-0.23108,-0.40584,-0.50934,-0.0627,0.041681,2015.1667,0.060443,0.053565,-0.054441,0.078292,0.097415,2015.1667,0.070844,0.058217,0.043246,0.084083,0.099033,2015.1667,0.064576,0.052431,-0.0057892,0.079353,0.09738,2015.1667,0.071527,0.061171,0.043807,0.084551,0.098957,1872,-0.38472,-0.82151,-0.7233,1957,-0.31202,-0.33022,-0.29383,
1850.25,-0.23574,-0.41015,-0.51359,-0.067063,0.036698,2015.25,0.056256,0.048824,-0.058302,0.07431,0.092883,2015.25,0.066566,0.054091,0.038436,0.080031,0.094565,2015.25,0.060377,0.047243,-0.0095357,0.075243,0.093268,2015.25,0.067339,0.05704,0.038927,0.080912,0.094943,1873,-0.38616,-0.82581,-0.72189,1958,-0.27553,-0.29358,-0.25748,
1850.3333,-0.23871,-0.41299,-0.51641,-0.069709,0.033388,2015.3333,0.053712,0.045756,-0.060428,0.071978,0.089857,2015.3333,0.063935,0.051229,0.035495,0.07771,0.091619,2015.3333,0.057819,0.043931,-0.011548,0.072804,0.090542,2015.3333,0.064798,0.054494,0.035942,0.078673,0.092418,1874,-0.38639,-0.82609,-0.72205,1959,-0.29303,-0.31123,-0.27483,
1850.4167,-0.24006,-0.41444,-0.51776,-0.070791,0.031835,2015.4167,0.052781,0.044395,-0.060978,0.071132,0.088558,2015.4167,0.062923,0.050003,0.034381,0.076792,0.090375,2015.4167,0.05688,0.042295,-0.011835,0.071995,0.089356,2015.4167,0.063915,0.053644,0.034834,0.077898,0.091572,1875,-0.38816,-0.83188,-0.7198,1960,-0.26503,-0.28303,-0.24702,
1850.5,-0.24016,-0.41476,-0.518,-0.07065,0.031573,2015.5,0.053152,0.044471,-0.060344,0.071466,0.088734,2015.5,0.063235,0.050082,0.034786,0.077057,0.090664,2015.5,0.057268,0.04228,-0.010942,0.072518,0.089631,2015.5,0.064336,0.053981,0.035241,0.07817,0.092187,1876,-0.38493,-0.82211,-0.72311,1961,-0.25152,-0.26953,-0.23352,
1850.5833,-0.2397,-0.41472,-0.51852,-0.070143,0.031695,2015.5833,0.054815,0.04508,-0.05626,0.072475,0.09048,2015.5833,0.064847,0.050661,0.036006,0.077906,0.095117,2015.5833,0.058949,0.043115,-0.0068943,0.073626,0.091354,2015.5833,0.066068,0.054941,0.03643,0.079272,0.096265,1877,-0.3796,-0.81695,-0.71761,1962,-0.23312,-0.25103,-0.21522,
1850.6667,-0.23958,-0.41464,-0.51895,-0.069666,0.03192,2015.6667,0.055821,0.045698,-0.055447,0.073567,0.092032,2015.6667,0.065768,0.051233,0.037238,0.078708,0.096059,2015.6667,0.059978,0.044208,-0.006027,0.074648,0.092781,2015.6667,0.067163,0.055995,0.037537,0.080307,0.09774,1878,-0.37501,-0.81195,-0.71344,1963,-0.23863,-0.25638,-0.22088,
1850.75,-0.23947,-0.41474,-0.51941,-0.06929,0.032015,2015.75,0.056742,0.046278,-0.054735,0.074593,0.093258,2015.75,0.066717,0.051972,0.038583,0.079467,0.096925,2015.75,0.06097,0.04542,-0.0050926,0.075463,0.093977,2015.75,0.068196,0.056949,0.038711,0.081125,0.09916,1879,-0.37184,-0.81037,-0.70868,1964,-0.24242,-0.26012,-0.22472,
