Data reference syntax to experiment level,Sub-experiment ID,Ensemble member,Table ID,Variable name,Grid label,Version number on ESGF,Subpanel
CMIP6.CMIP.THU.CIESM.historical,none,r1i1p1f1,Amon,tas,gr,v20200417,
CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245,none,r1i1p1f1,SImon,siconc,gn,v20190710,
CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp245,none,r4i1p1f3,SImon,siconc,gn,v20190908,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.historical,none,r7i1p1f1,SImon,siareas,gn,v20190710,
CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp585,none,r1i1p1f1,Amon,tas,gr1,v20190603,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.historical,none,r10i1p1f1,SImon,siareas,gn,v20190710,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126,none,r22i1p1f1,Amon,tas,gn,v20190429,
CMIP6.CMIP.INM.INM-CM4-8.historical,none,r1i1p1f1,SImon,siarean,gr1,v20190530,
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp585,none,r8i1p1f1,SImon,siarean,gn,v20190710,
CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp585,none,r2i1p1f3,Amon,tas,gn,v20200121,
CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp126,none,r3i1p1f2,Amon,tas,gn,v20200318,
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical,none,r19i1p1f1,Amon,tas,gr,v20191017,
CMIP6.CMIP.NCC.NorCPM1.historical,none,r29i1p1f1,SImon,siconc,gn,v20190914,
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp126,none,r3i1p1f1,SImon,siarean,gn,??,
CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp585,none,r2i1p1f1,SImon,siconc,gn,v20191029,
CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp585,none,r3i1p1f1,Amon,tas,gn,v20200206,
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp245,none,r2i1p1f2,Amon,tas,gr,v20190410,
