year,accumulation,accumulation 1sigma,melt,melt 1sigma,retention,retention 1sigma,runoff,runoff 1sigma,discharge from 6 year lagged average runoff,discharge 1sigma,TMB,TMB 1sigma
1840, 645.43,  65.82, 277.70,  64.34, 143.07,  48.72, 173.56,  46.15, 406.08,  36.65,  65.79,  87.53
1841, 615.82,  64.31, 187.44,  43.80, 119.50,  41.33, 137.34,  35.70, 406.08,  36.19,  72.40,  81.67
1842, 530.53,  54.92, 272.84,  63.15, 173.13,  60.81, 178.91,  47.18, 406.08,  37.49, -54.46,  81.23
1843, 551.63,  56.82, 337.38,  78.34, 156.50,  53.52, 207.53,  56.09, 406.08,  36.59, -61.98,  88.13
1844, 526.33,  54.13, 331.29,  75.60, 143.10,  49.55, 215.36,  57.46, 406.08,  36.36, -95.11,  87.08
1845, 631.05,  65.36, 434.45, 100.75, 172.42,  59.63, 274.97,  71.74, 417.88,  39.42, -61.80, 104.50
1846, 606.21,  62.83, 199.60,  46.33, 120.19,  41.42, 141.04,  36.35, 413.73,  39.20,  51.44,  81.95
1847, 670.49,  67.60, 243.15,  56.72, 180.24,  62.14, 148.38,  38.45, 415.14,  38.63, 106.97,  86.33
1848, 615.24,  62.54, 478.22, 109.36, 199.64,  68.44, 281.32,  72.15, 428.22,  42.03, -94.30, 101.80
1849, 637.61,  65.73, 302.83,  69.87, 149.61,  50.43, 184.54,  47.21, 425.28,  41.23,  27.79,  90.08
1850, 622.31,  63.43, 388.07,  88.65, 174.01,  58.68, 231.81,  59.24, 427.38,  41.00, -36.88,  96.09
1851, 637.00,  64.98, 314.86,  70.97, 144.15,  48.51, 198.80,  51.31, 417.65,  39.03,  20.55,  91.88
1852, 648.54,  64.99, 447.87, 102.51, 186.56,  63.61, 265.58,  68.05, 433.56,  42.97, -50.60, 102.49
1853, 614.78,  62.65, 382.57,  87.39, 163.90,  54.79, 235.48,  59.25, 444.69,  46.06, -65.39,  97.73
1854, 672.17,  68.44, 396.34,  88.13, 159.49,  53.22, 248.64,  63.03, 440.51,  44.42, -16.98, 104.43
1855, 637.67,  63.92, 253.15,  58.20, 129.11,  42.80, 168.30,  43.53, 438.44,  44.16,  30.93,  90.44
1856, 705.69,  72.05, 353.73,  79.69, 157.69,  52.88, 216.44,  54.97, 436.48,  43.10,  52.77, 100.10
1857, 618.41,  61.09, 477.36, 107.46, 195.16,  64.52, 284.45,  72.68, 447.42,  46.17,-113.46, 106.15
1858, 569.44,  57.08, 383.77,  85.48, 164.07,  54.91, 237.39,  61.45, 443.82,  44.93,-111.77,  95.15
1859, 571.53,  56.99, 259.59,  58.01, 148.90,  49.12, 164.38,  41.93, 434.73,  41.68, -27.58,  82.28
1860, 634.07,  62.77, 379.22,  85.05, 172.19,  57.70, 226.27,  56.89, 431.88,  41.35, -24.08,  93.93
1861, 601.98,  59.08, 210.62,  46.42, 117.49,  39.08, 146.55,  37.54, 429.10,  41.13,  26.33,  80.14
1862, 624.74,  60.04, 245.05,  55.26, 125.79,  41.18, 167.14,  42.44, 422.80,  38.91,  34.80,  83.04
1863, 601.87,  59.91, 142.05,  32.17, 107.98,  35.70, 110.67,  27.82, 400.60,  33.66,  90.60,  73.61
1864, 604.52,  60.59, 213.95,  46.27, 169.02,  54.89, 143.97,  35.70, 388.67,  30.30,  71.88,  77.19
1865, 555.05,  55.44, 225.25,  49.20, 176.40,  58.18, 152.34,  37.59, 387.13,  29.62,  15.58,  73.31
1866, 538.76,  52.94, 249.05,  53.98, 128.98,  42.61, 165.02,  40.69, 379.31,  27.96,  -5.57,  73.49
1867, 595.63,  57.67, 365.29,  79.74, 154.96,  50.02, 229.81,  56.91, 389.94,  30.99, -24.12,  87.03
1868, 620.18,  59.93, 178.98,  39.54, 111.46,  36.19, 131.71,  32.63, 385.42,  29.37, 103.05,  74.69
1869, 607.42,  59.86, 286.84,  62.75, 181.55,  59.77, 179.29,  43.78, 394.18,  31.31,  33.95,  80.40
1870, 603.59,  57.93, 302.20,  65.48, 135.15,  44.25, 199.32,  48.05, 401.25,  33.10,   3.02,  82.79
1871, 632.82,  62.16, 425.52,  91.90, 183.36,  57.96, 252.45,  61.89, 414.04,  36.49, -33.67,  93.96
1872, 684.40,  67.18, 461.43, 101.08, 180.75,  57.36, 283.21,  68.54, 429.14,  40.16, -27.95, 102.30
1873, 639.35,  61.59, 272.87,  59.75, 137.83,  45.58, 177.58,  43.74, 422.47,  37.87,  39.30,  84.66
1874, 594.93,  57.59, 325.69,  69.15, 151.21,  47.74, 204.96,  49.84, 431.82,  40.72, -41.85,  87.58
