Participant Surname,Experiment Group,Drainage Region,Drainage Region ID,Drainage Region Area (km2),Drainage Region Area Observed (km2),Date,Relative Mass Change (Gt),Relative Mass Change Uncertainty (Gt)
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1979.000,    -70.28,  191.122
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1979.083,   -108.94,  193.462
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1979.167,    -43.10,  195.774
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1979.250,    -41.49,  198.060
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1979.333,     -9.56,  200.319
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1979.417,    -15.27,  202.553
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1979.500,    -20.12,  204.763
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1979.583,    -28.78,  206.949
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1979.667,    -51.21,  209.112
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1979.750,    -62.23,  211.254
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1979.833,    -80.85,  213.373
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1979.917,   -173.20,  215.472
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1980.000,   -238.16,  217.551
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1980.083,   -246.40,  219.609
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1980.167,   -181.01,  221.649
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1980.250,   -142.47,  223.670
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1980.333,    -59.75,  225.673
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1980.417,    -46.38,  227.659
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1980.500,     23.82,  229.627
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1980.583,     -1.67,  231.579
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1980.667,    -15.12,  233.514
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1980.750,    -28.35,  235.433
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1980.833,   -106.74,  237.337
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1980.917,   -151.81,  239.226
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1981.000,   -222.20,  241.100
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1981.083,   -252.58,  242.959
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1981.167,   -221.88,  244.804
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1981.250,   -187.85,  246.636
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1981.333,   -169.89,  248.454
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1981.417,    -62.19,  250.259
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1981.500,      6.46,  252.050
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1981.583,     11.23,  253.830
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1981.667,     12.36,  255.596
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1981.750,    -32.29,  257.351
RIGNOT, mass budget , Rignot, AIS,12383490.000,12383490.000,    1981.833,    -69.93,  259.094
