Participant Surname,Experiment Group,Drainage Region,Drainage Region ID,Drainage Region Area (km2),Drainage Region Area Observed (km2),Date,Relative Mass Change (Gt),Relative Mass Change Uncertainty (Gt)
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1979.000,      1.18,   32.786
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1979.083,     -9.92,   33.187
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1979.167,      5.23,   33.584
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1979.250,     20.76,   33.976
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1979.333,     16.11,   34.364
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1979.417,      9.61,   34.747
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1979.500,     15.48,   35.126
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1979.583,     21.44,   35.501
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1979.667,     29.23,   35.872
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1979.750,     27.20,   36.239
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1979.833,     26.18,   36.603
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1979.917,     15.11,   36.963
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1980.000,      4.90,   37.320
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1980.083,     -8.86,   37.673
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1980.167,    -11.50,   38.023
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1980.250,    -25.05,   38.370
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1980.333,    -34.34,   38.713
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1980.417,    -46.43,   39.054
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1980.500,    -63.08,   39.391
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1980.583,    -75.88,   39.726
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1980.667,    -84.26,   40.058
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1980.750,    -73.01,   40.387
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1980.833,    -90.92,   40.714
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1980.917,    -90.10,   41.038
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1981.000,    -93.37,   41.359
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1981.083,    -96.67,   41.678
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1981.167,    -95.74,   41.995
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1981.250,    -90.48,   42.309
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1981.333,    -95.58,   42.621
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1981.417,    -89.65,   42.931
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1981.500,    -92.74,   43.238
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1981.583,    -99.35,   43.543
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1981.667,   -102.22,   43.846
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1981.750,   -109.20,   44.147
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1981.833,   -106.73,   44.446
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1981.917,   -115.16,   44.743
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1982.000,   -122.05,   45.038
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1982.083,   -132.92,   45.331
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1982.167,   -128.94,   45.623
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1982.250,   -113.14,   45.912
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1982.333,   -103.41,   46.199
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1982.417,    -85.77,   46.485
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1982.500,    -98.97,   46.769
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1982.583,    -91.81,   47.052
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1982.667,    -78.97,   47.332
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1982.750,    -79.80,   47.611
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1982.833,    -90.77,   47.889
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1982.917,   -102.68,   48.164
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1983.000,   -109.71,   48.438
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1983.083,   -115.28,   48.711
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1983.167,   -122.22,   48.982
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1983.250,   -112.52,   49.252
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1983.333,   -106.03,   49.520
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1983.417,    -95.56,   49.787
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1983.500,    -84.98,   50.052
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1983.583,    -60.80,   50.316
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1983.667,    -61.19,   50.578
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1983.750,    -58.64,   50.840
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1983.833,    -62.84,   51.099
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1983.917,    -65.31,   51.358
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1984.000,    -81.05,   51.615
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1984.083,    -91.80,   51.871
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1984.167,    -81.16,   52.126
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1984.250,    -81.80,   52.379
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1984.333,    -80.91,   52.631
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1984.417,    -90.63,   52.882
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1984.500,    -75.17,   53.132
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1984.583,    -64.53,   53.381
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1984.667,    -34.62,   53.629
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1984.750,    -47.11,   53.875
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1984.833,    -51.87,   54.120
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1984.917,    -53.57,   54.364
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1985.000,    -52.45,   54.607
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1985.083,    -65.04,   54.849
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1985.167,    -72.65,   55.090
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1985.250,    -75.38,   55.330
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1985.333,    -88.79,   55.569
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1985.417,    -86.73,   55.807
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1985.500,    -58.21,   56.044
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1985.583,    -58.20,   56.279
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1985.667,    -40.79,   56.514
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1985.750,    -18.65,   56.748
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1985.833,    -23.31,   56.981
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1985.917,    -28.59,   57.213
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1986.000,    -42.02,   57.444
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1986.083,    -51.44,   57.674
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1986.167,    -58.67,   57.903
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1986.250,    -63.81,   58.131
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1986.333,    -79.54,   58.359
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1986.417,    -88.71,   58.585
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1986.500,    -94.96,   58.811
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1986.583,   -101.74,   59.036
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1986.667,    -87.62,   59.260
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1986.750,    -77.38,   59.483
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1986.833,    -87.32,   59.705
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1986.917,    -91.36,   59.926
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1987.000,    -99.22,   60.147
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1987.083,   -103.29,   60.367
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1987.167,    -99.32,   60.586
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1987.250,   -108.12,   60.804
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1987.333,   -116.47,   61.021
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1987.417,   -126.14,   61.238
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1987.500,   -143.25,   61.454
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1987.583,   -129.70,   61.669
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1987.667,   -128.83,   61.883
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1987.750,   -127.65,   62.097
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1987.833,   -121.14,   62.310
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1987.917,   -122.92,   62.522
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1988.000,   -135.28,   62.733
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1988.083,   -137.70,   62.944
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1988.167,   -136.13,   63.154
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1988.250,   -137.21,   63.364
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1988.333,   -123.67,   63.572
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1988.417,   -133.25,   63.780
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1988.500,   -132.54,   63.988
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1988.583,   -138.48,   64.194
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1988.667,   -138.10,   64.400
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1988.750,   -144.13,   64.605
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1988.833,   -160.35,   64.810
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1988.917,   -166.99,   65.014
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1989.000,   -179.05,   65.218
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1989.083,   -179.69,   65.420
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1989.167,   -170.69,   65.622
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1989.250,   -190.05,   65.824
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1989.333,   -152.72,   66.025
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1989.417,   -150.03,   66.225
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1989.500,   -116.73,   66.425
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1989.583,   -111.06,   66.624
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1989.667,    -90.76,   66.822
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1989.750,    -78.65,   67.020
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1989.833,    -82.93,   67.218
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1989.917,    -98.07,   67.414
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1990.000,   -113.03,   67.610
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1990.083,   -106.14,   67.806
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1990.167,   -102.05,   68.001
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1990.250,   -111.99,   68.196
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1990.333,   -124.80,   68.389
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1990.417,   -124.92,   68.583
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1990.500,   -129.38,   68.776
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1990.583,   -130.23,   68.968
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1990.667,   -128.44,   69.160
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1990.750,   -139.96,   69.351
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1990.833,   -146.82,   69.542
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1990.917,   -154.44,   69.732
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1991.000,   -153.25,   69.921
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1991.083,   -166.05,   70.111
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1991.167,   -173.54,   70.299
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1991.250,   -182.59,   70.487
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1991.333,   -193.36,   70.675
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1991.417,   -200.35,   70.862
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1991.500,   -206.05,   71.049
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1991.583,   -192.04,   71.235
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1991.667,   -188.02,   71.421
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1991.750,   -185.69,   71.606
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1991.833,   -179.60,   71.790
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1991.917,   -195.72,   71.975
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1992.000,   -197.97,   72.158
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1992.083,   -202.50,   72.342
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1992.167,   -208.88,   72.525
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1992.250,   -211.30,   72.707
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1992.333,   -219.28,   72.889
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1992.417,   -232.45,   73.070
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1992.500,   -229.73,   73.251
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1992.583,   -229.98,   73.432
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1992.667,   -216.24,   73.612
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1992.750,   -229.11,   73.792
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1992.833,   -205.42,   73.971
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1992.917,   -193.28,   74.150
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1993.000,   -207.23,   74.328
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1993.083,   -206.94,   74.506
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1993.167,   -204.12,   74.684
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1993.250,   -202.38,   74.861
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1993.333,   -198.97,   75.038
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1993.417,   -201.10,   75.214
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1993.500,   -202.16,   75.390
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1993.583,   -199.57,   75.565
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1993.667,   -201.21,   75.740
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1993.750,   -193.07,   75.915
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1993.833,   -189.14,   76.089
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1993.917,   -203.09,   76.263
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1994.000,   -208.22,   76.436
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1994.083,   -213.03,   76.610
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1994.167,   -208.22,   76.782
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1994.250,   -206.85,   76.954
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1994.333,   -216.62,   77.126
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1994.417,   -226.26,   77.298
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1994.500,   -234.85,   77.469
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1994.583,   -220.85,   77.640
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1994.667,   -218.68,   77.810
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1994.750,   -233.02,   77.980
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1994.833,   -235.81,   78.150
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1994.917,   -236.36,   78.319
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1995.000,   -222.36,   78.488
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1995.083,   -220.97,   78.657
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1995.167,   -222.04,   78.825
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1995.250,   -220.45,   78.993
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1995.333,   -218.72,   79.160
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1995.417,   -230.25,   79.327
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1995.500,   -246.89,   79.494
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1995.583,   -248.88,   79.660
  RIGNOT, mass budget , Rignot, AP,  280363.562,  280363.562,    1995.667,   -246.62,   79.826
