   Year   ,  Bal-D  , Sigma , SMB-Bal , Sigma , SMB-D   , Sigma ,  D      , Bal     , Area
   1979.00,   -2.112,137.040,  -68.165,133.220,  -70.277,191.122, 2121.530, 2096.182,12383490.000
   1979.08,   -4.276,138.718, -104.662,134.851, -108.937,193.462, 2122.143, 2096.182,12383490.000
   1979.17,   -6.490,140.376,  -36.609,136.463,  -43.100,195.774, 2122.755, 2096.182,12383490.000
   1979.25,   -8.756,142.015,  -32.733,138.056,  -41.488,198.060, 2123.368, 2096.182,12383490.000
   1979.33,  -11.072,143.635,    1.511,139.631,   -9.561,200.319, 2123.981, 2096.182,12383490.000
   1979.42,  -13.440,145.237,   -1.835,141.188,  -15.274,202.553, 2124.592, 2096.182,12383490.000
   1979.50,  -15.858,146.821,   -4.259,142.729,  -20.117,204.763, 2125.205, 2096.182,12383490.000
   1979.58,  -18.328,148.389,  -10.456,144.252,  -28.784,206.949, 2125.818, 2096.182,12383490.000
   1979.67,  -20.849,149.940,  -30.361,145.760,  -51.210,209.112, 2126.430, 2096.182,12383490.000
   1979.75,  -23.420,151.475,  -38.806,147.253,  -62.227,211.254, 2127.043, 2096.182,12383490.000
   1979.83,  -26.043,152.995,  -54.808,148.730,  -80.851,213.373, 2127.656, 2096.182,12383490.000
   1979.92,  -28.717,154.500, -144.485,150.193, -173.202,215.472, 2128.267, 2096.182,12383490.000
   1980.00,  -31.442,155.990, -206.713,151.642, -238.155,217.551, 2128.880, 2096.182,12383490.000
   1980.08,  -34.217,157.467, -212.184,153.077, -246.401,219.609, 2129.486, 2096.182,12383490.000
   1980.17,  -37.043,158.929, -143.965,154.499, -181.008,221.649, 2130.090, 2096.182,12383490.000
   1980.25,  -39.919,160.378, -102.550,155.908, -142.469,223.670, 2130.695, 2096.182,12383490.000
   1980.33,  -42.845,161.815,  -16.901,157.304,  -59.746,225.673, 2131.300, 2096.182,12383490.000
   1980.42,  -45.822,163.238,   -0.556,158.688,  -46.379,227.659, 2131.905, 2096.182,12383490.000
   1980.50,  -48.850,164.650,   72.669,160.060,   23.819,229.627, 2132.510, 2096.182,12383490.000
   1980.58,  -51.927,166.049,   50.257,161.420,   -1.671,231.579, 2133.115, 2096.182,12383490.000
   1980.67,  -55.056,167.436,   39.936,162.769,  -15.119,233.514, 2133.720, 2096.182,12383490.000
   1980.75,  -58.234,168.813,   29.883,164.107,  -28.351,235.433, 2134.325, 2096.182,12383490.000
   1980.83,  -61.463,170.178,  -45.281,165.434, -106.744,237.337, 2134.930, 2096.182,12383490.000
   1980.92,  -64.743,171.532,  -87.072,166.751, -151.814,239.226, 2135.534, 2096.182,12383490.000
   1981.00,  -68.073,172.876, -154.129,168.057, -222.202,241.100, 2136.140, 2096.182,12383490.000
   1981.08,  -71.453,174.209, -181.127,169.353, -252.580,242.959, 2136.746, 2096.182,12383490.000
   1981.17,  -74.884,175.532, -146.999,170.639, -221.883,244.804, 2137.352, 2096.182,12383490.000
   1981.25,  -78.365,176.845, -109.482,171.916, -187.847,246.636, 2137.958, 2096.182,12383490.000
   1981.33,  -81.897,178.149,  -87.989,173.183, -169.886,248.454, 2138.564, 2096.182,12383490.000
   1981.42,  -85.479,179.443,   23.288,174.441,  -62.191,250.259, 2139.169, 2096.182,12383490.000
   1981.50,  -89.112,180.728,   95.568,175.690,    6.456,252.050, 2139.775, 2096.182,12383490.000
   1981.58,  -92.795,182.003,  104.021,176.930,   11.226,253.830, 2140.382, 2096.182,12383490.000
   1981.67,  -96.529,183.270,  108.887,178.162,   12.358,255.596, 2140.987, 2096.182,12383490.000
