Participant Surname,Experiment Group,Drainage Region,Drainage Region ID,Drainage Region Area (km2),Drainage Region Area Observed (km2),Date,Relative Mass Change (Gt),Relative Mass Change Uncertainty (Gt)
RIGNOT, mass budget , Rignot, EAIS, 9825412.000, 9825412.000,    1979.000,    -40.15,   93.563
RIGNOT, mass budget , Rignot, EAIS, 9825412.000, 9825412.000,    1979.083,    -32.95,   94.709
RIGNOT, mass budget , Rignot, EAIS, 9825412.000, 9825412.000,    1979.167,      0.91,   95.841
RIGNOT, mass budget , Rignot, EAIS, 9825412.000, 9825412.000,    1979.250,     -1.09,   96.960
RIGNOT, mass budget , Rignot, EAIS, 9825412.000, 9825412.000,    1979.333,     -2.10,   98.066
RIGNOT, mass budget , Rignot, EAIS, 9825412.000, 9825412.000,    1979.417,     -0.17,   99.159
RIGNOT, mass budget , Rignot, EAIS, 9825412.000, 9825412.000,    1979.500,      3.60,  100.241
RIGNOT, mass budget , Rignot, EAIS, 9825412.000, 9825412.000,    1979.583,     -1.37,  101.311
RIGNOT, mass budget , Rignot, EAIS, 9825412.000, 9825412.000,    1979.667,    -40.33,  102.370
RIGNOT, mass budget , Rignot, EAIS, 9825412.000, 9825412.000,    1979.750,    -47.61,  103.419
RIGNOT, mass budget , Rignot, EAIS, 9825412.000, 9825412.000,    1979.833,    -54.18,  104.456
RIGNOT, mass budget , Rignot, EAIS, 9825412.000, 9825412.000,    1979.917,    -99.55,  105.484
RIGNOT, mass budget , Rignot, EAIS, 9825412.000, 9825412.000,    1980.000,   -120.54,  106.501
RIGNOT, mass budget , Rignot, EAIS, 9825412.000, 9825412.000,    1980.083,   -105.89,  107.509
RIGNOT, mass budget , Rignot, EAIS, 9825412.000, 9825412.000,    1980.167,    -70.38,  108.508
RIGNOT, mass budget , Rignot, EAIS, 9825412.000, 9825412.000,    1980.250,    -51.14,  109.497
RIGNOT, mass budget , Rignot, EAIS, 9825412.000, 9825412.000,    1980.333,     16.64,  110.478
RIGNOT, mass budget , Rignot, EAIS, 9825412.000, 9825412.000,    1980.417,     27.42,  111.450
RIGNOT, mass budget , Rignot, EAIS, 9825412.000, 9825412.000,    1980.500,     86.03,  112.413
