   Year   ,  Bal-D  , Sigma , SMB-Bal , Sigma , SMB-D   , Sigma ,  D      , Bal     , Area
   1979.00,   -1.120, 68.780,  -39.033, 63.430,  -40.152, 93.563, 1088.170, 1074.732, 9825412.000
   1979.08,   -2.267, 69.622,  -30.679, 64.207,  -32.945, 94.709, 1088.494, 1074.732, 9825412.000
   1979.17,   -3.440, 70.454,    4.350, 64.974,    0.910, 95.841, 1088.817, 1074.732, 9825412.000
   1979.25,   -4.641, 71.277,    3.553, 65.733,   -1.088, 96.960, 1089.140, 1074.732, 9825412.000
   1979.33,   -5.869, 72.090,    3.767, 66.482,   -2.101, 98.066, 1089.464, 1074.732, 9825412.000
   1979.42,   -7.123, 72.894,    6.957, 67.224,   -0.167, 99.159, 1089.786, 1074.732, 9825412.000
   1979.50,   -8.405, 73.689,   12.001, 67.957,    3.597,100.241, 1090.110, 1074.732, 9825412.000
   1979.58,   -9.713, 74.476,    8.339, 68.683,   -1.374,101.311, 1090.434, 1074.732, 9825412.000
   1979.67,  -11.049, 75.254,  -29.286, 69.401,  -40.335,102.370, 1090.756, 1074.732, 9825412.000
   1979.75,  -12.411, 76.025,  -35.194, 70.111,  -47.605,103.419, 1091.080, 1074.732, 9825412.000
   1979.83,  -13.800, 76.788,  -40.375, 70.815,  -54.175,104.456, 1091.404, 1074.732, 9825412.000
   1979.92,  -15.217, 77.543,  -84.330, 71.511,  -99.546,105.484, 1091.727, 1074.732, 9825412.000
   1980.00,  -16.660, 78.291, -103.882, 72.201, -120.542,106.501, 1092.050, 1074.732, 9825412.000
   1980.08,  -18.130, 79.032,  -87.763, 72.885, -105.893,107.509, 1092.373, 1074.732, 9825412.000
   1980.17,  -19.627, 79.766,  -50.753, 73.562,  -70.380,108.508, 1092.696, 1074.732, 9825412.000
   1980.25,  -21.151, 80.493,  -29.990, 74.232,  -51.141,109.497, 1093.020, 1074.732, 9825412.000
   1980.33,  -22.702, 81.214,   39.345, 74.897,   16.643,110.478, 1093.344, 1074.732, 9825412.000
   1980.42,  -24.280, 81.929,   51.704, 75.556,   27.424,111.450, 1093.667, 1074.732, 9825412.000
   1980.50,  -25.885, 82.637,  111.916, 76.209,   86.031,112.413, 1093.990, 1074.732, 9825412.000
   1980.58,  -27.517, 83.339,   96.252, 76.857,   68.735,113.369, 1094.314, 1074.732, 9825412.000
   1980.67,  -29.175, 84.036,   94.217, 77.499,   65.042,114.316, 1094.637, 1074.732, 9825412.000
   1980.75,  -30.861, 84.727,   64.924, 78.136,   34.063,115.256, 1094.960, 1074.732, 9825412.000
   1980.83,  -32.574, 85.412,   31.014, 78.768,   -1.559,116.188, 1095.284, 1074.732, 9825412.000
   1980.92,  -34.313, 86.091,   -4.970, 79.395,  -39.283,117.112, 1095.607, 1074.732, 9825412.000
   1981.00,  -36.080, 86.766,  -46.820, 80.017,  -82.899,118.030, 1095.930, 1074.732, 9825412.000
   1981.08,  -37.873, 87.435,  -40.770, 80.634,  -78.644,118.940, 1096.254, 1074.732, 9825412.000
   1981.17,  -39.694, 88.099,  -29.188, 81.246,  -68.882,119.843, 1096.578, 1074.732, 9825412.000
   1981.25,  -41.541, 88.758,    3.392, 81.854,  -38.149,120.740, 1096.902, 1074.732, 9825412.000
   1981.33,  -43.416, 89.412,    9.511, 82.457,  -33.905,121.630, 1097.227, 1074.732, 9825412.000
   1981.42,  -45.317, 90.062,   72.833, 83.056,   27.516,122.513, 1097.551, 1074.732, 9825412.000
   1981.50,  -47.246, 90.707,  128.039, 83.651,   80.793,123.391, 1097.875, 1074.732, 9825412.000
   1981.58,  -49.202, 91.347,  159.336, 84.242,  110.134,124.262, 1098.199, 1074.732, 9825412.000
   1981.67,  -51.184, 91.983,  166.202, 84.828,  115.018,125.126, 1098.523, 1074.732, 9825412.000
   1981.75,  -53.194, 92.614,  153.736, 85.410,  100.542,125.985, 1098.848, 1074.732, 9825412.000
   1981.83,  -55.231, 93.241,  145.657, 85.989,   90.426,126.839, 1099.172, 1074.732, 9825412.000
   1981.92,  -57.294, 93.864,  138.378, 86.563,   81.084,127.686, 1099.496, 1074.732, 9825412.000
   1982.00,  -59.385, 94.483,   99.079, 87.134,   39.694,128.528, 1099.820, 1074.732, 9825412.000
   1982.08,  -61.503, 95.098,   80.402, 87.701,   18.900,129.364, 1100.142, 1074.732, 9825412.000
   1982.17,  -63.647, 95.709,   89.361, 88.265,   25.714,130.195, 1100.463, 1074.732, 9825412.000
   1982.25,  -65.818, 96.316,  103.100, 88.824,   37.282,131.021, 1100.785, 1074.732, 9825412.000
   1982.33,  -68.016, 96.919,  153.450, 89.381,   85.434,131.842, 1101.107, 1074.732, 9825412.000
