   Year   ,  Bal-D  , Sigma , SMB-Bal , Sigma , SMB-D   , Sigma ,  D      , Bal     , Area
   1979.00,   -0.423, 18.050,    1.600, 27.370,    1.178, 32.786,  297.880,  292.808,  280363.562
   1979.08,   -0.851, 18.271,   -9.069, 27.705,   -9.920, 33.187,  297.949,  292.808,  280363.562
   1979.17,   -1.285, 18.489,    6.513, 28.036,    5.227, 33.584,  298.018,  292.808,  280363.562
   1979.25,   -1.725, 18.705,   22.489, 28.364,   20.764, 33.976,  298.087,  292.808,  280363.562
   1979.33,   -2.171, 18.919,   18.283, 28.687,   16.112, 34.364,  298.157,  292.808,  280363.562
   1979.42,   -2.622, 19.130,   12.228, 29.007,    9.606, 34.747,  298.226,  292.808,  280363.562
   1979.50,   -3.080, 19.338,   18.560, 29.324,   15.480, 35.126,  298.295,  292.808,  280363.562
   1979.58,   -3.543, 19.545,   24.982, 29.637,   21.440, 35.501,  298.364,  292.808,  280363.562
   1979.67,   -4.011, 19.749,   33.238, 29.946,   29.227, 35.872,  298.433,  292.808,  280363.562
   1979.75,   -4.486, 19.951,   31.686, 30.253,   27.201, 36.239,  298.503,  292.808,  280363.562
   1979.83,   -4.966, 20.151,   31.150, 30.557,   26.184, 36.603,  298.572,  292.808,  280363.562
   1979.92,   -5.452, 20.350,   20.565, 30.857,   15.112, 36.963,  298.641,  292.808,  280363.562
   1980.00,   -5.944, 20.546,   10.847, 31.155,    4.902, 37.320,  298.710,  292.808,  280363.562
   1980.08,   -6.441, 20.740,   -2.415, 31.450,   -8.856, 37.673,  298.772,  292.808,  280363.562
   1980.17,   -6.943, 20.933,   -4.553, 31.742,  -11.496, 38.023,  298.833,  292.808,  280363.562
   1980.25,   -7.451, 21.124,  -17.604, 32.031,  -25.054, 38.370,  298.895,  292.808,  280363.562
   1980.33,   -7.963, 21.313,  -26.376, 32.318,  -34.339, 38.713,  298.957,  292.808,  280363.562
   1980.42,   -8.480, 21.501,  -37.954, 32.602,  -46.435, 39.054,  299.018,  292.808,  280363.562
   1980.50,   -9.003, 21.687,  -54.079, 32.884,  -63.082, 39.391,  299.080,  292.808,  280363.562
   1980.58,   -9.531, 21.871,  -66.349, 33.164,  -75.880, 39.726,  299.142,  292.808,  280363.562
   1980.67,  -10.064, 22.054,  -74.195, 33.441,  -84.259, 40.058,  299.203,  292.808,  280363.562
