Participant Surname,Experiment Group,Drainage Region,Drainage Region ID,Drainage Region Area (km2),Drainage Region Area Observed (km2),Date,Relative Mass Change (Gt),Relative Mass Change Uncertainty (Gt)
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1979.000,    -30.89,   56.939
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1979.083,    -63.64,   57.636
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1979.167,    -48.51,   58.325
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1979.250,    -61.68,   59.005
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1979.333,    -25.79,   59.679
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1979.417,    -27.53,   60.344
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1979.500,    -41.93,   61.002
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1979.583,    -51.44,   61.654
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1979.667,    -43.83,   62.298
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1979.750,    -45.53,   62.936
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1979.833,    -55.66,   63.568
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1979.917,    -88.31,   64.193
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1980.000,   -118.46,   64.812
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1980.083,   -125.50,   65.425
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1980.167,    -93.66,   66.033
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1980.250,    -60.47,   66.635
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1980.333,    -37.87,   67.232
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1980.417,    -23.29,   67.824
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1980.500,      5.12,   68.410
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1980.583,      9.08,   68.991
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1980.667,      8.50,   69.568
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1980.750,     12.83,   70.140
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1980.833,     -9.70,   70.707
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1980.917,    -16.27,   71.270
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1981.000,    -37.77,   71.828
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1981.083,    -66.69,   72.382
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1981.167,    -48.62,   72.931
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1981.250,    -50.54,   73.477
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1981.333,    -32.37,   74.019
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1981.417,      5.54,   74.556
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1981.500,     23.06,   75.090
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1981.583,      6.37,   75.620
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1981.667,      6.05,   76.147
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1981.750,    -16.15,   76.669
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1981.833,    -44.94,   77.189
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1981.917,    -71.24,   77.704
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1982.000,    -87.12,   78.217
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1982.083,   -119.46,   78.726
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1982.167,   -120.97,   79.231
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1982.250,   -127.98,   79.734
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1982.333,   -126.31,   80.233
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1982.417,    -87.66,   80.730
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1982.500,    -91.09,   81.223
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1982.583,    -73.54,   81.713
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1982.667,    -61.30,   82.201
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1982.750,    -47.99,   82.685
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1982.833,    -58.72,   83.167
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1982.917,    -92.63,   83.646
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1983.000,   -112.91,   84.122
RIGNOT, mass budget , Rignot, WAIS, 2114681.750, 2114681.750,    1983.083,   -132.29,   84.595
