   Year   ,  Bal-D  , Sigma , SMB-Bal , Sigma , SMB-D   , Sigma ,  D      , Bal     , Area
   1979.00,   -0.562, 42.510,  -30.328, 37.880,  -30.890, 56.939,  658.490,  651.750, 2114681.750
   1979.08,   -1.142, 43.031,  -62.495, 38.344,  -63.637, 57.636,  658.710,  651.750, 2114681.750
   1979.17,   -1.740, 43.545,  -46.772, 38.802,  -48.512, 58.325,  658.930,  651.750, 2114681.750
   1979.25,   -2.357, 44.053,  -59.319, 39.255,  -61.676, 59.005,  659.150,  651.750, 2114681.750
   1979.33,   -2.992, 44.556,  -22.803, 39.703,  -25.795, 59.679,  659.370,  651.750, 2114681.750
   1979.42,   -3.645, 45.053,  -23.886, 40.146,  -27.531, 60.344,  659.590,  651.750, 2114681.750
   1979.50,   -4.317, 45.544,  -37.610, 40.584,  -41.926, 61.002,  659.810,  651.750, 2114681.750
   1979.58,   -5.007, 46.030,  -46.437, 41.017,  -51.443, 61.654,  660.030,  651.750, 2114681.750
   1979.67,   -5.715, 46.512,  -38.115, 41.446,  -43.830, 62.298,  660.250,  651.750, 2114681.750
   1979.75,   -6.441, 46.988,  -39.088, 41.870,  -45.529, 62.936,  660.470,  651.750, 2114681.750
   1979.83,   -7.186, 47.459,  -48.477, 42.290,  -55.663, 63.568,  660.690,  651.750, 2114681.750
   1979.92,   -7.950, 47.926,  -80.365, 42.706,  -88.315, 64.193,  660.910,  651.750, 2114681.750
   1980.00,   -8.731, 48.388, -109.728, 43.118, -118.460, 64.812,  661.130,  651.750, 2114681.750
   1980.08,   -9.531, 48.846, -115.967, 43.526, -125.498, 65.425,  661.350,  651.750, 2114681.750
   1980.17,  -10.350, 49.300,  -83.306, 43.930,  -93.656, 66.033,  661.570,  651.750, 2114681.750
   1980.25,  -11.186, 49.750,  -49.283, 44.331,  -60.469, 66.635,  661.790,  651.750, 2114681.750
   1980.33,  -12.041, 50.195,  -25.831, 44.728,  -37.872, 67.232,  662.010,  651.750, 2114681.750
   1980.42,  -12.915, 50.637,  -10.375, 45.122,  -23.290, 67.824,  662.230,  651.750, 2114681.750
   1980.50,  -13.806, 51.075,   18.930, 45.512,    5.124, 68.410,  662.450,  651.750, 2114681.750
   1980.58,  -14.716, 51.509,   23.793, 45.898,    9.077, 68.991,  662.670,  651.750, 2114681.750
   1980.67,  -15.645, 51.939,   24.150, 46.282,    8.505, 69.568,  662.890,  651.750, 2114681.750
   1980.75,  -16.591, 52.366,   29.424, 46.662,   12.833, 70.140,  663.110,  651.750, 2114681.750
   1980.83,  -17.556, 52.789,    7.852, 47.040,   -9.704, 70.707,  663.330,  651.750, 2114681.750
   1980.92,  -18.540, 53.209,    2.267, 47.414,  -16.272, 71.270,  663.550,  651.750, 2114681.750
   1981.00,  -19.541, 53.626,  -18.228, 47.786,  -37.769, 71.828,  663.770,  651.750, 2114681.750
   1981.08,  -20.561, 54.040,  -46.132, 48.154,  -66.694, 72.382,  663.992,  651.750, 2114681.750
   1981.17,  -21.600, 54.450,  -27.018, 48.520,  -48.618, 72.931,  664.213,  651.750, 2114681.750
   1981.25,  -22.657, 54.858,  -27.884, 48.883,  -50.541, 73.477,  664.435,  651.750, 2114681.750
   1981.33,  -23.733, 55.262,   -8.638, 49.243,  -32.370, 74.019,  664.657,  651.750, 2114681.750
