ice_source,region,year,q0.5,q0.05,q0.95,q0.17,q0.83,q0.25,q0.75,sample_mean,sample_sd,sample_min, sample_max
GrIS,ALL,2016,0.0318092916286493,-0.0207973972114485,0.0868379280604022,0.00149814040042854,0.0627623880666572,0.0103824784856773,0.0535374514991554,0.0324,0.0333,-0.0995,0.2292
AIS,WAIS,2016,0.0378875722687278,-0.214572943706715,0.289627508904431,-0.108371712197826,0.183939167813683,-0.0654647019359527,0.141139977417964,0.0353,0.1525,-0.4872,0.5406
AIS,EAIS,2016,-0.0239216487960485,-0.163510922138636,0.116205814015091,-0.104933389890904,0.0572594228202043,-0.0812003174518075,0.0334399589838087,-0.0245,0.0850,-0.2891,0.2764
AIS,PEN,2016,-0.014766725015745,-0.114866692070796,0.0856047169203502,-0.0728505377884266,0.0434038619743172,-0.0558316940574855,0.0263411708607045,-0.0123,0.0597,-0.2532,0.1873
AIS,ALL,2016,-0.00403262832123874,-0.304348214578225,0.314158741026368,-0.18221692585444,0.177701013849076,-0.12864665619812,0.128110520037502,-0.002,0.186,-0.575,0.581
Glaciers,region_1,2016,0.0175780248930998,-0.00887822467926573,0.0440346833225714,0.00223222610741003,0.0329250793514903,0.00673068050918534,0.028423021995298,0.0178,0.0163,-0.0337,0.0752
Glaciers,region_2,2016,0.00325436412834746,-0.00109111043587696,0.00753631640904417,0.000745998225784822,0.00576988310010613,0.00150521299233361,0.00503980487806966,0.0038,0.0026,-0.0048,0.0126
Glaciers,region_3,2016,0.0116155420996953,-0.00846882341320279,0.0317098351933982,-4.40618483168646e-05,0.0232725503044214,0.00337721401284182,0.0198572650086255,0.0119,0.0124,-0.0308,0.0518
Glaciers,region_4,2016,0.00538898830121536,-0.00451233267690372,0.0153109793255037,-0.000362922840228073,0.0111502419419998,0.00132127157358711,0.00945141478533642,0.0060,0.0058,-0.0176,0.0272
Glaciers,region_5,2016,0.0113696804572866,-0.00761633510477638,0.0303569644556813,0.000355202205313099,0.0223832560221868,0.00358510557664451,0.019158640864914,0.0121,0.0116,-0.0238,0.0517
Glaciers,region_6,2016,0.00173985784315303,-0.00266558773777738,0.00617292307256384,-0.000834215963961636,0.00429797072228291,-8.2573249145435e-05,0.00353139111928397,0.0022,0.0027,-0.0065,0.0110
Glaciers,region_7,2016,0.00883031332186218,-0.00420629449593603,0.021868470095507,0.00126983276577379,0.0163857646964828,0.00349309097485829,0.0141760581744049,0.0092,0.0076,-0.0185,0.0378
Glaciers,region_8,2016,-3.6983334880751e-05,-0.00108059403860142,0.00063960883561993,-0.000437994964733213,0.000364028294971711,-0.000340780024162919,0.000266813354401417,0.0004,0.0005,-0.0010,0.0020
Glaciers,region_9,2016,0.00933510873187801,-0.00356359281502054,0.0222486318616562,0.00184256146070076,0.0168279524150456,0.00403771937925116,0.0146271869315405,0.0099,0.0078,-0.0173,0.0384
Glaciers,region_10,2016,-1.60657140770976e-05,-0.00052350616755537,0.000469166312716962,-0.000371902533726075,0.00033977110557188,-0.00028563906229602,0.000253507634141825,0.0004,0.0004,-0.0011,0.0019
Glaciers,region_11,2016,8.92419803685103e-05,-0.000478435059364167,0.00121471380613825,-0.000327054515435453,0.000525225911960891,-0.000226134152816311,0.000404618113553331,0.0007,0.0005,-0.0008,0.0023
Glaciers,region_12,2016,-1.48781827275781e-06,-0.000452829211243892,0.000449853574698377,-0.00033247150645159,0.000329495869906074,-0.000252233036590055,0.000249257400044539,0.0003,0.0002,-0.0007,0.0012
Glaciers,region_13,2016,0.00614799465767627,-0.00177203918791412,0.0140784441807011,0.00156674845760713,0.0107424017478865,0.00289736272921488,0.00938951344774052,0.0068,0.0048,-0.0092,0.0247
Glaciers,region_14,2016,0.00388232743047176,-0.00282484781598289,0.010554987510762,-1.31587937016048e-05,0.00777049131315097,0.00112953047356495,0.00662361704089693,0.0045,0.0040,-0.0092,0.0174
Glaciers,region_15,2016,0.00203245085523743,-0.000853574152966735,0.00493156899249801,0.000391486159197037,0.0036918684112889,0.000848214969208214,0.00321320672261839,0.0026,0.0017,-0.0026,0.0079
Glaciers,region_16,2016,2.54291875436859e-05,-0.00090813242052713,0.00110030535481728,-0.000391753587449218,0.00044261196253659,-0.00029061836926912,0.000341476744356492,0.0005,0.0005,-0.0013,0.0023
Glaciers,region_17,2016,0.00413992805699389,-0.00509662385436867,0.0133598941718477,-0.00121457690453408,0.00947946891728902,0.00035974743897918,0.00792817662249381,0.0048,0.0056,-0.0146,0.0256
Glaciers,region_18,2016,-5.84832174798569e-05,-0.00102259399985691,0.000444170342150348,-0.00042709582787534,0.000310129392915626,-0.000337735195052193,0.000220768760092479,0.0002,0.0003,-0.0010,0.0011
Glaciers,region_19,2016,0.0159080234945216,-0.0191064545084561,0.050920953361102,-0.00440000598643608,0.0362179846396354,0.00155317460577089,0.0302646057432794,0.0155,0.0209,-0.0485,0.0845
Glaciers,ALL,2016,0.109484163820152,0.0520419618575892,0.167241024178639,0.0761110402485775,0.142662374353907,0.0866102194211921,0.132609124175458,0.110,0.035,0.002,0.235
LAND_ICE,ALL,2016,0.140072246443259,-0.183391539321706,0.448198547599905,-0.0465366350991051,0.327889897311539,0.0104895863555285,0.277170581160202,0.140,0.193,-0.489,0.730
GrIS,ALL,2017,0.0455225396151142,-0.0515854019412764,0.148105419173526,-0.0104464359660849,0.102939211704556,0.00594588372115587,0.0857832364811077,0.0473,0.0630,-0.1965,0.3629
AIS,WAIS,2017,0.0547234362907135,-0.203617717553448,0.312840088818347,-0.0950066864265006,0.204410928386379,-0.0510995902186523,0.160528542970338,0.0566,0.1530,-0.4720,0.6139
AIS,EAIS,2017,-0.0189567099332512,-0.180591597763073,0.142918586384586,-0.11270757627709,0.0748587403212098,-0.0852277423828282,0.0473443564501613,-0.0178,0.0995,-0.3268,0.3208
AIS,PEN,2017,-0.010699252211559,-0.116178252639061,0.0951589735666168,-0.0719188982959764,0.0506440221680315,-0.0539851916718882,0.0326478909948721,-0.0121,0.0630,-0.1962,0.2009
AIS,ALL,2017,0.024948026029734,-0.298806789273656,0.34004783889711,-0.155920040640456,0.219752427820926,-0.104503274348467,0.153459324956946,0.027,0.194,-0.555,0.747
Glaciers,region_1,2017,0.0294527290676826,-0.0192317117962539,0.0781287165388567,0.00121010334827388,0.057691581743829,0.00949044348249522,0.0494143539314515,0.0298,0.0292,-0.0787,0.1342
Glaciers,region_2,2017,0.00722769231206401,-0.000453010664740515,0.0149444507760188,0.00275786511258235,0.0116955278210983,0.00406405931472736,0.0103819314004389,0.0077,0.0047,-0.0073,0.0257
Glaciers,region_3,2017,0.0211836095899537,-0.0114888392346299,0.053873911272075,0.00222502701579329,0.0401458316341621,0.00778166118670889,0.0345849766637211,0.0220,0.0197,-0.0477,0.0929
Glaciers,region_4,2017,0.0110333811069691,-0.00663397594706366,0.0287025136662311,0.000781047722360145,0.0212837296970281,0.00378617925449206,0.0182793164007441,0.0115,0.0112,-0.0261,0.0517
Glaciers,region_5,2017,0.0210137933606468,-0.0134842887104912,0.055511468206822,0.000996538217375592,0.0410309489512435,0.00686413260288796,0.0351632833856618,0.0217,0.0212,-0.0626,0.0965
Glaciers,region_6,2017,0.00420918691610345,-0.00343160874046283,0.011887205801036,-0.000236615781140279,0.00865198859845322,0.00106245200863487,0.00734924070895134,0.0047,0.0047,-0.0094,0.0193
Glaciers,region_7,2017,0.0175517515928554,-0.00648298186263053,0.0415899693865418,0.00360684788322696,0.0314936809663504,0.00769287691231575,0.0274088870537369,0.0179,0.0147,-0.0325,0.0758
Glaciers,region_8,2017,0.000456665950280963,-0.0010173270345644,0.0019220810496319,-0.000330065845658858,0.00128374259527341,-0.000139342986037084,0.00108266903843547,0.0010,0.0008,-0.0019,0.0039
Glaciers,region_9,2017,0.017970924100229,-0.00354955697394614,0.0394904939549985,0.00548806808069226,0.0304553564710023,0.0091411886049549,0.0268003710365355,0.0186,0.0133,-0.0289,0.0605
Glaciers,region_10,2017,0.000286729345396095,-0.00105714702670619,0.00146863136718372,-0.000376663534718056,0.00113064832970941,-0.000215841018326747,0.00090532630472653,0.0008,0.0007,-0.0016,0.0037
Glaciers,region_11,2017,0.000776123692330569,-0.000617232042127234,0.00226856489273258,-0.000142798465144302,0.00150687778001436,0.000108620823798744,0.00132632141688076,0.0013,0.0009,-0.0015,0.0040
Glaciers,region_12,2017,1.85054408965641e-05,-0.000466354702921733,0.000558802768018676,-0.000337058664570187,0.000374069546363315,-0.000250861305669156,0.000287872187462285,0.0006,0.0004,-0.0006,0.0017
Glaciers,region_13,2017,0.0130957275978015,-0.000459968129071849,0.0266608219551152,0.0052229211137927,0.0209716075838137,0.00753733917513632,0.0186585071801991,0.0136,0.0082,-0.0156,0.0439
Glaciers,region_14,2017,0.00863630672579876,-0.00192627871589393,0.0191948983786602,0.00252513749812933,0.0147593247118501,0.00430922751035881,0.0129675294066162,0.0092,0.0064,-0.0149,0.0312
Glaciers,region_15,2017,0.00426307321148429,-0.00084186766766176,0.00935022784478711,0.00131230636422603,0.00722436354939064,0.00216939466886483,0.00634822180487148,0.0048,0.0031,-0.0056,0.0152
Glaciers,region_16,2017,0.000615606765821783,-0.00109099037748624,0.00226225593675727,-0.000322940573503989,0.00146537779876948,-9.20250116580561e-05,0.00125937269987307,0.0011,0.0009,-0.0021,0.0040
Glaciers,region_17,2017,0.00858257964111515,-0.00836262981021581,0.0255193390889345,-0.00125027090123147,0.0184103257990034,0.00163420567804301,0.0155279307065958,0.0092,0.0101,-0.0194,0.0488
Glaciers,region_18,2017,-6.18590606813507e-05,-0.0010651691268525,0.000450212578889469,-0.000437378263033286,0.000313660141670584,-0.000346343304887362,0.00022262518352466,0.0003,0.0004,-0.0013,0.0016
Glaciers,region_19,2017,0.0305658842673159,-0.0329281008491457,0.0940601718949819,-0.00626565142789039,0.0673964285212149,0.00453133755780001,0.0566009984747102,0.0319,0.0391,-0.1172,0.1582
Glaciers,ALL,2017,0.208562042156767,0.102553063383,0.308999083581612,0.147668445850765,0.267003939823524,0.164977792144194,0.250941222781551,0.208,0.062,0.004,0.459
LAND_ICE,ALL,2017,0.279524794019707,-0.0839227742257767,0.631095826412837,0.0816261895088912,0.490307494599125,0.136857425086843,0.430806427689578,0.282,0.213,-0.394,1.048
GrIS,ALL,2018,0.0993960523521545,-0.0138688829644619,0.22657813822634,0.0341592704126277,0.167967267811612,0.053213565158517,0.147128491107693,0.1029,0.0784,-0.2601,0.6948
AIS,WAIS,2018,0.0686868160524684,-0.200730834757717,0.337834195259533,-0.0874624041669685,0.224777969616244,-0.0416721875993657,0.179020252853733,0.0625,0.1620,-0.6139,0.5820
AIS,EAIS,2018,-0.0242397127071163,-0.206620766872357,0.158740446817427,-0.130068181596203,0.08177377820853,-0.0990605011465419,0.0506714484326413,-0.0201,0.1127,-0.4363,0.3412
AIS,PEN,2018,-0.0114822136126539,-0.120973257422238,0.0984680078815757,-0.0750373848381616,0.0522246165826047,-0.0564207313337982,0.0335316334920747,-0.0107,0.0664,-0.2295,0.2241
AIS,ALL,2018,0.0365410111908927,-0.328392049249112,0.369501589336571,-0.167836335856283,0.230901547411818,-0.107810052620566,0.17339092048826,0.032,0.213,-0.702,0.943
Glaciers,region_1,2018,0.0400765743734099,-0.020356769939005,0.101382503273462,0.00494409363705504,0.0754979249428122,0.0152179073972338,0.0650812697885126,0.0419,0.0368,-0.0914,0.1837
Glaciers,region_2,2018,0.0106580283732718,-3.26938782473426e-05,0.0213346178036719,0.00447268027013176,0.0168576795481086,0.00627774756145113,0.0150413041961492,0.0112,0.0067,-0.0107,0.0381
Glaciers,region_3,2018,0.0331259423043002,-0.0135723503564979,0.0798856036107087,0.00602787877408492,0.0602428002905411,0.0139687599405563,0.0522921093246183,0.0337,0.0290,-0.0623,0.1524
Glaciers,region_4,2018,0.0159996018127,-0.00889241125472021,0.0409244823300573,0.00156245431889734,0.0304473779432907,0.00578989426721563,0.0262147070717201,0.0169,0.0152,-0.0329,0.0820
Glaciers,region_5,2018,0.0290852562976076,-0.0183573945846089,0.0766402461633804,0.00155402017467558,0.056655620768867,0.00961958605683228,0.0485693514525271,0.0296,0.0287,-0.0831,0.1291
Glaciers,region_6,2018,0.00699495761325584,-0.00368445409390144,0.0176754312044627,0.000795162952638856,0.0131955953333828,0.00261790783908602,0.011372641920194,0.0075,0.0066,-0.0167,0.0274
Glaciers,region_7,2018,0.0261499793930058,-0.00664540250574952,0.058957610105168,0.00712214915873239,0.0451798128439951,0.0127004549192832,0.03959958815191,0.0266,0.0197,-0.0459,0.1022
Glaciers,region_8,2018,0.000631554536515785,-0.00114437930412574,0.00233896153405959,-0.00034436695424471,0.00154696218936308,-0.000104053519057869,0.00130396636971946,0.0011,0.0010,-0.0028,0.0045
Glaciers,region_9,2018,0.0287405733552022,-0.00480303820880284,0.0622847208652936,0.00928286794931894,0.0481998734836831,0.0149847157481392,0.0424927124207257,0.0292,0.0208,-0.0442,0.0990
Glaciers,region_10,2018,0.000600820566818105,-0.00122203640575985,0.0023478136748339,-0.000393699882852545,0.00155657070907926,-0.000150483731917935,0.00130019995455215,0.0011,0.0010,-0.0024,0.0044
Glaciers,region_11,2018,0.00127358860362986,-0.000507849198039531,0.00324043429668162,0.000148844269895401,0.00237062992426668,0.000544468436286979,0.00209464281295322,0.0018,0.0011,-0.0021,0.0057
Glaciers,region_12,2018,0.00011264482907446,-0.000495168434244855,0.00126951393994564,-0.000333084897359704,0.000703757701587349,-0.000225029206102937,0.000450318864251857,0.0007,0.0005,-0.0008,0.0023
Glaciers,region_13,2018,0.0199194458438453,0.00108677799263459,0.0387494908633893,0.00899421361317133,0.0308440960134669,0.0121975363950276,0.0276388206971526,0.0207,0.0114,-0.0133,0.0604
Glaciers,region_14,2018,0.0132794714196336,-0.00182170696136993,0.028373269893729,0.0045290760219793,0.022042153975295,0.007085978913988,0.0194657796392527,0.0137,0.0093,-0.0198,0.0523
Glaciers,region_15,2018,0.00646710085973263,-1.45820583148662e-05,0.0129489506054147,0.00271707284852984,0.0102217914594922,0.00381280325742939,0.00912400645781745,0.0071,0.0039,-0.0044,0.0211
Glaciers,region_16,2018,0.00105284467990362,-0.00122080654155148,0.00330561486841082,-0.000251253677761525,0.00234145164761029,0.000114260671376177,0.00199814195780534,0.0016,0.0013,-0.0030,0.0061
Glaciers,region_17,2018,0.0134761745682562,-0.0107470262817468,0.0376975063057249,-0.000571642247499294,0.0275224569185543,0.0035464615690203,0.0234067698044729,0.0139,0.0149,-0.0357,0.0643
Glaciers,region_18,2018,-2.17634310430855e-05,-0.0010575274129326,0.000855235740955923,-0.000429288299538308,0.000385761437452137,-0.000330494392024314,0.000286967529938144,0.0005,0.0005,-0.0011,0.0022
Glaciers,region_19,2018,0.0465643738216378,-0.0439237766102589,0.137053946292587,-0.00592717595995806,0.0990563994641386,0.00945984555249595,0.0836697573730997,0.0464,0.0555,-0.1484,0.2439
Glaciers,ALL,2018,0.305692134921992,0.163241912315612,0.448593701838599,0.220027891730914,0.389888834648473,0.24646857728088,0.363785138751145,0.305,0.088,-0.114,0.603
LAND_ICE,ALL,2018,0.440859101102294,0.0271938358544219,0.829655619754496,0.206080012038915,0.670781292003733,0.278005884295777,0.608063337018343,0.440,0.244,-0.308,1.409
GrIS,ALL,2019,0.143081224458599,0.0126243929007389,0.297843481354459,0.0678931996092559,0.223753868077648,0.0897927597284649,0.198900850525606,0.1493,0.0975,-0.3595,0.8909
AIS,WAIS,2019,0.064236451207149,-0.216843556858873,0.344919466964576,-0.0986543249857665,0.227027342269258,-0.0508824478903123,0.179308667867528,0.0678,0.1716,-0.5609,0.6141
AIS,EAIS,2019,-0.0223313512432333,-0.226640917834705,0.183139968941395,-0.14092873729791,0.0966298343639057,-0.106193390399613,0.0617095930523659,-0.0175,0.1226,-0.4503,0.4076
AIS,PEN,2019,-0.0141259715534012,-0.126583046031258,0.0988253424809831,-0.0794056164260497,0.0513166061100793,-0.0602858999233294,0.0321150889876652,-0.0152,0.0684,-0.2385,0.2363
AIS,ALL,2019,0.0259142560402701,-0.319845819115884,0.399241832458816,-0.179905176855714,0.253464380147113,-0.115072249718535,0.190425749171987,0.035,0.221,-0.653,0.806
Glaciers,region_1,2019,0.0704766568395045,-0.00820441139062031,0.149146119402755,0.0248355201019058,0.116113737827554,0.0382139158459652,0.102737115206876,0.0721,0.0476,-0.0889,0.2425
Glaciers,region_2,2019,0.0137847889490193,0.000437409886320631,0.0271497281457127,0.00603061772836095,0.021525444615893,0.0083071287488628,0.0192628563940036,0.0147,0.0082,-0.0156,0.0436
Glaciers,region_3,2019,0.0446481115420108,-0.0158674292676221,0.105186507222704,0.00954405503316985,0.0797621237429932,0.0198311017124744,0.0694673906426139,0.0471,0.0368,-0.0652,0.1608
Glaciers,region_4,2019,0.0252763475312766,-0.00849327793705396,0.0590622135623477,0.00568301565629333,0.0448739180537219,0.0114271772907016,0.0391293842241979,0.0261,0.0204,-0.0388,0.0936
Glaciers,region_5,2019,0.0478027396476012,-0.013816289055712,0.109422810785578,0.0120574065308444,0.0835468590660212,0.0225365311818078,0.0730715002434295,0.0483,0.0369,-0.0724,0.1737
Glaciers,region_6,2019,0.00961611340346039,-0.00356037433016152,0.022802284349266,0.00196115364469327,0.0172646795724652,0.00420656296502207,0.0150259559844904,0.0103,0.0077,-0.0147,0.0412
Glaciers,region_7,2019,0.0361572540093547,-0.00585011574186776,0.078175386924109,0.0117883447852083,0.0605265216000665,0.0189302418195082,0.0533842435349019,0.0376,0.0261,-0.0465,0.1137
Glaciers,region_8,2019,0.00146846618354745,-0.000618811623740976,0.00352662594328222,0.000210920066329915,0.00272030810664088,0.000614434130341218,0.00233835729276746,0.0020,0.0013,-0.0028,0.0064
Glaciers,region_9,2019,0.0385679444083644,-0.00519674139510575,0.0823661154558495,0.0131770990357952,0.0639716708882411,0.0206198015414702,0.0565211875662484,0.0392,0.0263,-0.0502,0.1337
Glaciers,region_10,2019,0.0012462584110692,-0.00106412513006228,0.00345374697098992,-8.91074055003746e-05,0.00251657421254689,0.000327896882419281,0.00219351478235332,0.0017,0.0014,-0.0027,0.0065
Glaciers,region_11,2019,0.00173260027515418,-0.00050473693841465,0.00410042915873486,0.000402714935676077,0.00310082835804333,0.000766884294329465,0.00267623662894983,0.0023,0.0014,-0.0022,0.0069
Glaciers,region_12,2019,0.000650086175003555,-0.000446808527169462,0.00172597966972153,-0.000142265175995298,0.00129392637212827,6.07637247874788e-05,0.00113784390009804,0.0011,0.0006,-0.0011,0.0034
Glaciers,region_13,2019,0.0278941291270697,0.00416761565219258,0.0516145997339217,0.0141300287355172,0.0416550777783271,0.0181645927293167,0.0376210129274727,0.0286,0.0143,-0.0279,0.0711
Glaciers,region_14,2019,0.0179529769876682,-0.000512174241520672,0.0364229961314365,0.00723361539945022,0.0286701218536313,0.0103781510711475,0.0255253037415587,0.0182,0.0110,-0.0171,0.0550
Glaciers,region_15,2019,0.00902092516115781,0.000305765631893584,0.0177410178155756,0.00395641624363765,0.0140852943590927,0.00545378083170983,0.0125908504020623,0.0096,0.0052,-0.0079,0.0249
Glaciers,region_16,2019,0.00154499169127013,-0.00122918162004543,0.00429720160266748,-7.46360321808293e-05,0.00315404507544911,0.000437389529956476,0.00266565287893901,0.0020,0.0017,-0.0044,0.0083
Glaciers,region_17,2019,0.018739393883132,-0.0128184736084919,0.0502947940699885,0.000436847731579308,0.0370464765434708,0.00579888182332854,0.0316787257179995,0.0194,0.0193,-0.0418,0.0894
Glaciers,region_18,2019,6.72346435780234e-05,-0.00112174100928004,0.00128604540207198,-0.000438065025475376,0.000722472848084002,-0.000315568136007885,0.000450037423163932,0.0006,0.0006,-0.0013,0.0029
Glaciers,region_19,2019,0.0619919706808246,-0.054518218444688,0.178502804029335,-0.00559516705542491,0.129579297834159,0.0142147107368831,0.109769335779053,0.0614,0.0709,-0.1645,0.3311
Glaciers,ALL,2019,0.440663534643958,0.259606072876362,0.626595081413863,0.338215616400336,0.547614026354447,0.36995480317818,0.515444330144619,0.442,0.111,0.028,0.833
LAND_ICE,ALL,2019,0.621389569135608,0.209190066129134,1.05835681261029,0.383770598328978,0.87867525523497,0.449780957938763,0.804285558661777,0.627,0.263,-0.337,1.570
GrIS,ALL,2020,0.171488485563903,0.0184401185612522,0.357233179997544,0.0832090111594884,0.267073184686253,0.108880747152888,0.237467332072092,0.1788,0.1199,-0.5107,1.0432
