################################################################################################
# Zemp et al. (2019), Supplementary Data Table                                                 #
#                                                                                              #
# Glacier mass changes for region: 10, ASN                                                     #
#                                                                                              #
# Year: hydrological year                                                                      #
# B_INT_mwe: specific mass-change rate (m w.e. yr-1) based on spatial interpolation, ref. run  #
# B_AVG_mwe: specific mass-change rate (m w.e. yr-1) based on arithmetic averaging             #
# B_AW_mwe: specific mass-change rate (m w.e. yr-1) based on area-weighted averaging           #
# sig_Glac_mwe: uncertainty related to glaciological variability (m w.e. yr-1)                 #
# sig_Geod_mwe: uncertainty related to geodetic value (m w.e. yr-1)                            #
# sig_Int_mwe: uncertainty related to regional interpolation (m w.e. yr-1)                     #
# sig_Total_mwe: total uncertainty of  specific mass-change (m w.e. yr-1)                      #
# Area_AW_ref_km2: regional area (km2) based on RGI60 and area-weighted change rate, ref.run   #
# Area_LW_km2: regional area (km2) based on RGI60 and time-series-length-weighted change rate  #
# dM_INT_Gt: regional mass-change rate (Gt yr-1) based on spatial interpolation, ref. run      #
# dM_AVG_Gt: regional mass-change rate (Gt yr-1) based on arithmetic averaging                 #
# dM_AW_Gt: regional mass-change rate (Gt yr-1) based on area-weighted averaging               #
# sig_Glac_Gt: uncertainty related to glaciological variability (Gt yr-1)                      #
# sig_Geod_Gt: uncertainty related to geodetic value (Gt yr-1)                                 #
# sig_Int_Gt: uncertainty related to regional interpolation (Gt yr-1)                          #
# sig_Area_Gt: uncertainty related to regional glacier area (Gt yr-1)                          #
# sig_Crossed_Gt: 2nd order crossed uncertainty (Gt yr-1)                                      #
# sig_Total_Gt: total uncertainty of regional mass-change rate (Gt yr-1)                       #
#                                                                                              #
################################################################################################

Year, INT_mwe, AVG_mwe, AW_mwe, sig_Glac_mwe, sig_Geod_mwe, sig_Int_mwe, sig_Total_mwe, Area_AW_ref_km2, Area_LW_km2, INT_Gt, AVG_Gt, AW_Gt, sig_Glac_Gt, sig_Geod_Gt, sig_Int_Gt, sig_Area_Gt, sig_Crossed_Gt, sig_Total_Gt
1957, -0.018, -0.039, -0.011, 0.346, 0.292, 0.029, 0.454, 2969.67, 3308.04, -0.054, -0.116, -0.032, 1.028, 0.867, 0.085, 0.009, 0.223, 1.367
1958, 0.071, 0.05, 0.078, 0.305, 0.292, 0.029, 0.423, 2959.3, 3291.41, 0.211, 0.149, 0.232, 0.903, 0.864, 0.085, 0.034, 0.205, 1.269
1959, -0.041, -0.063, -0.034, 0.256, 0.292, 0.03, 0.389, 2948.94, 3274.78, -0.122, -0.185, -0.101, 0.755, 0.861, 0.086, 0.019, 0.185, 1.162
1960, -0.036, -0.057, -0.029, 0.245, 0.292, 0.029, 0.382, 2938.58, 3258.15, -0.105, -0.167, -0.085, 0.72, 0.858, 0.084, 0.017, 0.178, 1.137
1961, -0.067, -0.088, -0.06, 0.247, 0.292, 0.029, 0.384, 2928.22, 3241.52, -0.197, -0.258, -0.176, 0.723, 0.855, 0.083, 0.031, 0.176, 1.139
1962, -0.114, -0.134, -0.107, 0.23, 0.292, 0.027, 0.373, 2917.85, 3224.89, -0.332, -0.392, -0.311, 0.671, 0.852, 0.082, 0.051, 0.168, 1.102
1963, 0.037, 0.016, 0.044, 0.23, 0.292, 0.029, 0.373, 2907.48, 3208.26, 0.108, 0.047, 0.129, 0.669, 0.849, 0.083, 0.016, 0.165, 1.097
1964, 0.047, 0.026, 0.054, 0.228, 0.292, 0.029, 0.372, 2897.12, 3191.64, 0.137, 0.075, 0.157, 0.661, 0.846, 0.084, 0.02, 0.161, 1.09
1965, 0.034, 0.014, 0.042, 0.231, 0.292, 0.028, 0.373, 2886.76, 3175.0, 0.099, 0.039, 0.12, 0.667, 0.843, 0.082, 0.014, 0.158, 1.088
1966, 0.008, -0.013, 0.015, 0.232, 0.292, 0.029, 0.374, 2876.39, 3158.38, 0.022, -0.038, 0.043, 0.667, 0.84, 0.082, 0.003, 0.156, 1.087
1967, 0.172, 0.151, 0.179, 0.253, 0.292, 0.029, 0.387, 2866.03, 3141.74, 0.493, 0.433, 0.513, 0.725, 0.837, 0.082, 0.07, 0.158, 1.123
1968, 0.065, 0.044, 0.072, 0.27, 0.292, 0.029, 0.399, 2855.67, 3125.11, 0.186, 0.127, 0.207, 0.771, 0.834, 0.081, 0.026, 0.16, 1.151
1969, 0.143, 0.122, 0.15, 0.257, 0.292, 0.029, 0.39, 2845.31, 3108.48, 0.408, 0.348, 0.428, 0.731, 0.831, 0.082, 0.056, 0.153, 1.122
1970, 0.134, 0.114, 0.141, 0.258, 0.292, 0.027, 0.391, 2834.94, 3091.85, 0.381, 0.322, 0.401, 0.731, 0.828, 0.081, 0.051, 0.15, 1.12
1971, 0.076, 0.056, 0.083, 0.255, 0.292, 0.027, 0.389, 2824.58, 3075.23, 0.215, 0.157, 0.235, 0.72, 0.825, 0.079, 0.028, 0.146, 1.109
1972, 0.119, 0.098, 0.126, 0.263, 0.292, 0.029, 0.394, 2814.22, 3058.59, 0.335, 0.276, 0.354, 0.74, 0.822, 0.08, 0.044, 0.144, 1.119
1973, 0.036, 0.015, 0.043, 0.258, 0.292, 0.029, 0.391, 2803.86, 3041.97, 0.1, 0.042, 0.121, 0.723, 0.819, 0.08, 0.013, 0.14, 1.105
1974, -0.272, -0.293, -0.265, 0.271, 0.292, 0.029, 0.399, 2793.49, 3025.33, -0.76, -0.818, -0.739, 0.757, 0.816, 0.08, 0.095, 0.14, 1.127
1975, 0.009, -0.012, 0.016, 0.264, 0.292, 0.029, 0.395, 2783.13, 3008.71, 0.024, -0.033, 0.044, 0.735, 0.813, 0.078, 0.003, 0.135, 1.108
1976, -0.081, -0.102, -0.074, 0.257, 0.292, 0.029, 0.39, 2772.77, 2992.07, -0.224, -0.282, -0.205, 0.713, 0.81, 0.079, 0.027, 0.13, 1.09
1977, -0.168, -0.189, -0.161, 0.238, 0.292, 0.029, 0.378, 2762.41, 2975.45, -0.464, -0.522, -0.444, 0.657, 0.807, 0.079, 0.055, 0.123, 1.053
1978, -0.281, -0.302, -0.274, 0.226, 0.292, 0.029, 0.37, 2752.03, 2958.82, -0.773, -0.832, -0.754, 0.622, 0.804, 0.08, 0.089, 0.118, 1.029
1979, -0.327, -0.348, -0.32, 0.23, 0.292, 0.029, 0.373, 2741.67, 2942.19, -0.897, -0.955, -0.878, 0.631, 0.801, 0.079, 0.101, 0.116, 1.034
1980, -0.114, -0.135, -0.107, 0.204, 0.292, 0.029, 0.357, 2731.31, 2925.56, -0.311, -0.368, -0.292, 0.557, 0.798, 0.078, 0.034, 0.108, 0.982
1981, -0.225, -0.246, -0.218, 0.211, 0.292, 0.029, 0.361, 2720.94, 2908.93, -0.612, -0.669, -0.593, 0.574, 0.795, 0.078, 0.066, 0.106, 0.99
