################################################################################################
# Zemp et al. (2019), Supplementary Data Table                                                 #
#                                                                                              #
# Glacier mass changes for region: 14, ASW                                                     #
#                                                                                              #
# Year: hydrological year                                                                      #
# B_INT_mwe: specific mass-change rate (m w.e. yr-1) based on spatial interpolation, ref. run  #
# B_AVG_mwe: specific mass-change rate (m w.e. yr-1) based on arithmetic averaging             #
# B_AW_mwe: specific mass-change rate (m w.e. yr-1) based on area-weighted averaging           #
# sig_Glac_mwe: uncertainty related to glaciological variability (m w.e. yr-1)                 #
# sig_Geod_mwe: uncertainty related to geodetic value (m w.e. yr-1)                            #
# sig_Int_mwe: uncertainty related to regional interpolation (m w.e. yr-1)                     #
# sig_Total_mwe: total uncertainty of  specific mass-change (m w.e. yr-1)                      #
# Area_AW_ref_km2: regional area (km2) based on RGI60 and area-weighted change rate, ref.run   #
# Area_LW_km2: regional area (km2) based on RGI60 and time-series-length-weighted change rate  #
# dM_INT_Gt: regional mass-change rate (Gt yr-1) based on spatial interpolation, ref. run      #
# dM_AVG_Gt: regional mass-change rate (Gt yr-1) based on arithmetic averaging                 #
# dM_AW_Gt: regional mass-change rate (Gt yr-1) based on area-weighted averaging               #
# sig_Glac_Gt: uncertainty related to glaciological variability (Gt yr-1)                      #
# sig_Geod_Gt: uncertainty related to geodetic value (Gt yr-1)                                 #
# sig_Int_Gt: uncertainty related to regional interpolation (Gt yr-1)                          #
# sig_Area_Gt: uncertainty related to regional glacier area (Gt yr-1)                          #
# sig_Crossed_Gt: 2nd order crossed uncertainty (Gt yr-1)                                      #
# sig_Total_Gt: total uncertainty of regional mass-change rate (Gt yr-1)                       #
#                                                                                              #
################################################################################################

Year, INT_mwe, AVG_mwe, AW_mwe, sig_Glac_mwe, sig_Geod_mwe, sig_Int_mwe, sig_Total_mwe, Area_AW_ref_km2, Area_LW_km2, INT_Gt, AVG_Gt, AW_Gt, sig_Glac_Gt, sig_Geod_Gt, sig_Int_Gt, sig_Area_Gt, sig_Crossed_Gt, sig_Total_Gt
1957, 0.565, 0.447, 0.452, 0.276, 0.064, 0.131, 0.312, 37052.97, 37969.07, 20.942, 16.547, 16.732, 10.227, 2.371, 4.872, 1.269, 0.701, 11.651
1958, 0.801, 0.683, 0.688, 0.275, 0.064, 0.131, 0.311, 37052.97, 37921.74, 29.69, 25.295, 25.48, 10.19, 2.371, 4.872, 1.77, 0.687, 11.679
1959, 0.402, 0.284, 0.289, 0.25, 0.064, 0.131, 0.289, 37052.97, 37874.41, 14.913, 10.519, 10.704, 9.263, 2.371, 4.871, 0.874, 0.628, 10.762
1960, 0.533, 0.414, 0.419, 0.25, 0.064, 0.132, 0.29, 37052.97, 37827.08, 19.734, 15.339, 15.524, 9.263, 2.371, 4.872, 1.141, 0.621, 10.824
1961, 0.299, 0.18, 0.185, 0.252, 0.064, 0.132, 0.292, 37052.97, 37779.76, 11.063, 6.669, 6.854, 9.337, 2.371, 4.871, 0.631, 0.616, 10.855
1962, 0.296, 0.177, 0.182, 0.25, 0.064, 0.132, 0.29, 37052.97, 37732.43, 10.963, 6.569, 6.754, 9.263, 2.371, 4.871, 0.615, 0.603, 10.78
1963, 0.735, 0.616, 0.621, 0.25, 0.064, 0.132, 0.29, 37052.97, 37631.72, 27.233, 22.839, 23.024, 9.263, 2.371, 4.871, 1.484, 0.585, 10.863
1964, 0.784, 0.665, 0.67, 0.252, 0.064, 0.132, 0.292, 36988.92, 37531.02, 28.991, 24.604, 24.789, 9.321, 2.367, 4.863, 1.565, 0.583, 10.929
1965, 0.468, 0.349, 0.354, 0.249, 0.064, 0.132, 0.289, 36924.86, 37430.32, 17.269, 12.89, 13.074, 9.194, 2.363, 4.855, 0.924, 0.571, 10.726
1966, 0.473, 0.354, 0.359, 0.248, 0.064, 0.132, 0.288, 36860.81, 37329.61, 17.431, 13.059, 13.243, 9.141, 2.359, 4.847, 0.924, 0.563, 10.671
1967, 0.558, 0.44, 0.445, 0.263, 0.064, 0.131, 0.301, 36796.76, 37228.9, 20.539, 16.175, 16.359, 9.678, 2.355, 4.838, 1.08, 0.582, 11.144
1968, -0.061, -0.18, -0.175, 0.254, 0.064, 0.132, 0.293, 36732.71, 37128.2, -2.241, -6.598, -6.414, 9.33, 2.351, 4.83, 0.117, 0.562, 10.778
