################################################################################################
# Zemp et al. (2019), Supplementary Data Table                                                 #
#                                                                                              #
# Glacier mass changes for region: 17, SAN                                                     #
#                                                                                              #
# Year: hydrological year                                                                      #
# B_INT_mwe: specific mass-change rate (m w.e. yr-1) based on spatial interpolation, ref. run  #
# B_AVG_mwe: specific mass-change rate (m w.e. yr-1) based on arithmetic averaging             #
# B_AW_mwe: specific mass-change rate (m w.e. yr-1) based on area-weighted averaging           #
# sig_Glac_mwe: uncertainty related to glaciological variability (m w.e. yr-1)                 #
# sig_Geod_mwe: uncertainty related to geodetic value (m w.e. yr-1)                            #
# sig_Int_mwe: uncertainty related to regional interpolation (m w.e. yr-1)                     #
# sig_Total_mwe: total uncertainty of  specific mass-change (m w.e. yr-1)                      #
# Area_AW_ref_km2: regional area (km2) based on RGI60 and area-weighted change rate, ref.run   #
# Area_LW_km2: regional area (km2) based on RGI60 and time-series-length-weighted change rate  #
# dM_INT_Gt: regional mass-change rate (Gt yr-1) based on spatial interpolation, ref. run      #
# dM_AVG_Gt: regional mass-change rate (Gt yr-1) based on arithmetic averaging                 #
# dM_AW_Gt: regional mass-change rate (Gt yr-1) based on area-weighted averaging               #
# sig_Glac_Gt: uncertainty related to glaciological variability (Gt yr-1)                      #
# sig_Geod_Gt: uncertainty related to geodetic value (Gt yr-1)                                 #
# sig_Int_Gt: uncertainty related to regional interpolation (Gt yr-1)                          #
# sig_Area_Gt: uncertainty related to regional glacier area (Gt yr-1)                          #
# sig_Crossed_Gt: 2nd order crossed uncertainty (Gt yr-1)                                      #
# sig_Total_Gt: total uncertainty of regional mass-change rate (Gt yr-1)                       #
#                                                                                              #
################################################################################################

Year, INT_mwe, AVG_mwe, AW_mwe, sig_Glac_mwe, sig_Geod_mwe, sig_Int_mwe, sig_Total_mwe, Area_AW_ref_km2, Area_LW_km2, INT_Gt, AVG_Gt, AW_Gt, sig_Glac_Gt, sig_Geod_Gt, sig_Int_Gt, sig_Area_Gt, sig_Crossed_Gt, sig_Total_Gt
1962, -0.652, 0.026, -0.796, 2.362, 0.059, 0.86, 2.514, 29958.8, 33343.15, -19.526, 0.791, -23.842, 70.763, 1.768, 25.782, 3.21, 12.379, 76.394
1963, -0.652, 0.026, -0.796, 2.362, 0.059, 0.86, 2.514, 29958.8, 33240.15, -19.526, 0.791, -23.842, 70.763, 1.768, 25.782, 3.122, 12.037, 76.336
1964, -0.652, 0.026, -0.796, 2.362, 0.059, 0.86, 2.514, 29958.8, 33137.14, -19.526, 0.791, -23.842, 70.763, 1.768, 25.782, 3.034, 11.697, 76.28
1965, -0.652, 0.026, -0.796, 2.362, 0.059, 0.86, 2.514, 29958.8, 33034.14, -19.526, 0.791, -23.842, 70.763, 1.768, 25.782, 2.946, 11.358, 76.225
1966, -0.652, 0.026, -0.796, 2.362, 0.059, 0.86, 2.514, 29958.8, 32931.14, -19.526, 0.791, -23.842, 70.763, 1.768, 25.782, 2.858, 11.02, 76.172
1967, -0.652, 0.026, -0.796, 2.362, 0.059, 0.86, 2.514, 29958.8, 32828.14, -19.526, 0.791, -23.842, 70.763, 1.768, 25.782, 2.771, 10.683, 76.121
1968, -0.652, 0.026, -0.796, 2.362, 0.059, 0.86, 2.514, 29958.8, 32725.14, -19.526, 0.791, -23.842, 70.763, 1.768, 25.782, 2.684, 10.348, 76.071
1969, -0.652, 0.026, -0.796, 2.362, 0.059, 0.86, 2.514, 29958.8, 32622.14, -19.526, 0.791, -23.842, 70.763, 1.768, 25.782, 2.597, 10.015, 76.024
1970, -0.652, 0.026, -0.796, 2.362, 0.059, 0.86, 2.514, 29958.8, 32519.13, -19.526, 0.791, -23.842, 70.763, 1.768, 25.782, 2.511, 9.683, 75.978
1971, -0.652, 0.026, -0.796, 2.362, 0.059, 0.86, 2.514, 29958.8, 32416.13, -19.526, 0.791, -23.842, 70.763, 1.768, 25.782, 2.426, 9.353, 75.934
