################################################################################################
# Zemp et al. (2019), Supplementary Data Table                                                 #
#                                                                                              #
# Glacier mass changes for region 02-WNA                                                       #
#                                                                                              #
# Year: hydrological year                                                                      #
# B_INT_mwe: specific mass-change rate (m w.e. yr-1) based on spatial interpolation, ref. run  #
# B_AVG_mwe: specific mass-change rate (m w.e. yr-1) based on arithmetic averaging             #
# B_AW_mwe: specific mass-change rate (m w.e. yr-1) based on area-weighted averaging           #
# sig_Glac_mwe: uncertainty related to glaciological variability (m w.e. yr-1)                 #
# sig_Geod_mwe: uncertainty related to geodetic value (m w.e. yr-1)                            #
# sig_Int_mwe: uncertainty related to regional interpolation (m w.e. yr-1)                     #
# sig_Total_mwe: total uncertainty of  specific mass-change (m w.e. yr-1)                      #
# Area_AW_ref_km2: regional area (km2) based on RGI60 and area-weighted change rate, ref.run   #
# Area_LW_km2: regional area (km2) based on RGI60 and time-series-length-weighted change rate  #
# dM_INT_Gt: regional mass-change rate (Gt yr-1) based on spatial interpolation, ref. run      #
# dM_AVG_Gt: regional mass-change rate (Gt yr-1) based on arithmetic averaging                 #
# dM_AW_Gt: regional mass-change rate (Gt yr-1) based on area-weighted averaging               #
# sig_Glac_Gt: uncertainty related to glaciological variability (Gt yr-1)                      #
# sig_Geod_Gt: uncertainty related to geodetic value (Gt yr-1)                                 #
# sig_Int_Gt: uncertainty related to regional interpolation (Gt yr-1)                          #
# sig_Area_Gt: uncertainty related to regional glacier area (Gt yr-1)                          #
# sig_Crossed_Gt: 2nd order crossed uncertainty (Gt yr-1)                                      #
# sig_Total_Gt: total uncertainty of regional mass-change rate (Gt yr-1)                       #
#                                                                                              #
################################################################################################

Year, INT_mwe, AVG_mwe, AW_mwe, sig_Glac_mwe, sig_Geod_mwe, sig_Int_mwe, sig_Total_mwe, Area_AW_ref_km2, Area_LW_km2, INT_Gt, AVG_Gt, AW_Gt, sig_Glac_Gt, sig_Geod_Gt, sig_Int_Gt, sig_Area_Gt, sig_Crossed_Gt, sig_Total_Gt
1953, -0.441, -0.336, -0.46, 0.348, 0.363, 0.131, 0.52, 17551.23, 19559.42, -7.746, -5.898, -8.066, 6.108, 6.371, 2.294, 1.287, 1.518, 9.341
1954, -0.367, -0.262, -0.386, 0.384, 0.363, 0.131, 0.544, 17551.23, 19487.39, -6.448, -4.599, -6.768, 6.74, 6.371, 2.295, 1.036, 1.536, 9.726
1955, -0.012, 0.093, -0.031, 0.35, 0.363, 0.131, 0.521, 17512.86, 19415.35, -0.217, 1.625, -0.537, 6.13, 6.357, 2.287, 0.033, 1.448, 9.238
1956, -0.362, -0.257, -0.38, 0.33, 0.363, 0.13, 0.508, 17474.5, 19343.32, -6.325, -4.489, -6.644, 5.767, 6.343, 2.28, 0.99, 1.389, 9.039
1957, -0.314, -0.209, -0.332, 0.334, 0.363, 0.13, 0.51, 17436.14, 19271.29, -5.467, -3.638, -5.787, 5.824, 6.329, 2.273, 0.844, 1.371, 9.037
1958, -0.413, -0.308, -0.431, 0.331, 0.363, 0.13, 0.508, 17397.78, 19199.25, -7.183, -5.361, -7.503, 5.759, 6.315, 2.265, 1.092, 1.343, 9.006
1959, -0.327, -0.222, -0.345, 0.334, 0.363, 0.13, 0.51, 17359.42, 19127.22, -5.674, -3.858, -5.993, 5.798, 6.301, 2.257, 0.85, 1.326, 8.992
1960, -0.348, -0.244, -0.367, 0.341, 0.363, 0.13, 0.515, 17321.06, 19055.18, -6.035, -4.226, -6.354, 5.906, 6.288, 2.249, 0.889, 1.316, 9.061
1961, -0.221, -0.117, -0.239, 0.341, 0.363, 0.129, 0.514, 17282.7, 18983.15, -3.817, -2.015, -4.135, 5.893, 6.274, 2.241, 0.555, 1.29, 8.994
1962, -0.257, -0.231, -0.297, 0.703, 0.363, 0.065, 0.794, 17244.33, 18911.11, -4.432, -3.988, -5.119, 12.123, 6.26, 1.117, 0.634, 1.958, 13.846
1963, -0.153, -0.128, -0.193, 0.702, 0.363, 0.064, 0.793, 17205.97, 18814.37, -2.638, -2.202, -3.325, 12.079, 6.246, 1.11, 0.366, 1.895, 13.78
1964, 0.114, 0.139, 0.074, 0.714, 0.363, 0.064, 0.804, 17167.61, 18717.63, 1.963, 2.392, 1.275, 12.258, 6.232, 1.104, 0.264, 1.86, 13.93
1965, -0.14, -0.115, -0.18, 0.537, 0.363, 0.064, 0.651, 17129.25, 18620.88, -2.396, -1.974, -3.083, 9.198, 6.218, 1.097, 0.313, 1.457, 11.25
1966, -0.193, -0.169, -0.234, 0.424, 0.363, 0.064, 0.562, 17090.89, 18524.14, -3.304, -2.888, -3.991, 7.247, 6.204, 1.092, 0.417, 1.215, 9.691
1967, -0.357, -0.333, -0.397, 0.427, 0.363, 0.063, 0.564, 17052.53, 18427.39, -6.085, -5.677, -6.772, 7.281, 6.19, 1.085, 0.745, 1.177, 9.718
1968, -0.134, -0.111, -0.175, 0.432, 0.363, 0.064, 0.568, 17014.17, 18330.66, -2.284, -1.881, -2.971, 7.35, 6.176, 1.08, 0.27, 1.143, 9.735
1969, -0.241, -0.218, -0.281, 0.406, 0.363, 0.062, 0.548, 16975.8, 18233.91, -4.088, -3.692, -4.775, 6.892, 6.162, 1.074, 0.467, 1.063, 9.375
1970, -0.478, -0.455, -0.518, 0.483, 0.363, 0.062, 0.607, 16937.44, 18137.17, -8.09, -7.702, -8.776, 8.181, 6.148, 1.066, 0.892, 1.133, 10.382
1971, -0.139, -0.116, -0.179, 0.406, 0.363, 0.062, 0.548, 16899.08, 18040.41, -2.346, -1.964, -3.032, 6.861, 6.134, 1.061, 0.249, 0.983, 9.316
1972, -0.21, -0.188, -0.251, 0.409, 0.363, 0.063, 0.55, 16860.72, 17943.67, -3.538, -3.162, -4.224, 6.896, 6.12, 1.055, 0.362, 0.947, 9.329
1973, 0.026, 0.048, -0.015, 0.443, 0.363, 0.063, 0.576, 16822.36, 17846.93, 0.442, 0.811, -0.244, 7.452, 6.107, 1.049, 0.043, 0.951, 9.736
1974, 0.078, 0.1, 0.037, 0.442, 0.363, 0.063, 0.575, 16784.0, 17750.18, 1.312, 1.674, 0.626, 7.419, 6.093, 1.043, 0.123, 0.909, 9.694
1975, -0.032, -0.011, -0.073, 0.412, 0.363, 0.062, 0.553, 16745.64, 17653.45, -0.54, -0.186, -1.226, 6.899, 6.079, 1.036, 0.048, 0.836, 9.298
1976, 0.272, 0.293, 0.231, 0.471, 0.363, 0.062, 0.598, 16707.27, 17556.7, 4.548, 4.897, 3.862, 7.869, 6.065, 1.032, 0.393, 0.863, 10.036
1977, -0.371, -0.351, -0.413, 0.444, 0.363, 0.062, 0.577, 16668.91, 17459.96, -6.19, -5.849, -6.876, 7.401, 6.051, 1.025, 0.511, 0.795, 9.664
1978, -0.319, -0.299, -0.36, 0.442, 0.363, 0.061, 0.575, 16630.55, 17363.21, -5.307, -4.971, -5.991, 7.351, 6.037, 1.019, 0.419, 0.755, 9.601
