################################################################################################
# Zemp et al. (2019), Supplementary Data Table                                                 #
#                                                                                              #
# Glacier mass changes for region 04-ACS                                                       #
#                                                                                              #
# Year: hydrological year                                                                      #
# B_INT_mwe: specific mass-change rate (m w.e. yr-1) based on spatial interpolation, ref. run  #
# B_AVG_mwe: specific mass-change rate (m w.e. yr-1) based on arithmetic averaging             #
# B_AW_mwe: specific mass-change rate (m w.e. yr-1) based on area-weighted averaging           #
# sig_Glac_mwe: uncertainty related to glaciological variability (m w.e. yr-1)                 #
# sig_Geod_mwe: uncertainty related to geodetic value (m w.e. yr-1)                            #
# sig_Int_mwe: uncertainty related to regional interpolation (m w.e. yr-1)                     #
# sig_Total_mwe: total uncertainty of  specific mass-change (m w.e. yr-1)                      #
# Area_AW_ref_km2: regional area (km2) based on RGI60 and area-weighted change rate, ref.run   #
# Area_LW_km2: regional area (km2) based on RGI60 and time-series-length-weighted change rate  #
# dM_INT_Gt: regional mass-change rate (Gt yr-1) based on spatial interpolation, ref. run      #
# dM_AVG_Gt: regional mass-change rate (Gt yr-1) based on arithmetic averaging                 #
# dM_AW_Gt: regional mass-change rate (Gt yr-1) based on area-weighted averaging               #
# sig_Glac_Gt: uncertainty related to glaciological variability (Gt yr-1)                      #
# sig_Geod_Gt: uncertainty related to geodetic value (Gt yr-1)                                 #
# sig_Int_Gt: uncertainty related to regional interpolation (Gt yr-1)                          #
# sig_Area_Gt: uncertainty related to regional glacier area (Gt yr-1)                          #
# sig_Crossed_Gt: 2nd order crossed uncertainty (Gt yr-1)                                      #
# sig_Total_Gt: total uncertainty of regional mass-change rate (Gt yr-1)                       #
#                                                                                              #
################################################################################################

Year, INT_mwe, AVG_mwe, AW_mwe, sig_Glac_mwe, sig_Geod_mwe, sig_Int_mwe, sig_Total_mwe, Area_AW_ref_km2, Area_LW_km2, INT_Gt, AVG_Gt, AW_Gt, sig_Glac_Gt, sig_Geod_Gt, sig_Int_Gt, sig_Area_Gt, sig_Crossed_Gt, sig_Total_Gt
1959, -0.224, -0.409, -0.127, 0.363, 0.688, 0.281, 0.827, 42067.46, 43839.03, -9.44, -17.224, -5.334, 15.27, 28.942, 11.837, 0.724, 2.674, 34.9
1960, -0.459, -0.644, -0.361, 0.223, 0.688, 0.282, 0.776, 42067.46, 43820.71, -19.302, -27.085, -15.195, 9.381, 28.942, 11.836, 1.475, 2.494, 32.773
1961, -0.08, -0.265, 0.018, 0.222, 0.688, 0.282, 0.776, 42037.69, 43746.46, -3.36, -11.138, 0.743, 9.332, 28.922, 11.828, 0.253, 2.457, 32.715
1962, -0.578, -0.763, -0.48, 0.208, 0.688, 0.282, 0.772, 42007.92, 43672.21, -24.273, -32.046, -20.173, 8.738, 28.901, 11.82, 1.803, 2.408, 32.569
1963, -0.067, -0.252, 0.03, 0.19, 0.688, 0.281, 0.767, 41978.16, 43597.95, -2.818, -10.585, 1.28, 7.976, 28.881, 11.812, 0.206, 2.357, 32.284
1964, 0.213, 0.028, 0.31, 0.191, 0.688, 0.281, 0.767, 41948.39, 43523.7, 8.93, 1.168, 13.024, 8.012, 28.86, 11.803, 0.645, 2.322, 32.265
1965, 0.085, -0.1, 0.183, 0.19, 0.688, 0.282, 0.767, 41918.62, 43449.45, 3.583, -4.173, 7.675, 7.965, 28.84, 11.795, 0.253, 2.287, 32.234
1966, -0.105, -0.29, -0.008, 0.183, 0.688, 0.281, 0.765, 41888.86, 43375.2, -4.409, -12.159, -0.32, 7.666, 28.82, 11.786, 0.308, 2.247, 32.125
1967, 0.073, -0.112, 0.17, 0.181, 0.688, 0.281, 0.765, 41859.09, 43300.95, 3.046, -4.699, 7.132, 7.576, 28.799, 11.778, 0.211, 2.214, 32.099
1968, -0.056, -0.241, 0.042, 0.18, 0.688, 0.282, 0.765, 41829.32, 43226.69, -2.331, -10.07, 1.752, 7.529, 28.779, 11.769, 0.16, 2.181, 32.074
