################################################################################################
# Zemp et al. (2019), Supplementary Data Table                                                 #
#                                                                                              #
# Glacier mass changes for region 06-ISL                                                       #
#                                                                                              #
# Year: hydrological year                                                                      #
# B_INT_mwe: specific mass-change rate (m w.e. yr-1) based on spatial interpolation, ref. run  #
# B_AVG_mwe: specific mass-change rate (m w.e. yr-1) based on arithmetic averaging             #
# B_AW_mwe: specific mass-change rate (m w.e. yr-1) based on area-weighted averaging           #
# sig_Glac_mwe: uncertainty related to glaciological variability (m w.e. yr-1)                 #
# sig_Geod_mwe: uncertainty related to geodetic value (m w.e. yr-1)                            #
# sig_Int_mwe: uncertainty related to regional interpolation (m w.e. yr-1)                     #
# sig_Total_mwe: total uncertainty of  specific mass-change (m w.e. yr-1)                      #
# Area_AW_ref_km2: regional area (km2) based on RGI60 and area-weighted change rate, ref.run   #
# Area_LW_km2: regional area (km2) based on RGI60 and time-series-length-weighted change rate  #
# dM_INT_Gt: regional mass-change rate (Gt yr-1) based on spatial interpolation, ref. run      #
# dM_AVG_Gt: regional mass-change rate (Gt yr-1) based on arithmetic averaging                 #
# dM_AW_Gt: regional mass-change rate (Gt yr-1) based on area-weighted averaging               #
# sig_Glac_Gt: uncertainty related to glaciological variability (Gt yr-1)                      #
# sig_Geod_Gt: uncertainty related to geodetic value (Gt yr-1)                                 #
# sig_Int_Gt: uncertainty related to regional interpolation (Gt yr-1)                          #
# sig_Area_Gt: uncertainty related to regional glacier area (Gt yr-1)                          #
# sig_Crossed_Gt: 2nd order crossed uncertainty (Gt yr-1)                                      #
# sig_Total_Gt: total uncertainty of regional mass-change rate (Gt yr-1)                       #
#                                                                                              #
################################################################################################

Year, INT_mwe, AVG_mwe, AW_mwe, sig_Glac_mwe, sig_Geod_mwe, sig_Int_mwe, sig_Total_mwe, Area_AW_ref_km2, Area_LW_km2, INT_Gt, AVG_Gt, AW_Gt, sig_Glac_Gt, sig_Geod_Gt, sig_Int_Gt, sig_Area_Gt, sig_Crossed_Gt, sig_Total_Gt
1950, -0.591, -0.538, -0.59, 0.545, 0.354, 0.059, 0.653, 12134.7, 11999.77, -7.168, -6.526, -7.156, 6.613, 4.296, 0.72, 0.375, 0.415, 7.944
1951, -0.677, -0.624, -0.676, 0.534, 0.354, 0.059, 0.643, 12134.7, 11980.97, -8.212, -7.57, -8.2, 6.48, 4.296, 0.72, 0.435, 0.413, 7.826
1952, -0.102, -0.049, -0.101, 0.511, 0.354, 0.059, 0.624, 12134.7, 11962.17, -1.232, -0.59, -1.22, 6.201, 4.296, 0.72, 0.067, 0.407, 7.583
1953, -0.688, -0.635, -0.687, 0.508, 0.354, 0.059, 0.622, 12134.7, 11943.37, -8.343, -7.701, -8.331, 6.164, 4.296, 0.72, 0.456, 0.412, 7.573
1954, -0.8, -0.747, -0.799, 0.512, 0.354, 0.059, 0.625, 12134.7, 11924.57, -9.708, -9.066, -9.696, 6.213, 4.296, 0.72, 0.538, 0.421, 7.615
1955, -0.506, -0.454, -0.505, 0.51, 0.354, 0.058, 0.624, 12134.7, 11905.77, -6.146, -5.505, -6.134, 6.189, 4.296, 0.719, 0.346, 0.427, 7.592
1956, -0.363, -0.31, -0.362, 0.503, 0.354, 0.059, 0.618, 12134.7, 11886.97, -4.399, -3.757, -4.387, 6.104, 4.296, 0.72, 0.253, 0.431, 7.516
1957, -0.298, -0.245, -0.297, 0.509, 0.354, 0.059, 0.623, 12134.7, 11868.16, -3.617, -2.976, -3.606, 6.177, 4.296, 0.719, 0.212, 0.443, 7.576
1958, -0.361, -0.308, -0.36, 0.499, 0.354, 0.059, 0.615, 12134.7, 11849.36, -4.385, -3.743, -4.373, 6.055, 4.296, 0.72, 0.261, 0.445, 7.481
1959, -0.902, -0.849, -0.901, 0.501, 0.354, 0.059, 0.616, 12134.7, 11830.56, -10.944, -10.303, -10.932, 6.079, 4.296, 0.719, 0.666, 0.455, 7.518
1960, -1.122, -1.069, -1.121, 0.503, 0.354, 0.059, 0.618, 12134.7, 11811.76, -13.613, -12.971, -13.601, 6.104, 4.296, 0.72, 0.846, 0.466, 7.561
1961, -0.64, -0.588, -0.639, 0.499, 0.354, 0.058, 0.615, 12134.7, 11792.96, -7.772, -7.131, -7.76, 6.055, 4.296, 0.719, 0.493, 0.473, 7.494
1962, 0.215, 0.268, 0.216, 0.501, 0.354, 0.059, 0.616, 12134.7, 11774.16, 2.615, 3.257, 2.627, 6.079, 4.296, 0.72, 0.169, 0.484, 7.493
1963, -0.647, -0.594, -0.646, 0.492, 0.354, 0.059, 0.609, 12134.7, 11755.36, -7.847, -7.206, -7.836, 5.97, 4.296, 0.719, 0.519, 0.489, 7.424
1964, 0.049, 0.101, 0.05, 0.5, 0.354, 0.058, 0.615, 12134.7, 11736.55, 0.589, 1.23, 0.601, 6.067, 4.296, 0.719, 0.04, 0.504, 7.48
1965, 0.124, 0.177, 0.125, 0.504, 0.354, 0.059, 0.619, 12134.7, 11717.75, 1.5, 2.142, 1.512, 6.116, 4.296, 0.72, 0.104, 0.519, 7.53
1966, -0.572, -0.519, -0.571, 0.499, 0.354, 0.059, 0.615, 12134.7, 11698.95, -6.94, -6.298, -6.928, 6.055, 4.296, 0.72, 0.49, 0.526, 7.497
