################################################################################################
# Zemp et al. (2019), Supplementary Data Table                                                 #
#                                                                                              #
# Glacier mass changes for region 09-RUA                                                       #
#                                                                                              #
# Year: hydrological year                                                                      #
# B_INT_mwe: specific mass-change rate (m w.e. yr-1) based on spatial interpolation, ref. run  #
# B_AVG_mwe: specific mass-change rate (m w.e. yr-1) based on arithmetic averaging             #
# B_AW_mwe: specific mass-change rate (m w.e. yr-1) based on area-weighted averaging           #
# sig_Glac_mwe: uncertainty related to glaciological variability (m w.e. yr-1)                 #
# sig_Geod_mwe: uncertainty related to geodetic value (m w.e. yr-1)                            #
# sig_Int_mwe: uncertainty related to regional interpolation (m w.e. yr-1)                     #
# sig_Total_mwe: total uncertainty of  specific mass-change (m w.e. yr-1)                      #
# Area_AW_ref_km2: regional area (km2) based on RGI60 and area-weighted change rate, ref.run   #
# Area_LW_km2: regional area (km2) based on RGI60 and time-series-length-weighted change rate  #
# dM_INT_Gt: regional mass-change rate (Gt yr-1) based on spatial interpolation, ref. run      #
# dM_AVG_Gt: regional mass-change rate (Gt yr-1) based on arithmetic averaging                 #
# dM_AW_Gt: regional mass-change rate (Gt yr-1) based on area-weighted averaging               #
# sig_Glac_Gt: uncertainty related to glaciological variability (Gt yr-1)                      #
# sig_Geod_Gt: uncertainty related to geodetic value (Gt yr-1)                                 #
# sig_Int_Gt: uncertainty related to regional interpolation (Gt yr-1)                          #
# sig_Area_Gt: uncertainty related to regional glacier area (Gt yr-1)                          #
# sig_Crossed_Gt: 2nd order crossed uncertainty (Gt yr-1)                                      #
# sig_Total_Gt: total uncertainty of regional mass-change rate (Gt yr-1)                       #
#                                                                                              #
################################################################################################

Year, INT_mwe, AVG_mwe, AW_mwe, sig_Glac_mwe, sig_Geod_mwe, sig_Int_mwe, sig_Total_mwe, Area_AW_ref_km2, Area_LW_km2, INT_Gt, AVG_Gt, AW_Gt, sig_Glac_Gt, sig_Geod_Gt, sig_Int_Gt, sig_Area_Gt, sig_Crossed_Gt, sig_Total_Gt
1951, -0.923, -0.916, -0.859, 0.49, 0.365, 0.069, 0.615, 53744.74, 57123.56, -49.616, -49.206, -46.184, 26.335, 19.617, 3.674, 4.983, 3.32, 33.591
1952, -0.898, -0.89, -0.834, 0.484, 0.365, 0.068, 0.61, 53744.74, 57123.56, -48.262, -47.852, -44.829, 26.012, 19.617, 3.675, 4.848, 3.293, 33.304
1953, 0.019, 0.027, 0.083, 0.492, 0.365, 0.068, 0.616, 53744.74, 57030.22, 1.038, 1.448, 4.471, 26.442, 19.617, 3.675, 0.1, 3.257, 33.267
1954, 0.044, 0.051, 0.108, 0.485, 0.365, 0.069, 0.611, 53719.85, 56936.89, 2.354, 2.763, 5.785, 26.054, 19.608, 3.673, 0.229, 3.18, 32.977
1955, -0.738, -0.731, -0.675, 0.495, 0.365, 0.068, 0.619, 53694.96, 56843.55, -39.648, -39.238, -36.218, 26.579, 19.599, 3.671, 3.781, 3.171, 33.602
1956, -0.73, -0.722, -0.666, 0.495, 0.365, 0.068, 0.619, 53670.07, 56750.21, -39.162, -38.753, -35.735, 26.567, 19.59, 3.669, 3.681, 3.121, 33.57
1957, 0.187, 0.194, 0.251, 0.49, 0.365, 0.069, 0.615, 53645.18, 56656.87, 10.016, 10.426, 13.443, 26.286, 19.58, 3.668, 0.928, 3.051, 33.146
1958, 0.197, 0.205, 0.261, 0.488, 0.365, 0.068, 0.613, 53620.29, 56563.54, 10.558, 10.968, 13.984, 26.167, 19.571, 3.667, 0.962, 2.992, 33.019
1959, 0.038, 0.046, 0.102, 0.489, 0.365, 0.068, 0.614, 53595.4, 56470.2, 2.037, 2.446, 5.461, 26.208, 19.562, 3.665, 0.182, 2.948, 33.04
1960, 0.048, 0.055, 0.112, 0.481, 0.365, 0.069, 0.608, 53570.51, 56376.86, 2.561, 2.97, 5.983, 25.767, 19.553, 3.663, 0.227, 2.871, 32.698
