################################################################################################
# Zemp et al. (2019), Supplementary Data Table                                                 #
#                                                                                              #
# Global glacier mass changes from 1961 to 2016                                                #
#                                                                                              #
# Year: hydrological year                                                                      #
# Area_AW_ref_km2: regional area (km2) based on RGI60 and area-weighted change rate            #
# dM_INT_Gt: global mass change (Gt yr-1) based on spatial interpolation                       #
# sig_Glac_Gt: uncertainty related to glaciological variability (Gt yr-1)                      #
# sig_Geod_Gt: uncertainty related to geodetic value (Gt yr-1)                                 #
# sig_Int_Gt: uncertainty related to regional interpolation (Gt yr-1)                          #
# sig_Area_Gt: uncertainty related to regional glacier area (Gt yr-1)                          #
# sig_Crossed_Gt: 2nd order crossed uncertainty (Gt yr-1)                                      #
# sig_Total_Gt: Total uncertainty of regional mass change (Gt yr-1)                            #
# dM_INT_SLE: global mass change in equivalents of mean global sea-level rise (mm SLE yr-1)    #
# sig_Total_SLE: Total uncertainty in equivalents of mean global sea-level rise (mm SLE yr-1)  #
#                                                                                              #
################################################################################################

Year, Area_AW_ref_km2, INT_Gt, sig_Glac_Gt, sig_Geod_Gt, sig_Int_Gt, sig_Area_Gt, sig_Crossed_Gt, sig_Total_Gt, INT_SLE, sig_Total_SLE
1962, 763967, -220, 275, 148, 61, 11, 24, 320, 0.607, 0.883
1963, 763386, -35, 275, 148, 61, 6, 23, 319, 0.097, 0.88
1964, 762684, 72, 275, 148, 61, 5, 23, 320, -0.199, 0.883
1965, 761982, -22, 274, 148, 61, 5, 22, 318, 0.061, 0.877
1966, 761280, -89, 272, 148, 61, 7, 21, 317, 0.246, 0.874
1967, 760578, -52, 272, 148, 61, 8, 21, 316, 0.143, 0.872
1968, 759876, -113, 271, 148, 61, 6, 20, 316, 0.312, 0.872
1969, 759174, -153, 185, 148, 61, 7, 17, 246, 0.422, 0.679
1970, 758375, -137, 177, 148, 60, 6, 17, 239, 0.378, 0.659
1971, 757576, -153, 167, 148, 60, 5, 16, 232, 0.422, 0.64
1972, 756778, -107, 163, 148, 60, 7, 16, 229, 0.295, 0.632
1973, 755979, -57, 160, 148, 60, 3, 16, 226, 0.157, 0.623
1974, 755140, -146, 155, 148, 60, 5, 15, 223, 0.403, 0.615
1975, 754233, -37, 163, 148, 60, 3, 15, 228, 0.102, 0.629
1976, 752966, -41, 135, 148, 60, 4, 13, 209, 0.113, 0.577
1977, 751700, -176, 136, 147, 60, 7, 13, 210, 0.486, 0.579
1978, 750433, -148, 130, 147, 60, 5, 12, 206, 0.408, 0.568
1979, 749061, -158, 131, 147, 60, 12, 12, 206, 0.436, 0.568
1980, 747688, -73, 131, 146, 60, 5, 12, 206, 0.201, 0.568
1981, 746316, -64, 121, 146, 60, 4, 11, 200, 0.177, 0.552
1982, 744944, -112, 143, 146, 60, 7, 12, 213, 0.309, 0.588
1983, 743543, 88, 181, 146, 60, 7, 13, 241, -0.243, 0.665
1984, 742143, -90, 126, 145, 59, 4, 11, 202, 0.248, 0.557
1985, 740743, -105, 125, 145, 59, 8, 11, 201, 0.29, 0.554
1986, 739343, -97, 133, 145, 59, 5, 11, 206, 0.268, 0.568
1987, 737207, 7, 131, 144, 59, 4, 11, 204, -0.019, 0.563
1988, 735071, -15, 145, 144, 59, 4, 11, 214, 0.041, 0.59
1989, 732935, -127, 124, 144, 59, 10, 11, 199, 0.35, 0.549
1990, 730800, -211, 121, 144, 59, 9, 10, 197, 0.582, 0.543
1991, 728523, -125, 123, 143, 59, 6, 10, 198, 0.345, 0.546
1992, 726245, -40, 137, 143, 58, 7, 11, 207, 0.11, 0.571
1993, 723968, -220, 121, 143, 58, 9, 10, 196, 0.607, 0.541
1994, 721691, -186, 117, 143, 58, 7, 10, 194, 0.513, 0.535
1995, 719414, -264, 116, 142, 58, 9, 10, 193, 0.728, 0.532
1996, 717137, -155, 118, 142, 58, 5, 10, 194, 0.428, 0.535
1997, 714860, -337, 129, 142, 58, 9, 10, 200, 0.93, 0.552
1998, 712583, -260, 123, 141, 58, 8, 10, 197, 0.717, 0.543
1999, 710306, -282, 134, 141, 57, 5, 10, 203, 0.778, 0.56
2000, 708029, -145, 115, 141, 57, 3, 10, 191, 0.4, 0.527
2001, 705751, -185, 120, 141, 57, 4, 10, 194, 0.51, 0.535
2002, 703474, -214, 110, 140, 57, 5, 10, 187, 0.59, 0.516
2003, 701197, -282, 110, 140, 57, 6, 10, 187, 0.778, 0.516
2004, 698920, -330, 111, 140, 57, 8, 10, 188, 0.91, 0.519
2005, 696643, -332, 110, 139, 56, 7, 10, 187, 0.916, 0.516
2006, 694366, -313, 111, 139, 56, 6, 10, 187, 0.863, 0.516
2007, 692089, -304, 112, 139, 56, 6, 10, 187, 0.839, 0.516
2008, 689812, -242, 108, 139, 56, 5, 10, 185, 0.668, 0.51
2009, 687535, -321, 107, 138, 56, 7, 10, 184, 0.886, 0.508
2010, 685258, -284, 107, 138, 56, 6, 10, 184, 0.783, 0.508
2011, 682980, -418, 109, 138, 56, 8, 10, 184, 1.153, 0.508
2012, 680703, -307, 112, 137, 55, 7, 10, 186, 0.847, 0.513
2013, 678426, -358, 112, 137, 55, 8, 10, 186, 0.988, 0.513
2014, 676149, -290, 119, 137, 55, 7, 10, 190, 0.8, 0.524
2015, 673872, -414, 125, 137, 55, 9, 11, 194, 1.142, 0.535
2016, 671595, -407, 156, 136, 55, 9, 12, 215, 1.123, 0.593
