################################################################################################
# Zemp et al. (2019), Supplementary Data Table                                                 #
#                                                                                              #
# Glacier mass changes for region: 11, CEU                                                     #
#                                                                                              #
# Year: hydrological year                                                                      #
# B_INT_mwe: specific mass-change rate (m w.e. yr-1) based on spatial interpolation, ref. run  #
# B_AVG_mwe: specific mass-change rate (m w.e. yr-1) based on arithmetic averaging             #
# B_AW_mwe: specific mass-change rate (m w.e. yr-1) based on area-weighted averaging           #
# sig_Glac_mwe: uncertainty related to glaciological variability (m w.e. yr-1)                 #
# sig_Geod_mwe: uncertainty related to geodetic value (m w.e. yr-1)                            #
# sig_Int_mwe: uncertainty related to regional interpolation (m w.e. yr-1)                     #
# sig_Total_mwe: total uncertainty of  specific mass-change (m w.e. yr-1)                      #
# Area_AW_ref_km2: regional area (km2) based on RGI60 and area-weighted change rate, ref.run   #
# Area_LW_km2: regional area (km2) based on RGI60 and time-series-length-weighted change rate  #
# dM_INT_Gt: regional mass-change rate (Gt yr-1) based on spatial interpolation, ref. run      #
# dM_AVG_Gt: regional mass-change rate (Gt yr-1) based on arithmetic averaging                 #
# dM_AW_Gt: regional mass-change rate (Gt yr-1) based on area-weighted averaging               #
# sig_Glac_Gt: uncertainty related to glaciological variability (Gt yr-1)                      #
# sig_Geod_Gt: uncertainty related to geodetic value (Gt yr-1)                                 #
# sig_Int_Gt: uncertainty related to regional interpolation (Gt yr-1)                          #
# sig_Area_Gt: uncertainty related to regional glacier area (Gt yr-1)                          #
# sig_Crossed_Gt: 2nd order crossed uncertainty (Gt yr-1)                                      #
# sig_Total_Gt: total uncertainty of regional mass-change rate (Gt yr-1)                       #
#                                                                                              #
################################################################################################

Year, INT_mwe, AVG_mwe, AW_mwe, sig_Glac_mwe, sig_Geod_mwe, sig_Int_mwe, sig_Total_mwe, Area_AW_ref_km2, Area_LW_km2, INT_Gt, AVG_Gt, AW_Gt, sig_Glac_Gt, sig_Geod_Gt, sig_Int_Gt, sig_Area_Gt, sig_Crossed_Gt, sig_Total_Gt
1950, -1.337, -1.327, -1.4, 0.304, 0.014, 0.078, 0.314, 2578.57, 3045.33, -3.447, -3.423, -3.611, 0.784, 0.036, 0.201, 0.882, 0.207, 1.215
1951, 0.139, 0.149, 0.076, 0.299, 0.014, 0.078, 0.309, 2578.57, 3045.33, 0.359, 0.384, 0.195, 0.771, 0.036, 0.201, 0.092, 0.204, 0.828
1952, -0.852, -0.843, -0.916, 0.32, 0.014, 0.078, 0.33, 2578.57, 3045.33, -2.198, -2.174, -2.362, 0.825, 0.036, 0.201, 0.562, 0.218, 1.043
1953, -0.221, -0.211, -0.284, 0.266, 0.014, 0.078, 0.278, 2578.57, 3045.33, -0.569, -0.545, -0.733, 0.686, 0.036, 0.201, 0.146, 0.183, 0.754
1954, -0.032, -0.022, -0.095, 0.268, 0.014, 0.078, 0.279, 2578.57, 3045.33, -0.082, -0.058, -0.246, 0.691, 0.036, 0.201, 0.021, 0.184, 0.743
1955, 0.557, 0.566, 0.493, 0.285, 0.014, 0.078, 0.296, 2578.57, 3045.33, 1.435, 1.459, 1.271, 0.735, 0.036, 0.201, 0.367, 0.195, 0.869
1956, 0.017, 0.027, -0.046, 0.239, 0.014, 0.078, 0.252, 2578.57, 3045.33, 0.045, 0.069, -0.119, 0.616, 0.036, 0.201, 0.011, 0.166, 0.671
1957, 0.103, 0.112, 0.04, 0.227, 0.014, 0.077, 0.24, 2578.57, 3045.33, 0.266, 0.29, 0.102, 0.585, 0.036, 0.201, 0.068, 0.158, 0.642
1958, -0.428, -0.419, -0.492, 0.225, 0.014, 0.078, 0.239, 2578.57, 3045.33, -1.104, -1.08, -1.268, 0.58, 0.036, 0.201, 0.282, 0.158, 0.696
1959, -0.539, -0.53, -0.603, 0.226, 0.014, 0.078, 0.239, 2578.57, 3045.33, -1.391, -1.367, -1.555, 0.583, 0.036, 0.201, 0.356, 0.158, 0.729
1960, 0.239, 0.249, 0.176, 0.226, 0.014, 0.078, 0.239, 2578.57, 3045.33, 0.617, 0.641, 0.453, 0.583, 0.036, 0.201, 0.158, 0.158, 0.655
1961, 0.258, 0.267, 0.194, 0.222, 0.014, 0.078, 0.236, 2578.57, 3045.33, 0.665, 0.689, 0.501, 0.572, 0.036, 0.201, 0.17, 0.156, 0.651
1962, -0.332, -0.323, -0.396, 0.219, 0.014, 0.078, 0.233, 2578.57, 3045.33, -0.856, -0.832, -1.02, 0.565, 0.036, 0.201, 0.219, 0.154, 0.658
1963, -0.253, -0.243, -0.316, 0.209, 0.014, 0.078, 0.224, 2578.57, 3045.33, -0.652, -0.627, -0.816, 0.539, 0.036, 0.201, 0.167, 0.148, 0.619
1964, -0.835, -0.826, -0.899, 0.208, 0.014, 0.078, 0.223, 2578.57, 3045.33, -2.153, -2.129, -2.317, 0.536, 0.036, 0.201, 0.551, 0.147, 0.81
1965, 0.82, 0.83, 0.757, 0.203, 0.014, 0.078, 0.218, 2578.57, 3045.33, 2.115, 2.139, 1.951, 0.523, 0.036, 0.201, 0.541, 0.144, 0.793
1966, 0.65, 0.659, 0.586, 0.196, 0.014, 0.078, 0.211, 2578.57, 3045.33, 1.675, 1.699, 1.511, 0.505, 0.036, 0.201, 0.429, 0.139, 0.707
1967, 0.248, 0.258, 0.185, 0.191, 0.014, 0.078, 0.207, 2578.57, 3045.33, 0.64, 0.664, 0.476, 0.493, 0.036, 0.201, 0.164, 0.137, 0.575
1968, 0.411, 0.42, 0.347, 0.187, 0.014, 0.078, 0.203, 2578.57, 3045.33, 1.059, 1.084, 0.896, 0.482, 0.036, 0.2, 0.271, 0.134, 0.605
1969, 0.249, 0.258, 0.185, 0.19, 0.014, 0.078, 0.206, 2578.57, 3045.33, 0.642, 0.666, 0.478, 0.49, 0.036, 0.201, 0.164, 0.136, 0.572
1970, 0.007, 0.016, -0.057, 0.189, 0.014, 0.078, 0.205, 2578.57, 3017.29, 0.017, 0.042, -0.146, 0.487, 0.036, 0.2, 0.004, 0.127, 0.544
1971, -0.44, -0.431, -0.504, 0.195, 0.014, 0.078, 0.21, 2578.57, 2989.26, -1.135, -1.111, -1.299, 0.503, 0.036, 0.201, 0.257, 0.123, 0.612
1972, 0.181, 0.19, 0.117, 0.192, 0.014, 0.078, 0.208, 2578.57, 2961.22, 0.466, 0.49, 0.302, 0.495, 0.036, 0.201, 0.099, 0.114, 0.557
1973, -0.526, -0.517, -0.59, 0.195, 0.014, 0.078, 0.21, 2578.57, 2933.19, -1.357, -1.333, -1.521, 0.503, 0.036, 0.201, 0.267, 0.107, 0.613
1974, 0.223, 0.233, 0.16, 0.191, 0.014, 0.078, 0.207, 2578.57, 2905.15, 0.575, 0.6, 0.412, 0.493, 0.036, 0.2, 0.105, 0.097, 0.553
1975, 0.441, 0.451, 0.378, 0.191, 0.014, 0.078, 0.207, 2578.57, 2877.12, 1.138, 1.162, 0.974, 0.493, 0.036, 0.201, 0.191, 0.09, 0.574
1976, -0.362, -0.353, -0.426, 0.194, 0.014, 0.078, 0.21, 2578.57, 2849.08, -0.934, -0.91, -1.098, 0.5, 0.036, 0.201, 0.144, 0.083, 0.566
1977, 1.012, 1.021, 0.949, 0.196, 0.014, 0.077, 0.211, 2578.57, 2821.05, 2.61, 2.634, 2.446, 0.505, 0.036, 0.201, 0.364, 0.076, 0.659
1978, 1.038, 1.047, 0.975, 0.196, 0.014, 0.077, 0.211, 2578.57, 2793.01, 2.677, 2.701, 2.513, 0.505, 0.036, 0.201, 0.336, 0.068, 0.643
1979, -0.01, -0.001, -0.074, 0.199, 0.014, 0.078, 0.214, 2559.11, 2764.98, -0.026, -0.002, -0.189, 0.509, 0.036, 0.199, 0.003, 0.067, 0.552
1980, 0.799, 0.808, 0.736, 0.19, 0.014, 0.077, 0.205, 2539.66, 2736.95, 2.029, 2.053, 1.868, 0.483, 0.036, 0.197, 0.241, 0.062, 0.577
1981, 0.239, 0.248, 0.175, 0.199, 0.014, 0.078, 0.214, 2520.2, 2708.91, 0.602, 0.625, 0.442, 0.502, 0.035, 0.195, 0.069, 0.062, 0.547
1982, -0.507, -0.498, -0.571, 0.199, 0.014, 0.078, 0.214, 2500.74, 2680.88, -1.269, -1.246, -1.428, 0.498, 0.035, 0.194, 0.142, 0.06, 0.557
1983, -0.336, -0.327, -0.4, 0.194, 0.014, 0.078, 0.21, 2481.29, 2652.84, -0.834, -0.811, -0.992, 0.481, 0.035, 0.193, 0.09, 0.056, 0.532
