################################################################################################
# Zemp et al. (2019), Supplementary Data Table                                                 #
#                                                                                              #
# Glacier mass changes for region: 12, CAU                                                     #
#                                                                                              #
# Year: hydrological year                                                                      #
# B_INT_mwe: specific mass-change rate (m w.e. yr-1) based on spatial interpolation, ref. run  #
# B_AVG_mwe: specific mass-change rate (m w.e. yr-1) based on arithmetic averaging             #
# B_AW_mwe: specific mass-change rate (m w.e. yr-1) based on area-weighted averaging           #
# sig_Glac_mwe: uncertainty related to glaciological variability (m w.e. yr-1)                 #
# sig_Geod_mwe: uncertainty related to geodetic value (m w.e. yr-1)                            #
# sig_Int_mwe: uncertainty related to regional interpolation (m w.e. yr-1)                     #
# sig_Total_mwe: total uncertainty of  specific mass-change (m w.e. yr-1)                      #
# Area_AW_ref_km2: regional area (km2) based on RGI60 and area-weighted change rate, ref.run   #
# Area_LW_km2: regional area (km2) based on RGI60 and time-series-length-weighted change rate  #
# dM_INT_Gt: regional mass-change rate (Gt yr-1) based on spatial interpolation, ref. run      #
# dM_AVG_Gt: regional mass-change rate (Gt yr-1) based on arithmetic averaging                 #
# dM_AW_Gt: regional mass-change rate (Gt yr-1) based on area-weighted averaging               #
# sig_Glac_Gt: uncertainty related to glaciological variability (Gt yr-1)                      #
# sig_Geod_Gt: uncertainty related to geodetic value (Gt yr-1)                                 #
# sig_Int_Gt: uncertainty related to regional interpolation (Gt yr-1)                          #
# sig_Area_Gt: uncertainty related to regional glacier area (Gt yr-1)                          #
# sig_Crossed_Gt: 2nd order crossed uncertainty (Gt yr-1)                                      #
# sig_Total_Gt: total uncertainty of regional mass-change rate (Gt yr-1)                       #
#                                                                                              #
################################################################################################

Year, INT_mwe, AVG_mwe, AW_mwe, sig_Glac_mwe, sig_Geod_mwe, sig_Int_mwe, sig_Total_mwe, Area_AW_ref_km2, Area_LW_km2, INT_Gt, AVG_Gt, AW_Gt, sig_Glac_Gt, sig_Geod_Gt, sig_Int_Gt, sig_Area_Gt, sig_Crossed_Gt, sig_Total_Gt
1960, 0.135, 0.148, 0.204, 0.539, 0.536, 0.072, 0.764, 1591.0, 1591.0, 0.214, 0.235, 0.325, 0.858, 0.853, 0.116, 0.011, 0.061, 1.217
1961, -0.494, -0.48, -0.424, 0.537, 0.536, 0.073, 0.762, 1584.07, 1584.07, -0.782, -0.761, -0.672, 0.851, 0.849, 0.114, 0.039, 0.06, 1.209
1962, -0.536, -0.523, -0.467, 0.535, 0.536, 0.072, 0.761, 1577.15, 1577.15, -0.846, -0.825, -0.737, 0.844, 0.845, 0.113, 0.042, 0.06, 1.202
1963, 0.419, 0.432, 0.488, 0.551, 0.536, 0.072, 0.772, 1570.22, 1570.22, 0.658, 0.679, 0.767, 0.865, 0.842, 0.113, 0.033, 0.061, 1.214
1964, -0.079, -0.066, -0.01, 0.533, 0.536, 0.072, 0.759, 1563.29, 1563.29, -0.124, -0.103, -0.015, 0.833, 0.838, 0.113, 0.006, 0.059, 1.188
1965, -0.384, -0.371, -0.314, 0.535, 0.536, 0.073, 0.761, 1556.37, 1556.37, -0.597, -0.577, -0.489, 0.833, 0.834, 0.113, 0.03, 0.059, 1.186
1966, -0.151, -0.138, -0.082, 0.483, 0.536, 0.072, 0.725, 1549.44, 1549.44, -0.234, -0.214, -0.127, 0.748, 0.83, 0.112, 0.012, 0.056, 1.125
1967, 0.353, 0.366, 0.421, 0.452, 0.536, 0.071, 0.705, 1542.51, 1542.51, 0.544, 0.564, 0.65, 0.697, 0.827, 0.11, 0.027, 0.054, 1.089
1968, -0.257, -0.244, -0.187, 0.351, 0.536, 0.073, 0.645, 1535.58, 1535.58, -0.394, -0.374, -0.287, 0.539, 0.823, 0.112, 0.02, 0.05, 0.992
1969, -0.773, -0.759, -0.703, 0.354, 0.536, 0.073, 0.646, 1528.66, 1528.66, -1.181, -1.161, -1.075, 0.541, 0.819, 0.11, 0.059, 0.049, 0.991
1970, 0.21, 0.223, 0.279, 0.356, 0.536, 0.072, 0.647, 1521.73, 1521.73, 0.32, 0.34, 0.425, 0.542, 0.816, 0.109, 0.016, 0.049, 0.986
1971, -0.312, -0.298, -0.242, 0.375, 0.536, 0.073, 0.658, 1514.8, 1514.8, -0.472, -0.452, -0.367, 0.568, 0.812, 0.109, 0.024, 0.05, 0.998
1972, -1.025, -1.012, -0.956, 0.38, 0.536, 0.072, 0.661, 1507.88, 1507.88, -1.546, -1.526, -1.442, 0.573, 0.808, 0.108, 0.077, 0.05, 1.001
1973, -0.193, -0.18, -0.124, 0.378, 0.536, 0.072, 0.66, 1500.95, 1500.95, -0.29, -0.27, -0.186, 0.567, 0.805, 0.108, 0.014, 0.05, 0.992
