################################################################################################
# Zemp et al. (2019), Supplementary Data Table                                                 #
#                                                                                              #
# Glacier mass changes for region: 13, ASC                                                     #
#                                                                                              #
# Year: hydrological year                                                                      #
# B_INT_mwe: specific mass-change rate (m w.e. yr-1) based on spatial interpolation, ref. run  #
# B_AVG_mwe: specific mass-change rate (m w.e. yr-1) based on arithmetic averaging             #
# B_AW_mwe: specific mass-change rate (m w.e. yr-1) based on area-weighted averaging           #
# sig_Glac_mwe: uncertainty related to glaciological variability (m w.e. yr-1)                 #
# sig_Geod_mwe: uncertainty related to geodetic value (m w.e. yr-1)                            #
# sig_Int_mwe: uncertainty related to regional interpolation (m w.e. yr-1)                     #
# sig_Total_mwe: total uncertainty of  specific mass-change (m w.e. yr-1)                      #
# Area_AW_ref_km2: regional area (km2) based on RGI60 and area-weighted change rate, ref.run   #
# Area_LW_km2: regional area (km2) based on RGI60 and time-series-length-weighted change rate  #
# dM_INT_Gt: regional mass-change rate (Gt yr-1) based on spatial interpolation, ref. run      #
# dM_AVG_Gt: regional mass-change rate (Gt yr-1) based on arithmetic averaging                 #
# dM_AW_Gt: regional mass-change rate (Gt yr-1) based on area-weighted averaging               #
# sig_Glac_Gt: uncertainty related to glaciological variability (Gt yr-1)                      #
# sig_Geod_Gt: uncertainty related to geodetic value (Gt yr-1)                                 #
# sig_Int_Gt: uncertainty related to regional interpolation (Gt yr-1)                          #
# sig_Area_Gt: uncertainty related to regional glacier area (Gt yr-1)                          #
# sig_Crossed_Gt: 2nd order crossed uncertainty (Gt yr-1)                                      #
# sig_Total_Gt: total uncertainty of regional mass-change rate (Gt yr-1)                       #
#                                                                                              #
################################################################################################

Year, INT_mwe, AVG_mwe, AW_mwe, sig_Glac_mwe, sig_Geod_mwe, sig_Int_mwe, sig_Total_mwe, Area_AW_ref_km2, Area_LW_km2, INT_Gt, AVG_Gt, AW_Gt, sig_Glac_Gt, sig_Geod_Gt, sig_Int_Gt, sig_Area_Gt, sig_Crossed_Gt, sig_Total_Gt
1957, 0.421, 0.346, 0.34, 0.369, 0.051, 0.088, 0.383, 54201.01, 55596.42, 22.795, 18.75, 18.442, 20.0, 2.764, 4.761, 1.402, 1.275, 20.845
1958, 0.593, 0.519, 0.513, 0.354, 0.051, 0.087, 0.368, 54201.01, 55521.03, 32.159, 28.115, 27.806, 19.187, 2.764, 4.761, 1.939, 1.203, 20.076
1959, 0.315, 0.241, 0.235, 0.309, 0.051, 0.087, 0.325, 54201.01, 55445.66, 17.087, 13.042, 12.733, 16.748, 2.764, 4.762, 1.012, 1.044, 17.675
1960, 0.396, 0.322, 0.316, 0.303, 0.051, 0.087, 0.319, 54201.01, 55370.27, 21.474, 17.43, 17.121, 16.423, 2.764, 4.761, 1.25, 1.007, 17.365
1961, 0.238, 0.163, 0.158, 0.301, 0.051, 0.088, 0.318, 54201.01, 55294.89, 12.892, 8.847, 8.539, 16.315, 2.764, 4.761, 0.739, 0.987, 17.28
1962, 0.223, 0.149, 0.143, 0.299, 0.051, 0.087, 0.316, 54201.01, 55219.51, 12.096, 8.052, 7.743, 16.206, 2.764, 4.761, 0.681, 0.966, 17.168
1963, 0.568, 0.493, 0.488, 0.295, 0.051, 0.088, 0.312, 54201.01, 55077.48, 30.792, 26.748, 26.439, 15.989, 2.764, 4.761, 1.687, 0.927, 17.02
1964, 0.587, 0.513, 0.507, 0.294, 0.051, 0.087, 0.311, 54144.22, 54935.45, 31.793, 27.756, 27.447, 15.918, 2.761, 4.753, 1.715, 0.908, 16.95
1965, 0.383, 0.308, 0.303, 0.29, 0.051, 0.088, 0.307, 54087.43, 54793.42, 20.706, 16.676, 16.366, 15.685, 2.758, 4.746, 1.101, 0.883, 16.665
1966, 0.344, 0.27, 0.264, 0.289, 0.051, 0.087, 0.306, 54030.63, 54651.39, 18.597, 14.573, 14.264, 15.615, 2.756, 4.738, 0.975, 0.868, 16.585
