################################################################################################
# Zemp et al. (2019), Supplementary Data Table                                                 #
#                                                                                              #
# Glacier mass changes for region: 15, ASE                                                     #
#                                                                                              #
# Year: hydrological year                                                                      #
# B_INT_mwe: specific mass-change rate (m w.e. yr-1) based on spatial interpolation, ref. run  #
# B_AVG_mwe: specific mass-change rate (m w.e. yr-1) based on arithmetic averaging             #
# B_AW_mwe: specific mass-change rate (m w.e. yr-1) based on area-weighted averaging           #
# sig_Glac_mwe: uncertainty related to glaciological variability (m w.e. yr-1)                 #
# sig_Geod_mwe: uncertainty related to geodetic value (m w.e. yr-1)                            #
# sig_Int_mwe: uncertainty related to regional interpolation (m w.e. yr-1)                     #
# sig_Total_mwe: total uncertainty of  specific mass-change (m w.e. yr-1)                      #
# Area_AW_ref_km2: regional area (km2) based on RGI60 and area-weighted change rate, ref.run   #
# Area_LW_km2: regional area (km2) based on RGI60 and time-series-length-weighted change rate  #
# dM_INT_Gt: regional mass-change rate (Gt yr-1) based on spatial interpolation, ref. run      #
# dM_AVG_Gt: regional mass-change rate (Gt yr-1) based on arithmetic averaging                 #
# dM_AW_Gt: regional mass-change rate (Gt yr-1) based on area-weighted averaging               #
# sig_Glac_Gt: uncertainty related to glaciological variability (Gt yr-1)                      #
# sig_Geod_Gt: uncertainty related to geodetic value (Gt yr-1)                                 #
# sig_Int_Gt: uncertainty related to regional interpolation (Gt yr-1)                          #
# sig_Area_Gt: uncertainty related to regional glacier area (Gt yr-1)                          #
# sig_Crossed_Gt: 2nd order crossed uncertainty (Gt yr-1)                                      #
# sig_Total_Gt: total uncertainty of regional mass-change rate (Gt yr-1)                       #
#                                                                                              #
################################################################################################

Year, INT_mwe, AVG_mwe, AW_mwe, sig_Glac_mwe, sig_Geod_mwe, sig_Int_mwe, sig_Total_mwe, Area_AW_ref_km2, Area_LW_km2, INT_Gt, AVG_Gt, AW_Gt, sig_Glac_Gt, sig_Geod_Gt, sig_Int_Gt, sig_Area_Gt, sig_Crossed_Gt, sig_Total_Gt
1957, 0.198, 0.191, 0.169, 0.511, 0.054, 0.03, 0.515, 16097.46, 16537.18, 3.187, 3.076, 2.719, 8.226, 0.869, 0.479, 0.2, 0.52, 8.309
1958, 0.273, 0.266, 0.244, 0.474, 0.054, 0.03, 0.478, 16097.46, 16511.98, 4.399, 4.288, 3.931, 7.63, 0.869, 0.479, 0.27, 0.473, 7.714
1959, 0.181, 0.174, 0.152, 0.4, 0.054, 0.03, 0.405, 16097.46, 16486.78, 2.913, 2.802, 2.445, 6.439, 0.869, 0.479, 0.175, 0.392, 6.534
1960, 0.186, 0.179, 0.157, 0.384, 0.054, 0.03, 0.389, 16097.46, 16461.58, 2.999, 2.887, 2.531, 6.181, 0.869, 0.479, 0.177, 0.37, 6.275
1961, 0.144, 0.137, 0.115, 0.377, 0.054, 0.03, 0.382, 16097.46, 16436.38, 2.324, 2.213, 1.856, 6.069, 0.869, 0.479, 0.134, 0.356, 6.161
1962, 0.111, 0.104, 0.082, 0.375, 0.054, 0.03, 0.38, 16097.46, 16411.18, 1.791, 1.68, 1.323, 6.037, 0.869, 0.479, 0.102, 0.348, 6.128
1963, 0.311, 0.304, 0.282, 0.364, 0.054, 0.03, 0.369, 16097.46, 16371.41, 5.011, 4.9, 4.543, 5.859, 0.869, 0.479, 0.277, 0.328, 5.955
1964, 0.285, 0.278, 0.256, 0.357, 0.054, 0.03, 0.362, 16097.46, 16331.65, 4.59, 4.48, 4.123, 5.747, 0.869, 0.479, 0.247, 0.314, 5.841
1965, 0.253, 0.246, 0.224, 0.351, 0.054, 0.03, 0.356, 16097.46, 16291.88, 4.068, 3.956, 3.6, 5.65, 0.869, 0.479, 0.215, 0.302, 5.743
1966, 0.147, 0.14, 0.118, 0.353, 0.054, 0.03, 0.358, 16097.46, 16252.11, 2.369, 2.258, 1.901, 5.682, 0.869, 0.479, 0.122, 0.298, 5.772
