################################################################################################
# Zemp et al. (2019), Supplementary Data Table                                                 #
#                                                                                              #
# Glacier mass changes for region: 16, TRP                                                     #
#                                                                                              #
# Year: hydrological year                                                                      #
# B_INT_mwe: specific mass-change rate (m w.e. yr-1) based on spatial interpolation, ref. run  #
# B_AVG_mwe: specific mass-change rate (m w.e. yr-1) based on arithmetic averaging             #
# B_AW_mwe: specific mass-change rate (m w.e. yr-1) based on area-weighted averaging           #
# sig_Glac_mwe: uncertainty related to glaciological variability (m w.e. yr-1)                 #
# sig_Geod_mwe: uncertainty related to geodetic value (m w.e. yr-1)                            #
# sig_Int_mwe: uncertainty related to regional interpolation (m w.e. yr-1)                     #
# sig_Total_mwe: total uncertainty of  specific mass-change (m w.e. yr-1)                      #
# Area_AW_ref_km2: regional area (km2) based on RGI60 and area-weighted change rate, ref.run   #
# Area_LW_km2: regional area (km2) based on RGI60 and time-series-length-weighted change rate  #
# dM_INT_Gt: regional mass-change rate (Gt yr-1) based on spatial interpolation, ref. run      #
# dM_AVG_Gt: regional mass-change rate (Gt yr-1) based on arithmetic averaging                 #
# dM_AW_Gt: regional mass-change rate (Gt yr-1) based on area-weighted averaging               #
# sig_Glac_Gt: uncertainty related to glaciological variability (Gt yr-1)                      #
# sig_Geod_Gt: uncertainty related to geodetic value (Gt yr-1)                                 #
# sig_Int_Gt: uncertainty related to regional interpolation (Gt yr-1)                          #
# sig_Area_Gt: uncertainty related to regional glacier area (Gt yr-1)                          #
# sig_Crossed_Gt: 2nd order crossed uncertainty (Gt yr-1)                                      #
# sig_Total_Gt: total uncertainty of regional mass-change rate (Gt yr-1)                       #
#                                                                                              #
################################################################################################

Year, INT_mwe, AVG_mwe, AW_mwe, sig_Glac_mwe, sig_Geod_mwe, sig_Int_mwe, sig_Total_mwe, Area_AW_ref_km2, Area_LW_km2, INT_Gt, AVG_Gt, AW_Gt, sig_Glac_Gt, sig_Geod_Gt, sig_Int_Gt, sig_Area_Gt, sig_Crossed_Gt, sig_Total_Gt
1962, -0.178, -0.244, -0.102, 1.233, 0.788, 0.139, 1.47, 2832.56, 3396.65, -0.503, -0.691, -0.288, 3.493, 2.232, 0.395, 0.141, 1.168, 4.327
1963, -0.178, -0.244, -0.102, 1.233, 0.788, 0.139, 1.47, 2832.56, 3368.66, -0.503, -0.691, -0.288, 3.493, 2.232, 0.395, 0.135, 1.112, 4.312
1964, -0.178, -0.244, -0.102, 1.233, 0.788, 0.139, 1.47, 2832.56, 3340.66, -0.503, -0.691, -0.288, 3.493, 2.232, 0.395, 0.128, 1.056, 4.298
1965, -0.178, -0.244, -0.102, 1.233, 0.788, 0.139, 1.47, 2832.56, 3312.67, -0.503, -0.691, -0.288, 3.493, 2.232, 0.395, 0.121, 1.0, 4.284
1966, -0.178, -0.244, -0.102, 1.233, 0.788, 0.139, 1.47, 2832.56, 3284.67, -0.503, -0.691, -0.288, 3.493, 2.232, 0.395, 0.114, 0.944, 4.271
1967, -0.178, -0.244, -0.102, 1.233, 0.788, 0.139, 1.47, 2832.56, 3256.68, -0.503, -0.691, -0.288, 3.493, 2.232, 0.395, 0.108, 0.889, 4.259
1968, -0.178, -0.244, -0.102, 1.233, 0.788, 0.139, 1.47, 2832.56, 3228.68, -0.503, -0.691, -0.288, 3.493, 2.232, 0.395, 0.101, 0.833, 4.248
1969, -0.178, -0.244, -0.102, 1.233, 0.788, 0.139, 1.47, 2832.56, 3200.69, -0.503, -0.691, -0.288, 3.493, 2.232, 0.395, 0.094, 0.778, 4.237
1970, -0.178, -0.244, -0.102, 1.233, 0.788, 0.139, 1.47, 2832.56, 3172.7, -0.503, -0.691, -0.288, 3.493, 2.232, 0.395, 0.088, 0.724, 4.227
1971, -0.178, -0.244, -0.102, 1.233, 0.788, 0.139, 1.47, 2832.56, 3144.7, -0.503, -0.691, -0.288, 3.493, 2.232, 0.395, 0.081, 0.669, 4.218
1972, -0.178, -0.244, -0.102, 1.233, 0.788, 0.139, 1.47, 2832.56, 3116.71, -0.503, -0.691, -0.288, 3.493, 2.232, 0.395, 0.074, 0.615, 4.21
1973, -0.178, -0.244, -0.102, 1.233, 0.788, 0.139, 1.47, 2832.56, 3088.71, -0.503, -0.691, -0.288, 3.493, 2.232, 0.395, 0.068, 0.562, 4.202
1974, -0.178, -0.244, -0.102, 1.233, 0.788, 0.139, 1.47, 2832.56, 3060.72, -0.503, -0.691, -0.288, 3.493, 2.232, 0.395, 0.062, 0.509, 4.195
1975, -0.178, -0.244, -0.102, 1.233, 0.788, 0.139, 1.47, 2832.56, 3032.72, -0.503, -0.691, -0.288, 3.493, 2.232, 0.395, 0.055, 0.458, 4.189
1976, -0.091, -0.158, -0.016, 0.781, 0.788, 0.139, 1.118, 2832.56, 3004.73, -0.259, -0.447, -0.044, 2.212, 2.232, 0.395, 0.025, 0.31, 3.182
1977, -0.127, -0.194, -0.052, 0.712, 0.788, 0.139, 1.071, 2832.56, 2976.73, -0.361, -0.549, -0.146, 2.017, 2.232, 0.395, 0.031, 0.262, 3.045
1978, -0.058, -0.124, 0.018, 0.652, 0.788, 0.139, 1.032, 2832.56, 2948.74, -0.163, -0.351, 0.052, 1.847, 2.232, 0.395, 0.012, 0.221, 2.932
