################################################################################################
# Zemp et al. (2019), Supplementary Data Table                                                 #
#                                                                                              #
# Glacier mass changes for region: 18, NZL                                                     #
#                                                                                              #
# Year: hydrological year                                                                      #
# B_INT_mwe: specific mass-change rate (m w.e. yr-1) based on spatial interpolation, ref. run  #
# B_AVG_mwe: specific mass-change rate (m w.e. yr-1) based on arithmetic averaging             #
# B_AW_mwe: specific mass-change rate (m w.e. yr-1) based on area-weighted averaging           #
# sig_Glac_mwe: uncertainty related to glaciological variability (m w.e. yr-1)                 #
# sig_Geod_mwe: uncertainty related to geodetic value (m w.e. yr-1)                            #
# sig_Int_mwe: uncertainty related to regional interpolation (m w.e. yr-1)                     #
# sig_Total_mwe: total uncertainty of  specific mass-change (m w.e. yr-1)                      #
# Area_AW_ref_km2: regional area (km2) based on RGI60 and area-weighted change rate, ref.run   #
# Area_LW_km2: regional area (km2) based on RGI60 and time-series-length-weighted change rate  #
# dM_INT_Gt: regional mass-change rate (Gt yr-1) based on spatial interpolation, ref. run      #
# dM_AVG_Gt: regional mass-change rate (Gt yr-1) based on arithmetic averaging                 #
# dM_AW_Gt: regional mass-change rate (Gt yr-1) based on area-weighted averaging               #
# sig_Glac_Gt: uncertainty related to glaciological variability (Gt yr-1)                      #
# sig_Geod_Gt: uncertainty related to geodetic value (Gt yr-1)                                 #
# sig_Int_Gt: uncertainty related to regional interpolation (Gt yr-1)                          #
# sig_Area_Gt: uncertainty related to regional glacier area (Gt yr-1)                          #
# sig_Crossed_Gt: 2nd order crossed uncertainty (Gt yr-1)                                      #
# sig_Total_Gt: total uncertainty of regional mass-change rate (Gt yr-1)                       #
#                                                                                              #
################################################################################################

Year, INT_mwe, AVG_mwe, AW_mwe, sig_Glac_mwe, sig_Geod_mwe, sig_Int_mwe, sig_Total_mwe, Area_AW_ref_km2, Area_LW_km2, INT_Gt, AVG_Gt, AW_Gt, sig_Glac_Gt, sig_Geod_Gt, sig_Int_Gt, sig_Area_Gt, sig_Crossed_Gt, sig_Total_Gt
1962, -0.025, -0.004, -0.152, 2.535, 1.06, 0.157, 2.752, 1161.8, 1161.8, -0.029, -0.005, -0.177, 2.945, 1.232, 0.183, 0.001, 0.16, 3.201
1963, -0.025, -0.004, -0.152, 2.535, 1.06, 0.157, 2.752, 1161.8, 1161.8, -0.029, -0.005, -0.177, 2.945, 1.232, 0.183, 0.001, 0.16, 3.201
1964, -0.025, -0.004, -0.152, 2.535, 1.06, 0.157, 2.752, 1161.8, 1161.8, -0.029, -0.005, -0.177, 2.945, 1.232, 0.183, 0.001, 0.16, 3.201
1965, -0.025, -0.004, -0.152, 2.535, 1.06, 0.157, 2.752, 1161.8, 1161.8, -0.029, -0.005, -0.177, 2.945, 1.232, 0.183, 0.001, 0.16, 3.201
1966, -0.025, -0.004, -0.152, 2.535, 1.06, 0.157, 2.752, 1161.8, 1161.8, -0.029, -0.005, -0.177, 2.945, 1.232, 0.183, 0.001, 0.16, 3.201
1967, -0.025, -0.004, -0.152, 2.535, 1.06, 0.157, 2.752, 1161.8, 1161.8, -0.029, -0.005, -0.177, 2.945, 1.232, 0.183, 0.001, 0.16, 3.201
1968, -0.025, -0.004, -0.152, 2.535, 1.06, 0.157, 2.752, 1161.8, 1161.8, -0.029, -0.005, -0.177, 2.945, 1.232, 0.183, 0.001, 0.16, 3.201
1969, -0.025, -0.004, -0.152, 2.535, 1.06, 0.157, 2.752, 1161.8, 1161.8, -0.029, -0.005, -0.177, 2.945, 1.232, 0.183, 0.001, 0.16, 3.201
1970, -1.207, -1.186, -1.335, 1.875, 1.06, 0.158, 2.16, 1161.8, 1161.8, -1.402, -1.378, -1.551, 2.178, 1.232, 0.184, 0.07, 0.125, 2.514
1971, -1.101, -1.08, -1.228, 1.691, 1.06, 0.157, 2.002, 1161.8, 1161.8, -1.279, -1.255, -1.427, 1.965, 1.232, 0.183, 0.064, 0.116, 2.33
1972, -1.048, -1.028, -1.177, 1.536, 1.06, 0.159, 1.873, 1161.8, 1161.8, -1.218, -1.194, -1.367, 1.785, 1.232, 0.184, 0.061, 0.109, 2.18
1973, -0.983, -0.962, -1.111, 1.406, 1.06, 0.158, 1.768, 1161.8, 1161.8, -1.142, -1.118, -1.291, 1.633, 1.232, 0.184, 0.057, 0.103, 2.057
1974, -0.989, -0.968, -1.116, 1.33, 1.06, 0.157, 1.708, 1161.8, 1161.8, -1.149, -1.125, -1.297, 1.545, 1.232, 0.183, 0.057, 0.099, 1.988
1975, -0.934, -0.913, -1.061, 1.283, 1.06, 0.157, 1.672, 1161.8, 1161.8, -1.085, -1.061, -1.233, 1.491, 1.232, 0.183, 0.054, 0.097, 1.946
