################################################################################################
# Zemp et al. (2019), Supplementary Data Table                                                 #
#                                                                                              #
# Glacier mass changes for region: 19, ANT                                                     #
#                                                                                              #
# Year: hydrological year                                                                      #
# B_INT_mwe: specific mass-change rate (m w.e. yr-1) based on spatial interpolation, ref. run  #
# B_AVG_mwe: specific mass-change rate (m w.e. yr-1) based on arithmetic averaging             #
# B_AW_mwe: specific mass-change rate (m w.e. yr-1) based on area-weighted averaging           #
# sig_Glac_mwe: uncertainty related to glaciological variability (m w.e. yr-1)                 #
# sig_Geod_mwe: uncertainty related to geodetic value (m w.e. yr-1)                            #
# sig_Int_mwe: uncertainty related to regional interpolation (m w.e. yr-1)                     #
# sig_Total_mwe: total uncertainty of  specific mass-change (m w.e. yr-1)                      #
# Area_AW_ref_km2: regional area (km2) based on RGI60 and area-weighted change rate, ref.run   #
# Area_LW_km2: regional area (km2) based on RGI60 and time-series-length-weighted change rate  #
# dM_INT_Gt: regional mass-change rate (Gt yr-1) based on spatial interpolation, ref. run      #
# dM_AVG_Gt: regional mass-change rate (Gt yr-1) based on arithmetic averaging                 #
# dM_AW_Gt: regional mass-change rate (Gt yr-1) based on area-weighted averaging               #
# sig_Glac_Gt: uncertainty related to glaciological variability (Gt yr-1)                      #
# sig_Geod_Gt: uncertainty related to geodetic value (Gt yr-1)                                 #
# sig_Int_Gt: uncertainty related to regional interpolation (Gt yr-1)                          #
# sig_Area_Gt: uncertainty related to regional glacier area (Gt yr-1)                          #
# sig_Crossed_Gt: 2nd order crossed uncertainty (Gt yr-1)                                      #
# sig_Total_Gt: total uncertainty of regional mass-change rate (Gt yr-1)                       #
#                                                                                              #
################################################################################################

Year, INT_mwe, AVG_mwe, AW_mwe, sig_Glac_mwe, sig_Geod_mwe, sig_Int_mwe, sig_Total_mwe, Area_AW_ref_km2, Area_LW_km2, INT_Gt, AVG_Gt, AW_Gt, sig_Glac_Gt, sig_Geod_Gt, sig_Int_Gt, sig_Area_Gt, sig_Crossed_Gt, sig_Total_Gt
1962, -0.094, -0.32, -0.134, 1.835, 0.828, 0.236, 2.027, 137889.6, 140400.79, -12.927, -44.121, -18.469, 253.027, 114.173, 32.619, 0.726, 15.655, 279.941
1963, -0.094, -0.32, -0.134, 1.835, 0.828, 0.236, 2.027, 137889.6, 140121.77, -12.927, -44.121, -18.469, 253.027, 114.173, 32.619, 0.71, 15.318, 279.923
1964, -0.094, -0.32, -0.134, 1.835, 0.828, 0.236, 2.027, 137889.6, 139842.75, -12.927, -44.121, -18.469, 253.027, 114.173, 32.619, 0.696, 15.014, 279.906
1965, -0.094, -0.32, -0.134, 1.835, 0.828, 0.236, 2.027, 137889.6, 139563.73, -12.927, -44.121, -18.469, 253.027, 114.173, 32.619, 0.684, 14.745, 279.892
1966, -0.094, -0.32, -0.134, 1.835, 0.828, 0.236, 2.027, 137889.6, 139284.71, -12.927, -44.121, -18.469, 253.027, 114.173, 32.619, 0.673, 14.514, 279.88
1967, -0.094, -0.32, -0.134, 1.835, 0.828, 0.236, 2.027, 137889.6, 139005.68, -12.927, -44.121, -18.469, 253.027, 114.173, 32.619, 0.664, 14.323, 279.87
1968, -0.094, -0.32, -0.134, 1.835, 0.828, 0.236, 2.027, 137889.6, 138726.66, -12.927, -44.121, -18.469, 253.027, 114.173, 32.619, 0.657, 14.172, 279.862
1969, -0.347, -0.573, -0.387, 1.135, 0.828, 0.236, 1.425, 137889.6, 138447.64, -47.8, -78.993, -53.341, 156.505, 114.173, 32.618, 2.407, 9.886, 196.756
1970, -0.334, -0.56, -0.374, 1.063, 0.828, 0.236, 1.368, 137889.6, 138168.62, -46.021, -77.214, -51.562, 146.577, 114.173, 32.618, 2.306, 9.446, 188.883
1971, -0.312, -0.538, -0.352, 0.984, 0.828, 0.236, 1.307, 137889.6, 137889.6, -43.056, -74.249, -48.598, 135.683, 114.173, 32.618, 2.151, 9.011, 180.46
