################################################################################################
# Zemp et al. (2019), Supplementary Data Table                                                 #
#                                                                                              #
# Glacier mass changes for region 01-ALA                                                       #
#                                                                                              #
# Year: hydrological year                                                                      #
# B_INT_mwe: specific mass-change rate (m w.e. yr-1) based on spatial interpolation, ref. run  #
# B_AVG_mwe: specific mass-change rate (m w.e. yr-1) based on arithmetic averaging             #
# B_AW_mwe: specific mass-change rate (m w.e. yr-1) based on area-weighted averaging           #
# sig_Glac_mwe: uncertainty related to glaciological variability (m w.e. yr-1)                 #
# sig_Geod_mwe: uncertainty related to geodetic value (m w.e. yr-1)                            #
# sig_Int_mwe: uncertainty related to regional interpolation (m w.e. yr-1)                     #
# sig_Total_mwe: total uncertainty of  specific mass-change (m w.e. yr-1)                      #
# Area_AW_ref_km2: regional area (km2) based on RGI60 and area-weighted change rate, ref.run   #
# Area_LW_km2: regional area (km2) based on RGI60 and time-series-length-weighted change rate  #
# dM_INT_Gt: regional mass-change rate (Gt yr-1) based on spatial interpolation, ref. run      #
# dM_AVG_Gt: regional mass-change rate (Gt yr-1) based on arithmetic averaging                 #
# dM_AW_Gt: regional mass-change rate (Gt yr-1) based on area-weighted averaging               #
# sig_Glac_Gt: uncertainty related to glaciological variability (Gt yr-1)                      #
# sig_Geod_Gt: uncertainty related to geodetic value (Gt yr-1)                                 #
# sig_Int_Gt: uncertainty related to regional interpolation (Gt yr-1)                          #
# sig_Area_Gt: uncertainty related to regional glacier area (Gt yr-1)                          #
# sig_Crossed_Gt: 2nd order crossed uncertainty (Gt yr-1)                                      #
# sig_Total_Gt: total uncertainty of regional mass-change rate (Gt yr-1)                       #
#                                                                                              #
################################################################################################

Year, INT_mwe, AVG_mwe, AW_mwe, sig_Glac_mwe, sig_Geod_mwe, sig_Int_mwe, sig_Total_mwe, Area_AW_ref_km2, Area_LW_km2, INT_Gt, AVG_Gt, AW_Gt, sig_Glac_Gt, sig_Geod_Gt, sig_Int_Gt, sig_Area_Gt, sig_Crossed_Gt, sig_Total_Gt
1950, -0.793, -0.618, -0.797, 0.631, 0.12, 0.2, 0.673, 108632.65, 125112.47, -86.143, -67.103, -86.543, 68.547, 13.036, 21.776, 18.617, 15.8, 77.08
1951, -0.794, -0.619, -0.798, 0.608, 0.12, 0.2, 0.651, 108632.65, 125112.47, -86.294, -67.255, -86.695, 66.049, 13.036, 21.775, 18.641, 15.283, 74.715
1952, -0.645, -0.469, -0.648, 0.579, 0.12, 0.201, 0.625, 108632.65, 125112.47, -70.025, -50.985, -70.425, 62.898, 13.036, 21.776, 15.143, 14.673, 71.094
1953, -0.689, -0.514, -0.693, 0.493, 0.12, 0.2, 0.545, 108632.65, 124435.57, -74.856, -55.816, -75.256, 53.556, 13.036, 21.776, 15.547, 12.298, 62.435
1954, -0.576, -0.4, -0.579, 0.488, 0.12, 0.201, 0.541, 108632.65, 123758.67, -62.537, -43.497, -62.937, 53.013, 13.036, 21.776, 12.474, 11.716, 61.211
1955, -0.055, 0.12, -0.059, 0.5, 0.12, 0.2, 0.552, 108254.74, 123081.77, -5.962, 13.012, -6.36, 54.127, 12.991, 21.7, 1.169, 11.73, 60.908
1956, -0.642, -0.467, -0.646, 0.482, 0.12, 0.2, 0.535, 107876.82, 122404.87, -69.3, -50.393, -69.698, 51.997, 12.945, 21.624, 13.382, 11.152, 60.286
1957, -0.478, -0.302, -0.481, 0.489, 0.12, 0.201, 0.542, 107498.9, 121727.97, -51.349, -32.508, -51.745, 52.567, 12.9, 21.548, 9.77, 11.078, 60.108
1958, -0.525, -0.35, -0.529, 0.485, 0.12, 0.2, 0.538, 107120.98, 121051.07, -56.243, -37.468, -56.638, 51.954, 12.855, 21.473, 10.519, 10.779, 59.567
1959, -0.553, -0.377, -0.556, 0.489, 0.12, 0.201, 0.542, 106743.06, 120374.18, -58.979, -40.27, -59.372, 52.197, 12.809, 21.397, 10.856, 10.64, 59.818
1960, -0.553, -0.378, -0.557, 0.501, 0.12, 0.2, 0.553, 106365.14, 119697.28, -58.83, -40.189, -59.222, 53.289, 12.764, 21.32, 10.633, 10.633, 60.712
1961, -0.353, -0.178, -0.357, 0.503, 0.12, 0.2, 0.554, 105987.22, 119020.38, -37.453, -18.877, -37.844, 53.312, 12.718, 21.245, 6.645, 10.429, 60.005
1962, -0.449, -0.274, -0.453, 0.494, 0.12, 0.2, 0.546, 105609.31, 118343.48, -47.405, -28.895, -47.795, 52.171, 12.673, 21.17, 8.271, 10.058, 59.115
1963, -0.212, -0.036, -0.215, 0.49, 0.12, 0.201, 0.543, 105231.39, 117666.58, -22.264, -3.82, -22.652, 51.563, 12.628, 21.094, 3.82, 9.785, 58.098
1964, 0.103, 0.278, 0.099, 0.509, 0.12, 0.2, 0.56, 104853.47, 116989.68, 10.803, 29.18, 10.417, 53.37, 12.582, 21.017, 1.815, 9.866, 59.569
