################################################################################################
# Zemp et al. (2019), Supplementary Data Table                                                 #
#                                                                                              #
# Glacier mass changes for region 03-ACN                                                       #
#                                                                                              #
# Year: hydrological year                                                                      #
# B_INT_mwe: specific mass-change rate (m w.e. yr-1) based on spatial interpolation, ref. run  #
# B_AVG_mwe: specific mass-change rate (m w.e. yr-1) based on arithmetic averaging             #
# B_AW_mwe: specific mass-change rate (m w.e. yr-1) based on area-weighted averaging           #
# sig_Glac_mwe: uncertainty related to glaciological variability (m w.e. yr-1)                 #
# sig_Geod_mwe: uncertainty related to geodetic value (m w.e. yr-1)                            #
# sig_Int_mwe: uncertainty related to regional interpolation (m w.e. yr-1)                     #
# sig_Total_mwe: total uncertainty of  specific mass-change (m w.e. yr-1)                      #
# Area_AW_ref_km2: regional area (km2) based on RGI60 and area-weighted change rate, ref.run   #
# Area_LW_km2: regional area (km2) based on RGI60 and time-series-length-weighted change rate  #
# dM_INT_Gt: regional mass-change rate (Gt yr-1) based on spatial interpolation, ref. run      #
# dM_AVG_Gt: regional mass-change rate (Gt yr-1) based on arithmetic averaging                 #
# dM_AW_Gt: regional mass-change rate (Gt yr-1) based on area-weighted averaging               #
# sig_Glac_Gt: uncertainty related to glaciological variability (Gt yr-1)                      #
# sig_Geod_Gt: uncertainty related to geodetic value (Gt yr-1)                                 #
# sig_Int_Gt: uncertainty related to regional interpolation (Gt yr-1)                          #
# sig_Area_Gt: uncertainty related to regional glacier area (Gt yr-1)                          #
# sig_Crossed_Gt: 2nd order crossed uncertainty (Gt yr-1)                                      #
# sig_Total_Gt: total uncertainty of regional mass-change rate (Gt yr-1)                       #
#                                                                                              #
################################################################################################

Year, INT_mwe, AVG_mwe, AW_mwe, sig_Glac_mwe, sig_Geod_mwe, sig_Int_mwe, sig_Total_mwe, Area_AW_ref_km2, Area_LW_km2, INT_Gt, AVG_Gt, AW_Gt, sig_Glac_Gt, sig_Geod_Gt, sig_Int_Gt, sig_Area_Gt, sig_Crossed_Gt, sig_Total_Gt
1959, -0.224, -0.409, -0.127, 0.363, 0.794, 0.281, 0.917, 108142.06, 112696.23, -24.268, -44.276, -13.712, 39.256, 85.865, 30.426, 1.862, 7.621, 99.476
1960, -0.459, -0.644, -0.361, 0.223, 0.794, 0.282, 0.872, 108142.06, 112649.13, -49.618, -69.627, -39.063, 24.116, 85.865, 30.427, 3.792, 7.204, 94.651
1961, -0.08, -0.265, 0.018, 0.222, 0.794, 0.282, 0.871, 108065.55, 112458.24, -8.637, -28.631, 1.911, 23.991, 85.804, 30.405, 0.651, 7.09, 94.394
1962, -0.578, -0.763, -0.48, 0.208, 0.794, 0.282, 0.868, 107989.03, 112267.36, -62.399, -82.379, -51.858, 22.462, 85.743, 30.384, 4.635, 6.961, 94.107
1963, -0.067, -0.252, 0.03, 0.19, 0.794, 0.281, 0.863, 107912.5, 112076.49, -7.243, -27.209, 3.289, 20.503, 85.683, 30.361, 0.529, 6.818, 93.379
1964, 0.213, 0.028, 0.31, 0.191, 0.794, 0.281, 0.864, 107835.98, 111885.61, 22.955, 3.004, 33.482, 20.597, 85.622, 30.341, 1.658, 6.724, 93.427
1965, 0.085, -0.1, 0.183, 0.19, 0.794, 0.282, 0.864, 107759.46, 111694.73, 9.211, -10.727, 19.729, 20.474, 85.561, 30.319, 0.652, 6.624, 93.342
1966, -0.105, -0.29, -0.008, 0.183, 0.794, 0.281, 0.862, 107682.94, 111503.85, -11.333, -31.257, -0.822, 19.706, 85.5, 30.298, 0.793, 6.51, 93.054
1967, 0.073, -0.112, 0.17, 0.181, 0.794, 0.281, 0.861, 107606.42, 111312.97, 7.831, -12.078, 18.334, 19.477, 85.439, 30.275, 0.543, 6.405, 92.872
1968, -0.056, -0.241, 0.042, 0.18, 0.794, 0.282, 0.862, 107529.9, 111122.1, -5.992, -25.888, 4.504, 19.355, 85.379, 30.255, 0.41, 6.316, 92.907
1969, -0.034, -0.219, 0.063, 0.192, 0.794, 0.281, 0.864, 107453.37, 110931.21, -3.677, -23.559, 6.811, 20.631, 85.318, 30.233, 0.245, 6.236, 93.049
1970, 0.04, -0.145, 0.138, 0.193, 0.794, 0.282, 0.864, 107376.85, 110740.33, 4.292, -15.574, 14.773, 20.724, 85.257, 30.21, 0.284, 6.143, 92.977
1971, -0.191, -0.376, -0.093, 0.19, 0.794, 0.282, 0.864, 107300.34, 110549.45, -20.487, -40.34, -10.014, 20.387, 85.196, 30.19, 1.338, 6.052, 92.914
1972, 0.021, -0.164, 0.118, 0.174, 0.794, 0.281, 0.86, 107223.81, 110358.58, 2.206, -17.633, 12.672, 18.657, 85.136, 30.169, 0.145, 5.934, 92.403
1973, 0.067, -0.118, 0.165, 0.173, 0.794, 0.282, 0.86, 107147.29, 110167.7, 7.219, -12.605, 17.677, 18.536, 85.075, 30.146, 0.456, 5.847, 92.333
