################################################################################################
# Zemp et al. (2019), Supplementary Data Table                                                 #
#                                                                                              #
# Glacier mass changes for region 05-GRL                                                       #
#                                                                                              #
# Year: hydrological year                                                                      #
# B_INT_mwe: specific mass-change rate (m w.e. yr-1) based on spatial interpolation, ref. run  #
# B_AVG_mwe: specific mass-change rate (m w.e. yr-1) based on arithmetic averaging             #
# B_AW_mwe: specific mass-change rate (m w.e. yr-1) based on area-weighted averaging           #
# sig_Glac_mwe: uncertainty related to glaciological variability (m w.e. yr-1)                 #
# sig_Geod_mwe: uncertainty related to geodetic value (m w.e. yr-1)                            #
# sig_Int_mwe: uncertainty related to regional interpolation (m w.e. yr-1)                     #
# sig_Total_mwe: total uncertainty of  specific mass-change (m w.e. yr-1)                      #
# Area_AW_ref_km2: regional area (km2) based on RGI60 and area-weighted change rate, ref.run   #
# Area_LW_km2: regional area (km2) based on RGI60 and time-series-length-weighted change rate  #
# dM_INT_Gt: regional mass-change rate (Gt yr-1) based on spatial interpolation, ref. run      #
# dM_AVG_Gt: regional mass-change rate (Gt yr-1) based on arithmetic averaging                 #
# dM_AW_Gt: regional mass-change rate (Gt yr-1) based on area-weighted averaging               #
# sig_Glac_Gt: uncertainty related to glaciological variability (Gt yr-1)                      #
# sig_Geod_Gt: uncertainty related to geodetic value (Gt yr-1)                                 #
# sig_Int_Gt: uncertainty related to regional interpolation (Gt yr-1)                          #
# sig_Area_Gt: uncertainty related to regional glacier area (Gt yr-1)                          #
# sig_Crossed_Gt: 2nd order crossed uncertainty (Gt yr-1)                                      #
# sig_Total_Gt: total uncertainty of regional mass-change rate (Gt yr-1)                       #
#                                                                                              #
################################################################################################

Year, INT_mwe, AVG_mwe, AW_mwe, sig_Glac_mwe, sig_Geod_mwe, sig_Int_mwe, sig_Total_mwe, Area_AW_ref_km2, Area_LW_km2, INT_Gt, AVG_Gt, AW_Gt, sig_Glac_Gt, sig_Geod_Gt, sig_Int_Gt, sig_Area_Gt, sig_Crossed_Gt, sig_Total_Gt
1950, -0.5, -0.699, -0.614, 0.523, 0.104, 0.196, 0.568, 100752.27, 101918.59, -50.354, -70.381, -61.909, 52.693, 10.478, 19.704, 2.645, 3.005, 57.367
1951, -0.516, -0.715, -0.631, 0.485, 0.104, 0.196, 0.533, 100752.27, 101918.59, -52.026, -72.054, -63.582, 48.865, 10.478, 19.705, 2.73, 2.82, 53.844
1952, -0.348, -0.547, -0.463, 0.476, 0.104, 0.196, 0.525, 100752.27, 101918.59, -35.097, -55.124, -46.652, 47.958, 10.478, 19.704, 1.841, 2.778, 53.0
1953, -0.508, -0.707, -0.623, 0.45, 0.104, 0.196, 0.502, 100752.27, 101918.59, -51.2, -71.228, -62.755, 45.339, 10.478, 19.705, 2.688, 2.656, 50.719
1954, -0.532, -0.731, -0.647, 0.454, 0.104, 0.196, 0.505, 100752.27, 101918.59, -53.648, -73.676, -65.204, 45.742, 10.478, 19.705, 2.815, 2.672, 51.028
1955, -0.435, -0.634, -0.55, 0.438, 0.104, 0.196, 0.491, 100752.27, 101918.59, -43.825, -63.853, -55.38, 44.129, 10.478, 19.705, 2.301, 2.598, 49.591
1956, -0.385, -0.584, -0.5, 0.439, 0.104, 0.196, 0.492, 100752.27, 101918.59, -38.778, -58.806, -50.334, 44.23, 10.478, 19.705, 2.037, 2.603, 49.68
1957, -0.35, -0.549, -0.465, 0.436, 0.104, 0.196, 0.489, 100752.27, 101918.59, -35.269, -55.297, -46.824, 43.928, 10.478, 19.705, 1.852, 2.587, 49.37
1958, -0.352, -0.551, -0.467, 0.435, 0.104, 0.196, 0.488, 100752.27, 101918.59, -35.491, -55.518, -47.046, 43.827, 10.478, 19.704, 1.862, 2.582, 49.27
1959, -0.488, -0.687, -0.603, 0.444, 0.104, 0.196, 0.496, 100752.27, 101918.59, -49.155, -69.182, -60.71, 44.734, 10.478, 19.704, 2.582, 2.624, 50.109
