################################################################################################
# Zemp et al. (2019), Supplementary Data Table                                                 #
#                                                                                              #
# Glacier mass changes for region 07-SJM                                                       #
#                                                                                              #
# Year: hydrological year                                                                      #
# B_INT_mwe: specific mass-change rate (m w.e. yr-1) based on spatial interpolation, ref. run  #
# B_AVG_mwe: specific mass-change rate (m w.e. yr-1) based on arithmetic averaging             #
# B_AW_mwe: specific mass-change rate (m w.e. yr-1) based on area-weighted averaging           #
# sig_Glac_mwe: uncertainty related to glaciological variability (m w.e. yr-1)                 #
# sig_Geod_mwe: uncertainty related to geodetic value (m w.e. yr-1)                            #
# sig_Int_mwe: uncertainty related to regional interpolation (m w.e. yr-1)                     #
# sig_Total_mwe: total uncertainty of  specific mass-change (m w.e. yr-1)                      #
# Area_AW_ref_km2: regional area (km2) based on RGI60 and area-weighted change rate, ref.run   #
# Area_LW_km2: regional area (km2) based on RGI60 and time-series-length-weighted change rate  #
# dM_INT_Gt: regional mass-change rate (Gt yr-1) based on spatial interpolation, ref. run      #
# dM_AVG_Gt: regional mass-change rate (Gt yr-1) based on arithmetic averaging                 #
# dM_AW_Gt: regional mass-change rate (Gt yr-1) based on area-weighted averaging               #
# sig_Glac_Gt: uncertainty related to glaciological variability (Gt yr-1)                      #
# sig_Geod_Gt: uncertainty related to geodetic value (Gt yr-1)                                 #
# sig_Int_Gt: uncertainty related to regional interpolation (Gt yr-1)                          #
# sig_Area_Gt: uncertainty related to regional glacier area (Gt yr-1)                          #
# sig_Crossed_Gt: 2nd order crossed uncertainty (Gt yr-1)                                      #
# sig_Total_Gt: total uncertainty of regional mass-change rate (Gt yr-1)                       #
#                                                                                              #
################################################################################################

Year, INT_mwe, AVG_mwe, AW_mwe, sig_Glac_mwe, sig_Geod_mwe, sig_Int_mwe, sig_Total_mwe, Area_AW_ref_km2, Area_LW_km2, INT_Gt, AVG_Gt, AW_Gt, sig_Glac_Gt, sig_Geod_Gt, sig_Int_Gt, sig_Area_Gt, sig_Crossed_Gt, sig_Total_Gt
1951, -0.923, -0.916, -0.859, 0.49, 0.22, 0.069, 0.542, 35376.19, 37600.22, -32.659, -32.389, -30.399, 17.334, 7.783, 2.419, 3.28, 1.926, 19.548
1952, -0.898, -0.89, -0.834, 0.484, 0.22, 0.068, 0.536, 35376.19, 37600.22, -31.768, -31.497, -29.508, 17.122, 7.783, 2.419, 3.191, 1.905, 19.322
1953, 0.019, 0.027, 0.083, 0.492, 0.22, 0.068, 0.543, 35376.19, 37538.78, 0.683, 0.953, 2.943, 17.405, 7.783, 2.419, 0.066, 1.89, 19.302
1954, 0.044, 0.051, 0.108, 0.485, 0.22, 0.069, 0.537, 35359.81, 37477.34, 1.549, 1.819, 3.808, 17.15, 7.779, 2.418, 0.151, 1.84, 19.078
1955, -0.738, -0.731, -0.675, 0.495, 0.22, 0.068, 0.546, 35343.42, 37415.9, -26.097, -25.827, -23.84, 17.495, 7.776, 2.416, 2.489, 1.841, 19.544
1956, -0.73, -0.722, -0.666, 0.495, 0.22, 0.068, 0.546, 35327.04, 37354.47, -25.778, -25.508, -23.521, 17.487, 7.772, 2.416, 2.423, 1.812, 19.524
1957, 0.187, 0.194, 0.251, 0.49, 0.22, 0.069, 0.542, 35310.66, 37293.03, 6.593, 6.862, 8.848, 17.302, 7.768, 2.414, 0.611, 1.77, 19.23
1958, 0.197, 0.205, 0.261, 0.488, 0.22, 0.068, 0.54, 35294.27, 37231.59, 6.95, 7.219, 9.204, 17.224, 7.765, 2.413, 0.633, 1.735, 19.148
1959, 0.038, 0.046, 0.102, 0.489, 0.22, 0.068, 0.541, 35277.89, 37170.15, 1.341, 1.61, 3.594, 17.251, 7.761, 2.412, 0.12, 1.71, 19.162
1960, 0.048, 0.055, 0.112, 0.481, 0.22, 0.069, 0.533, 35261.51, 37108.72, 1.686, 1.955, 3.938, 16.961, 7.758, 2.411, 0.149, 1.657, 18.868
