################################################################################################
# Zemp et al. (2019), Supplementary Data Table                                                 #
#                                                                                              #
# Glacier mass changes for region 08-SCA                                                       #
#                                                                                              #
# Year: hydrological year                                                                      #
# B_INT_mwe: specific mass-change rate (m w.e. yr-1) based on spatial interpolation, ref. run  #
# B_AVG_mwe: specific mass-change rate (m w.e. yr-1) based on arithmetic averaging             #
# B_AW_mwe: specific mass-change rate (m w.e. yr-1) based on area-weighted averaging           #
# sig_Glac_mwe: uncertainty related to glaciological variability (m w.e. yr-1)                 #
# sig_Geod_mwe: uncertainty related to geodetic value (m w.e. yr-1)                            #
# sig_Int_mwe: uncertainty related to regional interpolation (m w.e. yr-1)                     #
# sig_Total_mwe: total uncertainty of  specific mass-change (m w.e. yr-1)                      #
# Area_AW_ref_km2: regional area (km2) based on RGI60 and area-weighted change rate, ref.run   #
# Area_LW_km2: regional area (km2) based on RGI60 and time-series-length-weighted change rate  #
# dM_INT_Gt: regional mass-change rate (Gt yr-1) based on spatial interpolation, ref. run      #
# dM_AVG_Gt: regional mass-change rate (Gt yr-1) based on arithmetic averaging                 #
# dM_AW_Gt: regional mass-change rate (Gt yr-1) based on area-weighted averaging               #
# sig_Glac_Gt: uncertainty related to glaciological variability (Gt yr-1)                      #
# sig_Geod_Gt: uncertainty related to geodetic value (Gt yr-1)                                 #
# sig_Int_Gt: uncertainty related to regional interpolation (Gt yr-1)                          #
# sig_Area_Gt: uncertainty related to regional glacier area (Gt yr-1)                          #
# sig_Crossed_Gt: 2nd order crossed uncertainty (Gt yr-1)                                      #
# sig_Total_Gt: total uncertainty of regional mass-change rate (Gt yr-1)                       #
#                                                                                              #
################################################################################################

Year, INT_mwe, AVG_mwe, AW_mwe, sig_Glac_mwe, sig_Geod_mwe, sig_Int_mwe, sig_Total_mwe, Area_AW_ref_km2, Area_LW_km2, INT_Gt, AVG_Gt, AW_Gt, sig_Glac_Gt, sig_Geod_Gt, sig_Int_Gt, sig_Area_Gt, sig_Crossed_Gt, sig_Total_Gt
1950, -0.477, -0.479, -0.504, 0.308, 0.244, 0.029, 0.394, 3211.88, 3418.31, -1.531, -1.538, -1.62, 0.989, 0.784, 0.097, 0.156, 0.129, 1.282
1951, -0.424, -0.426, -0.452, 0.376, 0.244, 0.031, 0.449, 3211.88, 3418.31, -1.362, -1.369, -1.451, 1.208, 0.784, 0.097, 0.139, 0.147, 1.456
1952, -0.064, -0.066, -0.091, 0.379, 0.244, 0.029, 0.452, 3211.88, 3418.31, -0.204, -0.211, -0.292, 1.217, 0.784, 0.096, 0.021, 0.148, 1.459
1953, -0.363, -0.365, -0.39, 0.38, 0.244, 0.029, 0.453, 3211.88, 3418.31, -1.165, -1.171, -1.253, 1.221, 0.784, 0.096, 0.119, 0.149, 1.467
1954, -0.503, -0.505, -0.53, 0.379, 0.244, 0.029, 0.452, 3211.88, 3418.31, -1.615, -1.621, -1.703, 1.217, 0.784, 0.096, 0.165, 0.148, 1.469
1955, -0.275, -0.277, -0.302, 0.382, 0.244, 0.029, 0.454, 3211.88, 3418.31, -0.882, -0.889, -0.97, 1.227, 0.784, 0.096, 0.09, 0.149, 1.469
1956, -0.221, -0.223, -0.248, 0.374, 0.244, 0.029, 0.447, 3211.88, 3418.31, -0.709, -0.715, -0.797, 1.201, 0.784, 0.096, 0.073, 0.147, 1.445
1957, -0.219, -0.221, -0.247, 0.374, 0.244, 0.031, 0.448, 3211.88, 3418.31, -0.703, -0.71, -0.792, 1.201, 0.784, 0.097, 0.072, 0.147, 1.448
1958, -0.24, -0.243, -0.268, 0.377, 0.244, 0.03, 0.45, 3211.88, 3418.31, -0.772, -0.779, -0.86, 1.211, 0.784, 0.096, 0.079, 0.148, 1.455
1959, -0.484, -0.486, -0.511, 0.371, 0.244, 0.029, 0.445, 3211.88, 3418.31, -1.553, -1.561, -1.641, 1.192, 0.784, 0.095, 0.159, 0.146, 1.445
1960, -0.761, -0.763, -0.788, 0.38, 0.244, 0.029, 0.453, 3211.88, 3418.31, -2.443, -2.45, -2.532, 1.221, 0.784, 0.097, 0.25, 0.149, 1.484
1961, -0.419, -0.422, -0.447, 0.38, 0.244, 0.03, 0.453, 3211.88, 3418.31, -1.347, -1.354, -1.436, 1.221, 0.784, 0.097, 0.137, 0.149, 1.469
1962, 0.864, 0.855, 0.849, 0.702, 0.244, 0.015, 0.743, 3211.88, 3418.31, 2.776, 2.745, 2.727, 2.255, 0.784, 0.049, 0.283, 0.244, 2.416
1963, -0.587, -0.597, -0.603, 0.471, 0.244, 0.016, 0.531, 3211.88, 3418.31, -1.886, -1.919, -1.936, 1.513, 0.784, 0.05, 0.193, 0.174, 1.725
1964, 0.37, 0.361, 0.356, 0.414, 0.244, 0.014, 0.481, 3211.88, 3418.31, 1.19, 1.159, 1.142, 1.33, 0.784, 0.048, 0.121, 0.158, 1.558
1965, 0.289, 0.279, 0.273, 0.414, 0.244, 0.016, 0.481, 3211.88, 3418.31, 0.927, 0.896, 0.877, 1.33, 0.784, 0.049, 0.095, 0.158, 1.556
1966, -0.967, -0.977, -0.983, 0.404, 0.244, 0.016, 0.472, 3211.88, 3405.62, -3.107, -3.138, -3.156, 1.298, 0.784, 0.049, 0.303, 0.148, 1.553
1967, 0.309, 0.299, 0.294, 0.397, 0.244, 0.015, 0.466, 3211.88, 3392.95, 0.992, 0.96, 0.943, 1.275, 0.784, 0.049, 0.092, 0.139, 1.506
1968, 0.237, 0.227, 0.221, 0.4, 0.244, 0.016, 0.469, 3211.88, 3380.26, 0.761, 0.729, 0.711, 1.285, 0.784, 0.05, 0.067, 0.133, 1.514
1969, -1.332, -1.342, -1.348, 0.527, 0.244, 0.016, 0.581, 3211.88, 3367.58, -4.279, -4.311, -4.329, 1.693, 0.784, 0.05, 0.358, 0.156, 1.907
1970, -1.215, -1.224, -1.23, 0.423, 0.244, 0.015, 0.489, 3203.9, 3354.9, -3.892, -3.923, -3.94, 1.355, 0.782, 0.048, 0.32, 0.129, 1.604
1971, 0.163, 0.153, 0.148, 0.399, 0.244, 0.015, 0.468, 3195.94, 3342.22, 0.52, 0.49, 0.472, 1.275, 0.78, 0.048, 0.042, 0.121, 1.501
1972, -0.573, -0.583, -0.589, 0.396, 0.244, 0.016, 0.465, 3187.98, 3329.53, -1.828, -1.86, -1.878, 1.262, 0.778, 0.05, 0.145, 0.118, 1.494
1973, 0.861, 0.851, 0.845, 0.411, 0.244, 0.016, 0.478, 3180.01, 3316.85, 2.737, 2.706, 2.688, 1.307, 0.776, 0.049, 0.213, 0.118, 1.539
1974, 0.132, 0.122, 0.116, 0.398, 0.244, 0.016, 0.467, 3172.06, 3304.18, 0.419, 0.388, 0.369, 1.262, 0.774, 0.049, 0.032, 0.113, 1.486
1975, 0.448, 0.438, 0.432, 0.401, 0.244, 0.016, 0.47, 3164.09, 3291.49, 1.417, 1.385, 1.367, 1.269, 0.772, 0.05, 0.106, 0.111, 1.495
1976, 0.558, 0.548, 0.543, 0.452, 0.244, 0.015, 0.514, 3156.13, 3278.82, 1.761, 1.73, 1.713, 1.427, 0.77, 0.048, 0.129, 0.119, 1.632
1977, -0.57, -0.579, -0.585, 0.437, 0.244, 0.015, 0.501, 3148.17, 3266.13, -1.793, -1.823, -1.841, 1.376, 0.768, 0.048, 0.129, 0.114, 1.587
1978, -0.647, -0.657, -0.662, 0.485, 0.244, 0.015, 0.543, 3140.21, 3253.45, -2.031, -2.062, -2.08, 1.523, 0.766, 0.049, 0.144, 0.121, 1.715
1979, -0.091, -0.101, -0.107, 0.472, 0.244, 0.016, 0.532, 3132.24, 3240.77, -0.286, -0.317, -0.335, 1.478, 0.764, 0.049, 0.02, 0.116, 1.67
1980, -1.147, -1.157, -1.163, 0.479, 0.244, 0.016, 0.538, 3124.28, 3228.09, -3.584, -3.614, -3.632, 1.497, 0.762, 0.048, 0.244, 0.114, 1.702
1981, 0.006, -0.003, -0.009, 0.475, 0.244, 0.015, 0.534, 3116.31, 3215.41, 0.02, -0.01, -0.028, 1.48, 0.76, 0.048, 0.001, 0.111, 1.668
1982, -0.331, -0.34, -0.346, 0.432, 0.244, 0.015, 0.496, 3108.36, 3202.72, -1.029, -1.058, -1.076, 1.343, 0.758, 0.046, 0.067, 0.101, 1.546
1983, 0.535, 0.525, 0.52, 0.46, 0.244, 0.015, 0.521, 3100.39, 3190.05, 1.66, 1.629, 1.612, 1.426, 0.756, 0.048, 0.106, 0.104, 1.622
1984, 0.114, 0.104, 0.099, 0.482, 0.244, 0.015, 0.54, 3092.43, 3177.36, 0.353, 0.323, 0.306, 1.491, 0.755, 0.047, 0.022, 0.105, 1.673
1985, -0.852, -0.862, -0.867, 0.46, 0.244, 0.015, 0.521, 3084.47, 3164.69, -2.628, -2.658, -2.674, 1.419, 0.753, 0.046, 0.162, 0.099, 1.618
1986, -0.334, -0.344, -0.35, 0.396, 0.244, 0.016, 0.465, 3076.5, 3152.0, -1.029, -1.059, -1.076, 1.218, 0.751, 0.047, 0.062, 0.087, 1.435
1987, 0.702, 0.693, 0.687, 0.398, 0.244, 0.015, 0.467, 3068.54, 3139.31, 2.155, 2.126, 2.109, 1.221, 0.749, 0.046, 0.128, 0.085, 1.441
1988, -1.506, -1.516, -1.522, 0.375, 0.244, 0.016, 0.448, 3060.57, 3126.64, -4.61, -4.64, -4.657, 1.148, 0.747, 0.047, 0.269, 0.08, 1.399
1989, 1.394, 1.384, 1.378, 0.377, 0.244, 0.016, 0.449, 3052.62, 3113.96, 4.256, 4.225, 4.208, 1.151, 0.745, 0.048, 0.244, 0.078, 1.394
1990, 0.697, 0.687, 0.681, 0.36, 0.244, 0.016, 0.435, 3044.65, 3101.28, 2.122, 2.092, 2.074, 1.096, 0.743, 0.048, 0.119, 0.075, 1.332
1991, 0.041, 0.031, 0.025, 0.356, 0.244, 0.016, 0.432, 3036.69, 3088.59, 0.123, 0.094, 0.077, 1.081, 0.741, 0.046, 0.007, 0.073, 1.314
1992, 0.97, 0.96, 0.955, 0.362, 0.244, 0.015, 0.437, 3028.73, 3075.92, 2.937, 2.907, 2.891, 1.096, 0.739, 0.046, 0.16, 0.072, 1.335
1993, 0.915, 0.906, 0.9, 0.362, 0.244, 0.015, 0.437, 3020.77, 3063.23, 2.764, 2.736, 2.718, 1.094, 0.737, 0.045, 0.148, 0.071, 1.33
1994, 0.024, 0.014, 0.009, 0.375, 0.244, 0.015, 0.448, 3012.8, 3050.56, 0.072, 0.043, 0.026, 1.13, 0.735, 0.046, 0.004, 0.071, 1.352
1995, 0.546, 0.536, 0.53, 0.38, 0.244, 0.016, 0.452, 3004.85, 3037.88, 1.641, 1.611, 1.594, 1.142, 0.733, 0.047, 0.086, 0.071, 1.363
1996, -0.657, -0.666, -0.672, 0.373, 0.244, 0.015, 0.446, 2996.87, 3025.18, -1.968, -1.996, -2.014, 1.118, 0.731, 0.045, 0.102, 0.069, 1.342
1997, -0.419, -0.429, -0.435, 0.363, 0.244, 0.016, 0.438, 2988.92, 3012.51, -1.253, -1.282, -1.299, 1.085, 0.729, 0.046, 0.064, 0.067, 1.312
1998, -0.23, -0.241, -0.246, 0.365, 0.244, 0.016, 0.439, 2980.96, 2999.83, -0.687, -0.717, -0.733, 1.088, 0.727, 0.046, 0.035, 0.066, 1.311
1999, -0.395, -0.405, -0.41, 0.367, 0.244, 0.015, 0.441, 2972.99, 2987.15, -1.174, -1.203, -1.219, 1.091, 0.725, 0.045, 0.059, 0.066, 1.314
2000, 0.552, 0.542, 0.537, 0.354, 0.244, 0.015, 0.43, 2965.03, 2974.46, 1.637, 1.607, 1.591, 1.05, 0.723, 0.046, 0.082, 0.064, 1.279
2001, -1.185, -1.194, -1.2, 0.372, 0.244, 0.015, 0.445, 2957.07, 2961.79, -3.503, -3.53, -3.548, 1.1, 0.722, 0.044, 0.175, 0.066, 1.329
2002, -1.335, -1.345, -1.351, 0.383, 0.244, 0.016, 0.454, 2949.1, 2949.1, -3.938, -3.967, -3.985, 1.13, 0.72, 0.046, 0.197, 0.067, 1.355
2003, -1.556, -1.565, -1.571, 0.359, 0.244, 0.015, 0.434, 2941.14, 2936.43, -4.576, -4.604, -4.62, 1.056, 0.718, 0.044, 0.229, 0.064, 1.298
2004, -0.511, -0.521, -0.527, 0.378, 0.244, 0.016, 0.45, 2933.17, 2923.75, -1.5, -1.529, -1.546, 1.109, 0.716, 0.046, 0.075, 0.066, 1.324
2005, -0.148, -0.158, -0.164, 0.369, 0.244, 0.016, 0.443, 2925.21, 2911.05, -0.434, -0.463, -0.48, 1.079, 0.714, 0.046, 0.022, 0.065, 1.298
2006, -2.201, -2.211, -2.216, 0.377, 0.244, 0.015, 0.449, 2917.26, 2898.38, -6.421, -6.449, -6.466, 1.1, 0.712, 0.045, 0.326, 0.067, 1.351
2007, 0.171, 0.161, 0.155, 0.38, 0.244, 0.016, 0.452, 2909.28, 2885.7, 0.497, 0.469, 0.452, 1.106, 0.71, 0.045, 0.025, 0.067, 1.317
2008, 0.08, 0.07, 0.065, 0.365, 0.244, 0.015, 0.439, 2901.33, 2873.02, 0.232, 0.203, 0.188, 1.059, 0.708, 0.044, 0.012, 0.066, 1.275
2009, -0.571, -0.58, -0.586, 0.367, 0.244, 0.015, 0.441, 2893.37, 2860.33, -1.651, -1.679, -1.695, 1.062, 0.706, 0.044, 0.087, 0.067, 1.281
2010, -1.281, -1.29, -1.296, 0.372, 0.244, 0.015, 0.445, 2885.4, 2847.65, -3.695, -3.723, -3.739, 1.073, 0.704, 0.044, 0.197, 0.068, 1.301
2011, -1.41, -1.419, -1.425, 0.362, 0.244, 0.015, 0.437, 2877.44, 2834.97, -4.056, -4.084, -4.1, 1.042, 0.702, 0.044, 0.219, 0.068, 1.278
2012, 0.559, 0.549, 0.543, 0.364, 0.244, 0.016, 0.439, 2869.48, 2822.3, 1.603, 1.575, 1.559, 1.044, 0.7, 0.044, 0.088, 0.069, 1.265
2013, -1.486, -1.495, -1.501, 0.42, 0.244, 0.015, 0.486, 2861.51, 2809.61, -4.251, -4.279, -4.295, 1.202, 0.698, 0.044, 0.238, 0.078, 1.413
2014, -1.034, -1.044, -1.05, 0.415, 0.244, 0.016, 0.482, 2853.56, 2796.92, -2.951, -2.979, -2.995, 1.184, 0.696, 0.044, 0.168, 0.078, 1.388
2015, 0.618, 0.608, 0.602, 0.383, 0.244, 0.016, 0.454, 2845.59, 2784.25, 1.759, 1.73, 1.714, 1.09, 0.694, 0.045, 0.102, 0.075, 1.298
2016, -0.509, -0.519, -0.524, 0.424, 0.244, 0.015, 0.489, 2837.63, 2771.56, -1.443, -1.472, -1.487, 1.203, 0.692, 0.044, 0.086, 0.083, 1.393
