Year    Jan   Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct   Nov   Dec   
1981.0  -1.97  -1.09  -0.16  0.67  0.89  0.36  0.16  0.27  0.37  0.35  1.34  1.39  
1982.0  1.44  1.94  1.66  1.43  1.0  1.34  0.03  -0.03  0.01  1.5  0.61  -0.01  
1983.0  -0.28  0.27  0.12  0.66  2.22  0.96  0.3  0.14  -0.33  -0.02  -0.23  0.93  
1984.0  0.13  0.08  1.49  0.57  -0.58  -0.44  0.03  0.1  0.54  1.97  1.46  1.6  
1985.0  3.31  2.47  2.75  0.91  1.7  0.51  0.19  0.01  -0.16  0.26  3.48  2.11  
1986.0  -0.41  1.43  0.73  0.37  1.48  0.98  0.23  0.08  1.03  0.05  0.78  0.4  
1987.0  1.79  0.26  2.79  1.07  0.96  1.76  0.34  0.02  0.0  0.24  0.63  0.61  
1988.0  0.35  0.91  1.63  0.49  0.52  0.07  0.05  0.0  -0.81  -1.37  0.97  -0.54  
1989.0  0.22  0.18  -0.41  0.23  0.44  0.79  0.4  -0.02  0.21  -0.27  0.4  0.04  
1990.0  -1.02  -0.64  -1.83  -0.89  -0.65  -0.74  -0.14  -0.12  -0.26  -0.11  -0.96  0.26  
1991.0  -0.12  0.22  0.3  -0.44  0.08  0.01  -0.04  0.06  -0.7  -0.01  0.83  0.86  
1992.0  0.35  -0.44  -0.56  0.18  1.29  1.73  0.35  0.12  1.38  1.71  2.01  2.35  
1993.0  2.16  0.96  1.24  -0.5  0.16  -0.3  -0.01  0.18  0.44  1.83  5.46  2.67  
1994.0  0.42  1.61  0.85  0.31  0.18  0.07  0.03  0.09  -0.44  -1.97  -0.57  0.56  
1995.0  -0.05  -2.35  -1.76  -0.3  -0.41  -0.4  -0.04  0.01  0.15  -0.77  0.28  0.24  
1996.0  0.48  0.39  1.73  2.6  1.33  1.23  0.15  0.09  0.84  1.0  0.9  -1.06  
1997.0  0.71  0.22  -0.62  -0.35  -0.73  0.03  0.0  0.08  -0.1  0.61  -0.11  -0.02  
1998.0  -0.1  -1.05  0.48  -0.1  0.18  -0.24  -0.03  0.06  0.86  1.04  0.66  0.04  
1999.0  -1.31  -1.65  -0.2  -0.11  -0.06  0.32  0.01  -0.05  -0.11  0.66  0.06  -0.71  
2000.0  0.98  0.12  -0.91  -0.9  -0.3  0.01  0.02  0.13  0.57  0.49  0.49  0.36  
2001.0  -0.02  0.22  -0.2  0.2  -0.56  -0.11  0.09  0.12  0.46  0.12  -2.53  0.41  
2002.0  -0.39  -2.71  -2.48  0.5  0.94  0.18  -0.02  0.07  0.49  2.7  0.86  1.0  
2003.0  0.26  1.77  1.59  0.34  0.2  0.27  -0.04  0.01  -0.67  -1.71  0.5  -0.78  
2004.0  0.13  0.11  -1.1  -0.19  1.64  0.8  -0.02  -0.02  0.0  0.74  -0.93  0.01  
2005.0  -0.42  1.34  0.8  -0.48  -1.54  -0.73  -0.01  -0.08  -0.24  -1.55  -3.05  -0.69  
2006.0  0.01  0.0  0.6  -0.04  -0.3  -0.86  -0.11  -0.1  -1.03  0.21  -1.22  -2.32  
2007.0  -2.44  -1.52  -1.25  -1.7  -1.35  -0.05  -0.12  -0.16  -0.48  -1.49  -2.0  -0.14  
2008.0  1.53  1.26  -2.61  -0.53  -0.44  -0.53  -0.17  -0.04  0.01  -1.79  -2.66  -1.56  
2009.0  -0.12  -1.37  -0.35  -0.68  -0.13  -0.56  -0.16  -0.18  -0.94  -0.68  -1.42  0.19  
2010.0  0.58  1.9  0.36  -1.04  -2.45  -0.83  -0.16  -0.13  0.17  -1.09  -2.71  0.25  
2011.0  0.12  0.65  1.55  -0.47  -1.38  -0.98  -0.26  -0.15  -0.35  -2.69  -0.53  -1.91  
2012.0  -1.54  0.64  0.36  -1.26  -0.97  -1.0  -0.09  -0.09  -0.94  -0.62  -0.5  1.27  
2013.0  0.79  0.11  0.72  2.42  -1.19  -1.1  -0.11  -0.02  0.62  0.0  -2.62  -0.94  
2014.0  -2.55  -0.51  -1.92  -1.29  -0.75  -0.52  -0.24  -0.12  0.16  0.94  -0.18  -1.79  
2015.0  -1.46  -1.53  -1.67  -0.48  -0.89  -0.87  -0.2  -0.13  -0.17  -0.11  -0.49  -1.74  
2016.0  0.07  -2.6  -2.93  -1.66  -1.29  -1.07  -0.3  -0.12  -0.67  0.54  0.19  0.21  
2017.0  0.63  -0.34  -1.18  -0.63  0.45  -0.42  -0.09  -0.07  0.0  -0.16  -0.88  -2.63  
2018.0  -2.27  -1.3  0.32  1.09  0.29  0.35  0.01  -0.01  0.08  -0.56  1.67  -0.97  
