Year    Jan   Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct   Nov   Dec   
1981.0  0.06  0.02  -0.02  0.1  0.08  0.02  0.0  0.0  0.0  0.02  0.0  0.06  
1982.0  0.23  0.34  0.38  0.36  0.26  0.11  0.0  0.0  0.0  0.05  0.1  0.07  
1983.0  0.09  0.14  0.16  0.27  0.31  0.05  0.0  0.0  0.0  -0.01  -0.05  0.06  
1984.0  0.09  0.0  0.0  0.07  -0.18  -0.04  0.0  0.0  0.0  0.03  0.04  0.05  
1985.0  0.07  0.2  0.23  0.18  0.35  0.01  0.0  0.0  0.0  -0.02  0.04  0.08  
1986.0  0.07  0.08  0.03  0.01  0.17  0.09  0.0  0.0  0.01  -0.01  -0.06  -0.04  
1987.0  -0.02  -0.03  0.02  -0.09  0.14  0.16  0.01  0.0  0.0  0.01  0.02  -0.03  
1988.0  0.0  0.07  0.12  0.0  0.04  0.0  0.0  0.0  0.0  -0.04  0.06  0.13  
1989.0  0.2  0.19  0.17  0.18  0.12  0.11  0.01  0.0  0.0  0.03  0.1  0.15  
1990.0  0.08  0.12  0.0  -0.04  -0.1  -0.02  0.0  0.0  0.0  0.01  0.1  0.23  
1991.0  0.22  0.11  0.19  0.04  -0.01  0.0  0.0  0.0  0.0  -0.01  0.02  0.07  
1992.0  0.05  0.06  0.04  0.23  0.24  0.19  0.01  0.0  0.02  0.12  0.2  0.2  
1993.0  0.25  0.23  0.18  0.01  0.09  -0.03  0.0  0.0  0.0  0.05  0.12  0.08  
1994.0  0.08  0.09  0.05  0.03  -0.03  -0.01  0.0  0.0  0.0  -0.03  0.01  0.06  
1995.0  -0.02  -0.1  -0.12  -0.14  -0.07  -0.01  0.0  0.0  0.0  0.0  0.06  0.07  
1996.0  0.06  0.06  0.15  0.29  0.27  0.13  0.0  0.0  0.01  0.02  0.05  0.11  
1997.0  0.22  0.21  0.21  -0.04  -0.09  0.0  0.0  0.0  0.0  0.02  0.0  -0.07  
1998.0  -0.09  -0.13  -0.11  0.02  0.13  -0.02  0.0  0.0  0.01  0.09  0.06  0.0  
1999.0  0.03  0.09  0.14  0.07  0.02  0.02  0.0  0.0  0.0  0.01  0.03  0.0  
2000.0  0.01  -0.03  -0.14  -0.12  -0.06  -0.03  0.0  0.0  0.0  0.02  0.0  -0.05  
2001.0  -0.12  -0.13  -0.11  -0.07  -0.06  -0.03  0.0  0.0  0.01  0.01  0.0  -0.05  
2002.0  -0.1  -0.17  -0.12  0.2  0.1  -0.03  0.0  0.0  0.0  0.02  -0.04  -0.15  
2003.0  -0.24  -0.19  -0.19  -0.24  -0.12  0.01  0.0  0.0  0.0  -0.07  -0.08  -0.07  
2004.0  -0.01  0.02  -0.05  0.05  0.21  0.02  0.0  0.0  0.0  0.04  0.03  0.07  
2005.0  0.1  0.07  0.06  -0.03  -0.16  -0.03  0.0  0.0  0.0  -0.02  -0.08  -0.16  
2006.0  -0.26  -0.22  -0.13  -0.12  -0.13  -0.09  0.0  0.0  -0.01  -0.03  0.03  -0.03  
2007.0  -0.11  -0.11  -0.05  -0.27  -0.17  -0.02  0.0  0.0  0.0  -0.02  -0.04  -0.01  
2008.0  -0.08  -0.03  -0.09  0.09  -0.02  -0.04  0.0  0.0  0.0  -0.04  -0.08  -0.06  
2009.0  -0.05  -0.11  0.0  -0.01  -0.05  -0.04  0.0  0.0  -0.01  -0.09  -0.16  -0.24  
2010.0  -0.25  -0.28  -0.42  -0.52  -0.41  -0.06  0.0  0.0  0.0  -0.03  -0.12  0.0  
2011.0  0.01  0.04  0.12  -0.13  -0.12  -0.07  0.0  0.0  0.0  -0.05  -0.11  -0.19  
2012.0  -0.25  -0.27  -0.28  -0.26  -0.11  -0.03  0.0  0.0  -0.01  -0.06  -0.1  -0.06  
2013.0  -0.09  -0.07  -0.02  0.07  -0.26  -0.08  0.0  0.0  0.0  0.01  -0.09  -0.04  
2014.0  -0.04  -0.05  -0.12  -0.06  -0.07  -0.03  0.0  0.0  0.0  0.01  0.03  -0.06  
2015.0  -0.01  0.0  -0.04  -0.03  -0.13  -0.06  0.0  0.0  0.0  -0.01  -0.03  -0.1  
2016.0  -0.17  -0.25  -0.33  -0.38  -0.31  -0.09  0.0  0.0  -0.01  -0.01  -0.08  -0.09  
2017.0  0.01  0.0  -0.08  -0.11  -0.03  -0.05  0.0  0.0  0.0  -0.01  0.0  0.0  
2018.0  -0.05  0.0  0.18  0.37  0.19  0.02  0.0  NaN  NaN  NaN  NaN  NaN  
