Study	Grouping	Start Year (pre-adj)	End Year (pre-adj)	RCP 2.6-0.67 	 RCP 2.6-0.90	RCP 4.5-0.67 	 RCP 4.5-0.90	RCP 8.5-0.67 	 RCP 8.5-0.90
Bakker et al. 2017	2	1996	2050		0.16--0.29		0.18--0.31		0.20--0.34
Kopp et al. 2014	2	2000	2050	0.19--0.27	0.16--0.31	0.19--0.29	0.16--0.33	0.22--0.32	0.19--0.36
Mengel et al. 2016	2	1996	2050		0.10--0.20		0.11--0.21		0.12--0.25
Nicholls et al. 2018	2	1996	2050						0.16--0.29
Kopp et al. 2017 [MICI]	3	2000	2050	0.14--0.31	0.10--0.39	0.16--0.34	0.12--0.41	0.20--0.38	0.15--0.46
Wong et al. 2017 [MICI]	3	2000	2050		0.18--0.31		0.20--0.33		0.23--0.38
Jackson and Jevrejeva 2016 [SEJ]	4	1996	2050					0.19--0.34	0.15--0.45
Bamber et al. 2019 [SEJ]	4	2000	2050					0.25--0.45	0.19--0.59
Bakker et al. 2017	2	1996	2100		0.37--0.68		0.51--0.94		0.82--1.56
Jackson and Jevrejeva 2016	2	1996	2100			0.33--0.69	0.19--0.82	0.51--0.95	0.34--1.15
Kopp et al. 2014	2	2000	2100	0.35--0.63	0.27--0.80	0.43--0.75	0.34--0.91	0.60--0.98	0.50--1.19
Kopp et al. 2016	2	2000	2100	0.26--0.49	0.22--0.59	0.37--0.67	0.31--0.83	0.57--1.03	0.50--1.29
Mengel et al. 2016	2	1996	2100		0.25--0.53		0.34--0.74		0.54--1.28
Nauels et al. 2017a	2	1996	2100	0.34--0.56		0.45--0.71		0.65--1.06	
Slangen et al. 2014	2	1996	2090			0.36--0.83		0.46--1.15	
LeBars et al. 2018	2	1996	2100			0.39--0.67	0.31--0.82	0.59--0.98	0.48--1.18
LeCozannet et al. 2019	2	1996	2100	0.20--0.42	0.14--0.49	0.32--0.54	0.24--0.60	0.55--0.80	0.45--0.89
Goodwin et al. 2017	2	1996	2100		0.51--0.88		0.52--0.79		0.73--1.00
Nicholls et al. 2018	2	1996	2100						0.51--0.88
Kopp et al. 2017 [MICI]	3	2000	2100	0.35--0.76	0.24--0.96	0.64--1.23	0.48--1.56	1.07--2.07	0.91--2.41
Wong et al. 2017 [MICI]	3	2000	2100		0.41--0.72		0.54--1.28		1.07--2.05
Grinsted et al. 2015 [SEJ]	4	2000	2100					0.56--1.18	0.43--1.81
Jackson and Jevrejeva 2016 [SEJ]	4	1996	2100					0.60--1.18	0.48--1.64
Jevrejeva et al. 2014 [SEJ]	4	2000	2100						0.44--1.78
Bamber et al. 2019 [SEJ]	4	2000	2100					0.77--1.72	0.60--2.36
Horton et al. 2020 [ES]	5	2000	2100	0.28--0.63	0.19--0.80			0.61--1.30	0.43--1.63
