year T_MMCP2.6 T_MMCP4.5 T_MMCP6.0 T_MMCP-break T_MMCP8.5 T_MMCP-feedback 
 2001 -0.414 0.302 -0.547 -0.263 -0.263 -0.263 
 2002 -0.474 0.237 -0.581 -0.220 -0.220 -0.220 
 2003 -0.445 0.267 -0.562 -0.235 -0.235 -0.235 
 2004 -0.375 0.300 -0.640 -0.156 -0.156 -0.156 
 2005 -0.372 0.288 -0.600 -0.135 -0.135 -0.135 
 2006 -0.296 0.298 -0.631 -0.166 -0.166 -0.166 
 2007 -0.400 0.405 -0.614 -0.192 -0.192 -0.192 
 2008 -0.466 0.492 -0.601 -0.169 -0.169 -0.169 
 2009 -0.448 0.459 -0.546 -0.176 -0.176 -0.176 
 2010 -0.387 0.431 -0.552 -0.189 -0.189 -0.189 
 2011 -0.367 0.448 -0.556 -0.124 -0.124 -0.124 
 2012 -0.363 0.465 -0.574 -0.100 -0.100 -0.100 
 2013 -0.313 0.509 -0.616 -0.100 -0.100 -0.100 
 2014 -0.267 0.568 -0.670 -0.112 -0.112 -0.112 
 2015 -0.227 0.636 -0.575 -0.074 -0.074 -0.074 
 2016 -0.218 0.706 -0.485 -0.113 -0.113 -0.113 
 2017 -0.170 0.681 -0.489 -0.089 -0.089 -0.089 
 2018 -0.140 0.668 -0.453 -0.075 -0.075 -0.075 
 2019 -0.195 0.725 -0.428 -0.056 -0.056 -0.056 
 2020 -0.150 0.762 -0.375 -0.014 -0.014 -0.014 
 2021 -0.167 0.819 -0.296 -0.010 -0.010 -0.010 
 2022 -0.143 0.871 -0.234 0.128 0.128 0.128 
 2023 -0.105 0.962 -0.159 0.124 0.124 0.124 
 2024 -0.103 1.017 -0.089 0.151 0.151 0.151 
 2025 -0.130 1.079 0.006 0.151 0.151 0.151 
 2026 -0.010 1.115 0.040 0.163 0.163 0.163 
 2027 0.019 1.180 0.145 0.216 0.216 0.216 
 2028 0.111 1.186 0.254 0.317 0.317 0.317 
 2029 0.245 1.179 0.353 0.368 0.368 0.368 
 2030 0.330 1.279 0.389 0.458 0.458 0.458 
 2031 0.346 1.354 0.515 0.553 0.553 0.553 
 2032 0.344 1.382 0.610 0.590 0.590 0.590 
 2033 0.372 1.405 0.656 0.637 0.637 0.637 
 2034 0.351 1.422 0.746 0.697 0.697 0.697 
 2035 0.277 1.473 0.825 0.752 0.752 0.752 
 2036 0.375 1.467 0.839 0.789 0.789 0.789 
 2037 0.488 1.560 0.804 0.869 0.869 0.869 
 2038 0.542 1.676 0.835 0.931 0.931 0.931 
 2039 0.535 1.794 0.865 0.956 0.956 0.956 
 2040 0.579 1.818 0.889 0.927 0.927 0.927 
 2041 0.518 1.847 0.935 0.961 0.961 0.961 
 2042 0.594 1.817 1.045 1.044 1.044 1.044 
 2043 0.681 1.826 1.121 1.078 1.078 1.078 
 2044 0.789 1.888 1.147 1.161 1.161 1.161 
 2045 0.839 1.944 1.180 1.303 1.303 1.303 
 2046 0.889 1.993 1.265 1.366 1.366 1.366 
 2047 0.883 2.153 1.300 1.475 1.475 1.475 
 2048 0.846 2.128 1.320 1.514 1.514 1.514 
 2049 0.903 2.190 1.300 1.544 1.544 1.544 
 2050 0.829 2.229 1.288 1.583 1.583 1.583 
 2051 0.832 2.247 1.344 1.626 1.626 1.626 
 2052 0.859 2.276 1.333 1.635 1.635 1.635 
 2053 0.967 2.362 1.380 1.643 1.643 1.643 
 2054 1.010 2.426 1.409 1.692 1.692 1.692 
 2055 1.053 2.485 1.424 1.745 1.745 1.745 
 2056 1.150 2.509 1.520 1.820 1.820 1.820 
 2057 1.196 2.570 1.531 1.896 1.896 1.896 
 2058 1.134 2.610 1.601 1.992 1.992 1.992 
 2059 1.085 2.620 1.686 2.072 2.072 2.072 
 2060 1.138 2.681 1.744 2.161 2.161 2.161 
 2061 1.230 2.747 1.872 2.367 2.367 2.367 
 2062 1.309 2.844 1.990 2.474 2.474 2.474 
 2063 1.341 2.929 1.938 2.532 2.532 2.532 
