year T_MMCP2.6 T_MMCP4.5 T_MMCP6.0 T_MMCP-break T_MMCP8.5 T_MMCP-feedback 
 1501 282.260 282.260 282.260 282.260 282.260 282.260 
 1502 282.350 282.350 282.350 282.350 282.350 282.350 
 1503 282.430 282.430 282.430 282.430 282.430 282.430 
 1504 282.510 282.510 282.510 282.510 282.510 282.510 
 1505 282.590 282.590 282.590 282.590 282.590 282.590 
 1506 282.660 282.660 282.660 282.660 282.660 282.660 
 1507 282.720 282.720 282.720 282.720 282.720 282.720 
 1508 282.780 282.780 282.780 282.780 282.780 282.780 
 1509 282.840 282.840 282.840 282.840 282.840 282.840 
 1510 282.890 282.890 282.890 282.890 282.890 282.890 
 1511 282.940 282.940 282.940 282.940 282.940 282.940 
 1512 282.980 282.980 282.980 282.980 282.980 282.980 
 1513 283.020 283.020 283.020 283.020 283.020 283.020 
 1514 283.060 283.060 283.060 283.060 283.060 283.060 
 1515 283.090 283.090 283.090 283.090 283.090 283.090 
 1516 283.120 283.120 283.120 283.120 283.120 283.120 
 1517 283.150 283.150 283.150 283.150 283.150 283.150 
 1518 283.170 283.170 283.170 283.170 283.170 283.170 
 1519 283.190 283.190 283.190 283.190 283.190 283.190 
 1520 283.200 283.200 283.200 283.200 283.200 283.200 
 1521 283.220 283.220 283.220 283.220 283.220 283.220 
 1522 283.230 283.230 283.230 283.230 283.230 283.230 
 1523 283.240 283.240 283.240 283.240 283.240 283.240 
 1524 283.240 283.240 283.240 283.240 283.240 283.240 
 1525 283.240 283.240 283.240 283.240 283.240 283.240 
 1526 283.250 283.250 283.250 283.250 283.250 283.250 
 1527 283.240 283.240 283.240 283.240 283.240 283.240 
 1528 283.240 283.240 283.240 283.240 283.240 283.240 
 1529 283.230 283.230 283.230 283.230 283.230 283.230 
 1530 283.230 283.230 283.230 283.230 283.230 283.230 
 1531 283.220 283.220 283.220 283.220 283.220 283.220 
 1532 283.210 283.210 283.210 283.210 283.210 283.210 
 1533 283.200 283.200 283.200 283.200 283.200 283.200 
 1534 283.180 283.180 283.180 283.180 283.180 283.180 
 1535 283.170 283.170 283.170 283.170 283.170 283.170 
 1536 283.150 283.150 283.150 283.150 283.150 283.150 
 1537 283.130 283.130 283.130 283.130 283.130 283.130 
 1538 283.100 283.100 283.100 283.100 283.100 283.100 
 1539 283.080 283.080 283.080 283.080 283.080 283.080 
 1540 283.050 283.050 283.050 283.050 283.050 283.050 
 1541 283.020 283.020 283.020 283.020 283.020 283.020 
 1542 282.980 282.980 282.980 282.980 282.980 282.980 
 1543 282.950 282.950 282.950 282.950 282.950 282.950 
 1544 282.910 282.910 282.910 282.910 282.910 282.910 
 1545 282.870 282.870 282.870 282.870 282.870 282.870 
 1546 282.820 282.820 282.820 282.820 282.820 282.820 
 1547 282.770 282.770 282.770 282.770 282.770 282.770 
 1548 282.720 282.720 282.720 282.720 282.720 282.720 
 1549 282.670 282.670 282.670 282.670 282.670 282.670 
 1550 282.610 282.610 282.610 282.610 282.610 282.610 
 1551 282.550 282.550 282.550 282.550 282.550 282.550 
 1552 282.480 282.480 282.480 282.480 282.480 282.480 
 1553 282.420 282.420 282.420 282.420 282.420 282.420 
 1554 282.350 282.350 282.350 282.350 282.350 282.350 
 1555 282.290 282.290 282.290 282.290 282.290 282.290 
 1556 282.230 282.230 282.230 282.230 282.230 282.230 
 1557 282.180 282.180 282.180 282.180 282.180 282.180 
 1558 282.130 282.130 282.130 282.130 282.130 282.130 
 1559 282.080 282.080 282.080 282.080 282.080 282.080 
 1560 282.040 282.040 282.040 282.040 282.040 282.040 
 1561 282.010 282.010 282.010 282.010 282.010 282.010 
 1562 281.990 281.990 281.990 281.990 281.990 281.990 
 1563 281.980 281.980 281.980 281.980 281.980 281.980 
 1564 281.970 281.970 281.970 281.970 281.970 281.970 
 1565 281.970 281.970 281.970 281.970 281.970 281.970 
 1566 281.970 281.970 281.970 281.970 281.970 281.970 
 1567 281.970 281.970 281.970 281.970 281.970 281.970 
 1568 281.970 281.970 281.970 281.970 281.970 281.970 
 1569 281.970 281.970 281.970 281.970 281.970 281.970 
 1570 281.970 281.970 281.970 281.970 281.970 281.970 
 1571 281.970 281.970 281.970 281.970 281.970 281.970 
 1572 281.960 281.960 281.960 281.960 281.960 281.960 
 1573 281.950 281.950 281.950 281.950 281.950 281.950 
 1574 281.930 281.930 281.930 281.930 281.930 281.930 
 1575 281.910 281.910 281.910 281.910 281.910 281.910 
 1576 281.870 281.870 281.870 281.870 281.870 281.870 
 1577 281.820 281.820 281.820 281.820 281.820 281.820 
 1578 281.760 281.760 281.760 281.760 281.760 281.760 
 1579 281.690 281.690 281.690 281.690 281.690 281.690 
 1580 281.600 281.600 281.600 281.600 281.600 281.600 
 1581 281.490 281.490 281.490 281.490 281.490 281.490 
 1582 281.360 281.360 281.360 281.360 281.360 281.360 
 1583 281.220 281.220 281.220 281.220 281.220 281.220 
 1584 281.050 281.050 281.050 281.050 281.050 281.050 
 1585 280.850 280.850 280.850 280.850 280.850 280.850 
 1586 280.630 280.630 280.630 280.630 280.630 280.630 
 1587 280.380 280.380 280.380 280.380 280.380 280.380 
 1588 280.110 280.110 280.110 280.110 280.110 280.110 
 1589 279.800 279.800 279.800 279.800 279.800 279.800 
 1590 279.470 279.470 279.470 279.470 279.470 279.470 
 1591 279.110 279.110 279.110 279.110 279.110 279.110 
 1592 278.740 278.740 278.740 278.740 278.740 278.740 
 1593 278.360 278.360 278.360 278.360 278.360 278.360 
 1594 277.960 277.960 277.960 277.960 277.960 277.960 
 1595 277.560 277.560 277.560 277.560 277.560 277.560 
 1596 277.160 277.160 277.160 277.160 277.160 277.160 
 1597 276.750 276.750 276.750 276.750 276.750 276.750 
 1598 276.340 276.340 276.340 276.340 276.340 276.340 
 1599 275.940 275.940 275.940 275.940 275.940 275.940 
 1600 275.540 275.540 275.540 275.540 275.540 275.540 
 1601 275.160 275.160 275.160 275.160 275.160 275.160 
 1602 274.780 274.780 274.780 274.780 274.780 274.780 
 1603 274.420 274.420 274.420 274.420 274.420 274.420 
 1604 274.080 274.080 274.080 274.080 274.080 274.080 
 1605 273.760 273.760 273.760 273.760 273.760 273.760 
 1606 273.460 273.460 273.460 273.460 273.460 273.460 
 1607 273.190 273.190 273.190 273.190 273.190 273.190 
 1608 272.950 272.950 272.950 272.950 272.950 272.950 
 1609 272.740 272.740 272.740 272.740 272.740 272.740 
 1610 272.560 272.560 272.560 272.560 272.560 272.560 
 1611 272.430 272.430 272.430 272.430 272.430 272.430 
 1612 272.330 272.330 272.330 272.330 272.330 272.330 
 1613 272.270 272.270 272.270 272.270 272.270 272.270 
 1614 272.240 272.240 272.240 272.240 272.240 272.240 
 1615 272.240 272.240 272.240 272.240 272.240 272.240 
 1616 272.270 272.270 272.270 272.270 272.270 272.270 
 1617 272.330 272.330 272.330 272.330 272.330 272.330 
 1618 272.420 272.420 272.420 272.420 272.420 272.420 
 1619 272.530 272.530 272.530 272.530 272.530 272.530 
 1620 272.650 272.650 272.650 272.650 272.650 272.650 
 1621 272.800 272.800 272.800 272.800 272.800 272.800 
 1622 272.960 272.960 272.960 272.960 272.960 272.960 
 1623 273.140 273.140 273.140 273.140 273.140 273.140 
 1624 273.320 273.320 273.320 273.320 273.320 273.320 
 1625 273.520 273.520 273.520 273.520 273.520 273.520 
 1626 273.730 273.730 273.730 273.730 273.730 273.730 
 1627 273.930 273.930 273.930 273.930 273.930 273.930 
 1628 274.150 274.150 274.150 274.150 274.150 274.150 
 1629 274.360 274.360 274.360 274.360 274.360 274.360 
 1630 274.570 274.570 274.570 274.570 274.570 274.570 
 1631 274.780 274.780 274.780 274.780 274.780 274.780 
