year T_MMCP2.6 T_MMCP4.5 T_MMCP6.0 T_MMCP-break T_MMCP8.5 T_MMCP-feedback 
 2001 0.261 0.230 0.261 0.261 0.261 0.261 
 2002 0.257 0.226 0.257 0.257 0.257 0.257 
 2003 0.281 0.272 0.258 0.282 0.282 0.282 
 2004 0.317 0.292 0.278 0.312 0.312 0.312 
 2005 0.327 0.348 0.301 0.389 0.389 0.389 
 2006 0.304 0.365 0.294 0.377 0.377 0.377 
 2007 0.329 0.363 0.298 0.400 0.400 0.400 
 2008 0.351 0.307 0.304 0.396 0.396 0.396 
 2009 0.413 0.310 0.329 0.442 0.442 0.442 
 2010 0.435 0.331 0.312 0.411 0.411 0.411 
 2011 0.459 0.398 0.317 0.354 0.354 0.354 
 2012 0.433 0.447 0.351 0.313 0.313 0.313 
 2013 0.391 0.499 0.378 0.334 0.334 0.334 
 2014 0.387 0.528 0.418 0.408 0.408 0.408 
 2015 0.417 0.534 0.405 0.488 0.488 0.488 
 2016 0.410 0.592 0.428 0.551 0.551 0.551 
 2017 0.409 0.639 0.434 0.579 0.579 0.579 
 2018 0.419 0.661 0.486 0.597 0.597 0.597 
 2019 0.533 0.605 0.533 0.606 0.606 0.606 
 2020 0.623 0.576 0.554 0.616 0.616 0.616 
 2021 0.708 0.559 0.574 0.595 0.595 0.595 
 2022 0.704 0.545 0.599 0.580 0.580 0.580 
 2023 0.709 0.528 0.623 0.606 0.606 0.606 
 2024 0.626 0.562 0.617 0.658 0.658 0.658 
 2025 0.588 0.616 0.618 0.724 0.724 0.724 
 2026 0.571 0.652 0.621 0.724 0.724 0.724 
 2027 0.649 0.611 0.641 0.717 0.717 0.717 
 2028 0.673 0.598 0.672 0.711 0.711 0.711 
 2029 0.717 0.616 0.667 0.744 0.744 0.744 
 2030 0.707 0.708 0.709 0.749 0.749 0.749 
 2031 0.765 0.775 0.755 0.824 0.824 0.824 
 2032 0.789 0.839 0.803 0.815 0.815 0.815 
 2033 0.831 0.831 0.821 0.837 0.837 0.837 
 2034 0.831 0.858 0.795 0.824 0.824 0.824 
 2035 0.820 0.866 0.814 0.862 0.862 0.862 
 2036 0.818 0.892 0.798 0.901 0.901 0.901 
 2037 0.790 0.890 0.818 0.939 0.939 0.939 
 2038 0.815 0.901 0.824 0.970 0.970 0.970 
 2039 0.861 0.954 0.823 0.998 0.998 0.998 
 2040 0.899 0.976 0.835 1.036 1.036 1.036 
 2041 0.897 1.006 0.809 1.058 1.058 1.058 
 2042 0.853 0.990 0.829 1.084 1.084 1.084 
 2043 0.871 1.019 0.815 1.123 1.123 1.123 
 2044 0.857 1.010 0.875 1.123 1.123 1.123 
 2045 0.889 1.033 0.918 1.133 1.133 1.133 
 2046 0.912 1.065 0.988 1.126 1.126 1.126 
 2047 0.952 1.152 1.044 1.216 1.216 1.216 
 2048 0.953 1.167 1.059 1.279 1.279 1.279 
 2049 0.940 1.188 1.070 1.289 1.289 1.289 
 2050 0.930 1.157 1.046 1.222 1.222 1.222 
 2051 0.953 1.198 1.123 1.246 1.246 1.246 
 2052 0.979 1.176 1.177 1.305 1.305 1.305 
 2053 0.999 1.170 1.197 1.377 1.377 1.377 
 2054 1.031 1.140 1.147 1.403 1.403 1.403 
 2055 1.052 1.170 1.098 1.390 1.390 1.390 
 2056 1.054 1.185 1.132 1.383 1.383 1.383 
 2057 1.051 1.180 1.160 1.313 1.313 1.313 
 2058 1.082 1.200 1.160 1.325 1.325 1.325 
 2059 1.055 1.242 1.147 1.355 1.355 1.355 
 2060 1.109 1.305 1.176 1.455 1.455 1.455 
 2061 1.122 1.297 1.223 1.488 1.488 1.488 
 2062 1.217 1.303 1.265 1.540 1.540 1.540 
 2063 1.183 1.268 1.276 1.570 1.570 1.570 
 2064 1.154 1.263 1.304 1.573 1.573 1.573 
 2065 1.136 1.242 1.364 1.570 1.570 1.570 
 2066 1.132 1.261 1.387 1.562 1.562 1.562 
 2067 1.132 1.322 1.354 1.587 1.587 1.587 
 2068 1.117 1.343 1.315 1.641 1.641 1.641 
 2069 1.075 1.388 1.328 1.681 1.681 1.681 
 2070 1.093 1.392 1.395 1.704 1.704 1.704 
 2071 1.119 1.438 1.420 1.742 1.742 1.742 
 2072 1.163 1.425 1.415 1.784 1.784 1.784 
 2073 1.176 1.379 1.440 1.821 1.821 1.821 
 2074 1.136 1.404 1.479 1.785 1.785 1.785 
 2075 1.166 1.417 1.535 1.730 1.730 1.730 
 2076 1.165 1.448 1.572 1.725 1.725 1.725 
 2077 1.199 1.402 1.580 1.736 1.736 1.736 
 2078 1.200 1.392 1.553 1.774 1.774 1.774 
 2079 1.150 1.445 1.502 1.787 1.787 1.787 
 2080 1.143 1.488 1.487 1.791 1.791 1.791 
 2081 1.095 1.507 1.534 1.805 1.805 1.805 
 2082 1.130 1.480 1.596 1.822 1.822 1.822 
 2083 1.180 1.420 1.642 1.860 1.860 1.860 
 2084 1.306 1.394 1.655 1.921 1.921 1.921 
 2085 1.351 1.371 1.692 1.927 1.927 1.927 
 2086 1.372 1.432 1.722 1.963 1.963 1.963 
 2087 1.319 1.461 1.718 1.954 1.954 1.954 
 2088 1.307 1.469 1.706 1.995 1.995 1.995 
 2089 1.269 1.436 1.673 2.003 2.003 2.003 
 2090 1.219 1.497 1.659 2.021 2.021 2.021 
 2091 1.183 1.509 1.672 2.023 2.023 2.023 
 2092 1.196 1.510 1.701 2.025 2.025 2.025 
 2093 1.234 1.440 1.770 2.044 2.044 2.044 
 2094 1.247 1.463 1.747 2.030 2.030 2.030 
 2095 1.213 1.529 1.711 1.983 1.983 1.983 
 2096 1.195 1.579 1.678 1.999 1.999 1.999 
 2097 1.237 1.567 1.701 2.072 2.072 2.072 
 2098 1.259 1.542 1.733 2.214 2.214 2.214 
 2099 1.277 1.593 1.748 2.257 2.257 2.257 
 2100 1.307 1.619 1.771 2.279 2.279 2.279 
 2101 1.332 1.607 1.853 2.260 2.260 2.260 
 2102 1.373 1.593 1.922 2.220 2.220 2.220 
 2103 1.380 1.573 1.934 2.188 2.188 2.188 
 2104 1.361 1.584 1.908 2.193 2.193 2.193 
 2105 1.350 1.555 1.862 2.239 2.239 2.239 
 2106 1.296 1.603 1.859 2.300 2.300 2.300 
 2107 1.303 1.648 1.796 2.338 2.338 2.338 
 2108 1.242 1.669 1.815 2.366 2.366 2.366 
 2109 1.242 1.676 1.801 2.372 2.372 2.372 
 2110 1.262 1.629 1.877 2.316 2.316 2.316 
 2111 1.311 1.620 1.865 2.280 2.280 2.280 
 2112 1.308 1.584 1.906 2.282 2.282 2.282 
 2113 1.276 1.589 1.855 2.316 2.316 2.316 
 2114 1.284 1.635 1.896 2.353 2.353 2.353 
 2115 1.290 1.672 1.872 2.385 2.385 2.385 
 2116 1.288 1.693 1.900 2.423 2.423 2.423 
 2117 1.275 1.666 1.898 2.450 2.450 2.450 
 2118 1.298 1.690 1.953 2.414 2.414 2.414 
 2119 1.358 1.725 1.989 2.422 2.422 2.422 
