year  AIS_MMCP2.6  AIS_MMCP4.5  AIS_MMCP6.0   AIS_MMCP-break  AIS_MMCP8.5 AIS_MMCP-feedback 
 2001 0.000 0.000 0.000 0.000 0.000 0.000 
 2002 0.000 0.000 0.000 0.000 0.000 0.000 
 2003 0.001 0.000 0.001 0.001 0.001 0.001 
 2004 0.001 0.000 0.001 0.001 0.001 0.001 
 2005 0.001 0.000 0.001 0.001 0.001 0.001 
 2006 0.001 0.000 0.001 0.001 0.001 0.001 
 2007 0.001 0.000 0.001 0.001 0.001 0.001 
 2008 0.001 0.000 0.001 0.001 0.001 0.001 
 2009 0.002 0.000 0.001 0.001 0.001 0.001 
 2010 0.002 0.000 0.001 0.001 0.001 0.001 
 2011 0.002 0.000 0.002 0.001 0.001 0.001 
 2012 0.002 0.000 0.002 0.001 0.001 0.001 
 2013 0.002 0.001 0.002 0.002 0.002 0.002 
 2014 0.003 0.001 0.002 0.002 0.002 0.002 
 2015 0.003 0.002 0.002 0.002 0.002 0.002 
 2016 0.003 0.002 0.002 0.002 0.002 0.002 
 2017 0.003 0.002 0.003 0.002 0.002 0.002 
 2018 0.003 0.002 0.003 0.002 0.002 0.002 
 2019 0.003 0.002 0.003 0.002 0.002 0.002 
 2020 0.003 0.003 0.003 0.003 0.003 0.003 
 2021 0.003 0.003 0.003 0.003 0.003 0.003 
 2022 0.003 0.003 0.003 0.003 0.003 0.003 
 2023 0.003 0.003 0.003 0.003 0.003 0.003 
 2024 0.004 0.003 0.003 0.004 0.004 0.004 
 2025 0.004 0.003 0.003 0.004 0.004 0.004 
 2026 0.004 0.004 0.003 0.004 0.004 0.004 
 2027 0.004 0.004 0.004 0.004 0.004 0.004 
 2028 0.004 0.004 0.004 0.004 0.004 0.004 
 2029 0.004 0.004 0.004 0.005 0.005 0.005 
 2030 0.004 0.005 0.004 0.005 0.005 0.005 
 2031 0.004 0.005 0.004 0.005 0.005 0.005 
 2032 0.003 0.005 0.004 0.005 0.005 0.005 
 2033 0.003 0.005 0.004 0.006 0.006 0.006 
 2034 0.004 0.005 0.004 0.006 0.006 0.006 
 2035 0.004 0.005 0.005 0.006 0.006 0.006 
 2036 0.004 0.005 0.005 0.006 0.006 0.006 
 2037 0.004 0.005 0.006 0.006 0.006 0.006 
 2038 0.004 0.004 0.006 0.006 0.006 0.006 
 2039 0.004 0.004 0.006 0.006 0.006 0.006 
 2040 0.004 0.004 0.006 0.006 0.006 0.006 
 2041 0.004 0.004 0.006 0.006 0.006 0.006 
 2042 0.004 0.004 0.007 0.006 0.006 0.006 
 2043 0.004 0.004 0.007 0.007 0.007 0.007 
 2044 0.003 0.004 0.007 0.007 0.007 0.007 
 2045 0.003 0.004 0.007 0.007 0.007 0.007 
 2046 0.003 0.004 0.007 0.007 0.007 0.007 
 2047 0.003 0.005 0.007 0.007 0.007 0.007 
 2048 0.003 0.006 0.008 0.007 0.007 0.007 
 2049 0.003 0.006 0.007 0.008 0.008 0.008 
 2050 0.003 0.006 0.007 0.008 0.008 0.008 
 2051 0.002 0.006 0.007 0.007 0.007 0.007 
 2052 0.002 0.006 0.007 0.007 0.007 0.007 
 2053 0.002 0.005 0.008 0.007 0.007 0.007 
 2054 0.002 0.005 0.008 0.007 0.007 0.007 
 2055 0.002 0.005 0.008 0.007 0.007 0.007 
 2056 0.002 0.006 0.008 0.007 0.007 0.007 
 2057 0.002 0.006 0.008 0.008 0.008 0.008 
 2058 0.002 0.006 0.008 0.008 0.008 0.008 
 2059 0.002 0.007 0.008 0.008 0.008 0.008 
 2060 0.002 0.007 0.008 0.008 0.008 0.008 
 2061 0.002 0.007 0.008 0.008 0.008 0.008 
 2062 0.002 0.007 0.008 0.008 0.008 0.008 
 2063 0.002 0.007 0.008 0.008 0.008 0.008 
 2064 0.002 0.007 0.008 0.008 0.008 0.008 
 2065 0.003 0.006 0.008 0.008 0.008 0.008 
 2066 0.003 0.006 0.009 0.008 0.008 0.008 
 2067 0.003 0.007 0.009 0.008 0.008 0.008 
 2068 0.004 0.007 0.009 0.008 0.008 0.008 
 2069 0.004 0.007 0.010 0.008 0.008 0.008 
 2070 0.004 0.008 0.010 0.009 0.009 0.009 
 2071 0.005 0.008 0.010 0.010 0.010 0.010 
 2072 0.005 0.009 0.011 0.011 0.011 0.011 
 2073 0.005 0.009 0.012 0.013 0.013 0.013 
 2074 0.005 0.009 0.013 0.014 0.014 0.014 
 2075 0.005 0.009 0.013 0.016 0.016 0.016 
 2076 0.005 0.009 0.013 0.017 0.017 0.017 
 2077 0.006 0.009 0.013 0.017 0.017 0.017 
 2078 0.006 0.009 0.013 0.018 0.018 0.018 
 2079 0.007 0.010 0.013 0.018 0.018 0.018 
 2080 0.007 0.010 0.014 0.018 0.018 0.018 
 2081 0.007 0.011 0.015 0.018 0.018 0.018 
 2082 0.008 0.011 0.016 0.019 0.019 0.019 
 2083 0.008 0.011 0.017 0.020 0.020 0.020 
 2084 0.007 0.011 0.017 0.020 0.020 0.020 
 2085 0.007 0.012 0.018 0.020 0.020 0.020 
 2086 0.008 0.012 0.018 0.021 0.021 0.021 
 2087 0.009 0.012 0.019 0.022 0.022 0.022 
 2088 0.009 0.012 0.019 0.023 0.023 0.023 
 2089 0.010 0.012 0.020 0.025 0.025 0.025 
 2090 0.011 0.012 0.020 0.026 0.026 0.026 
 2091 0.012 0.013 0.020 0.027 0.027 0.027 
 2092 0.012 0.014 0.021 0.028 0.028 0.028 
 2093 0.012 0.014 0.022 0.029 0.029 0.029 
 2094 0.012 0.015 0.023 0.031 0.031 0.031 
 2095 0.013 0.015 0.023 0.032 0.032 0.032 
 2096 0.013 0.016 0.023 0.033 0.033 0.033 
 2097 0.013 0.016 0.023 0.035 0.035 0.035 
 2098 0.013 0.017 0.023 0.037 0.037 0.037 
 2099 0.013 0.017 0.023 0.039 0.039 0.039 
 2100 0.013 0.018 0.023 0.041 0.041 0.041 
 2101 0.013 0.018 0.024 0.043 0.043 0.043 
 2102 0.013 0.019 0.025 0.046 0.046 0.046 
 2103 0.013 0.019 0.026 0.049 0.049 0.049 
 2104 0.013 0.019 0.027 0.051 0.051 0.051 
 2105 0.013 0.020 0.027 0.053 0.053 0.053 
 2106 0.013 0.021 0.028 0.054 0.054 0.054 
 2107 0.013 0.021 0.029 0.055 0.055 0.055 
 2108 0.014 0.021 0.029 0.057 0.057 0.057 
 2109 0.014 0.021 0.029 0.060 0.060 0.060 
 2110 0.014 0.022 0.030 0.063 0.063 0.063 
 2111 0.014 0.022 0.030 0.066 0.066 0.066 
 2112 0.014 0.023 0.031 0.067 0.067 0.067 
 2113 0.014 0.024 0.032 0.069 0.069 0.069 
 2114 0.014 0.024 0.033 0.070 0.070 0.070 
 2115 0.014 0.024 0.034 0.071 0.071 0.071 
 2116 0.015 0.024 0.034 0.072 0.072 0.072 
 2117 0.015 0.025 0.034 0.073 0.073 0.073 
 2118 0.016 0.026 0.035 0.075 0.075 0.075 
 2119 0.017 0.027 0.036 0.076 0.076 0.076 
 2120 0.018 0.028 0.037 0.077 0.077 0.077 
 2121 0.018 0.029 0.037 0.079 0.079 0.079 
 2122 0.018 0.029 0.038 0.081 0.081 0.081 
 2123 0.018 0.029 0.038 0.084 0.084 0.084 
 2124 0.018 0.029 0.039 0.087 0.087 0.087 
 2125 0.018 0.029 0.040 0.089 0.089 0.089 
 2126 0.019 0.029 0.042 0.092 0.092 0.092 
 2127 0.019 0.029 0.043 0.094 0.094 0.094 
 2128 0.019 0.029 0.044 0.098 0.098 0.098 
 2129 0.020 0.030 0.044 0.101 0.101 0.101 
 2130 0.020 0.031 0.045 0.105 0.105 0.105 
 2131 0.020 0.032 0.046 0.107 0.107 0.107 
 2132 0.020 0.033 0.047 0.110 0.110 0.110 
 2133 0.020 0.033 0.048 0.113 0.113 0.113 
 2134 0.020 0.034 0.049 0.116 0.116 0.116 
 2135 0.020 0.034 0.051 0.118 0.118 0.118 
 2136 0.020 0.034 0.052 0.121 0.121 0.121 
 2137 0.021 0.035 0.053 0.124 0.124 0.124 
 2138 0.022 0.036 0.054 0.126 0.126 0.126 
 2139 0.022 0.036 0.056 0.129 0.129 0.129 
 2140 0.022 0.037 0.058 0.133 0.133 0.133 
 2141 0.023 0.038 0.059 0.137 0.137 0.137 
 2142 0.023 0.039 0.060 0.140 0.140 0.140 
 2143 0.023 0.040 0.061 0.143 0.143 0.143 
 2144 0.023 0.041 0.062 0.145 0.145 0.145 
 2145 0.023 0.042 0.063 0.147 0.147 0.147 
 2146 0.023 0.043 0.064 0.150 0.149 0.149 
 2147 0.023 0.043 0.065 0.153 0.152 0.152 
 2148 0.023 0.043 0.066 0.156 0.155 0.155 
 2149 0.024 0.044 0.067 0.158 0.157 0.157 
 2150 0.025 0.044 0.068 0.159 0.160 0.160 
 2151 0.025 0.045 0.069 0.161 0.162 0.162 
 2152 0.025 0.046 0.070 0.164 0.164 0.164 
 2153 0.025 0.047 0.071 0.167 0.167 0.167 
 2154 0.025 0.048 0.073 0.171 0.170 0.170 
 2155 0.025 0.049 0.074 0.174 0.173 0.173 
 2156 0.025 0.050 0.076 0.176 0.177 0.177 
 2157 0.026 0.051 0.077 0.179 0.180 0.180 
 2158 0.026 0.052 0.077 0.182 0.183 0.183 
 2159 0.027 0.052 0.079 0.186 0.186 0.186 
 2160 0.027 0.053 0.081 0.190 0.189 0.189 
 2161 0.027 0.054 0.083 0.194 0.193 0.193 
 2162 0.027 0.055 0.084 0.196 0.197 0.197 
 2163 0.027 0.055 0.085 0.198 0.200 0.200 
 2164 0.027 0.056 0.086 0.200 0.204 0.204 
 2165 0.028 0.057 0.087 0.204 0.207 0.207 
 2166 0.028 0.058 0.088 0.207 0.209 0.209 
 2167 0.029 0.059 0.090 0.211 0.211 0.211 
 2168 0.029 0.060 0.091 0.214 0.213 0.213 
 2169 0.029 0.060 0.093 0.217 0.216 0.216 
 2170 0.029 0.061 0.094 0.220 0.219 0.219 
 2171 0.030 0.062 0.095 0.223 0.223 0.223 
 2172 0.030 0.063 0.096 0.226 0.227 0.227 
 2173 0.030 0.063 0.098 0.229 0.230 0.230 
 2174 0.030 0.064 0.100 0.232 0.234 0.234 
 2175 0.030 0.064 0.102 0.234 0.238 0.238 
 2176 0.031 0.065 0.104 0.235 0.242 0.242 
