year GrIS_MMCP2.6 GrIS_MMCP4.5 GrIS_MMCP6.0  GrIS_MMCP-break GrIS_MMCP8.5 glaciers_MMCP-feedback 
 2001 0.000 0.000 0.000 0.000 0.000 0.000 
 2002 0.000 0.000 0.000 0.000 0.000 0.000 
 2003 0.001 0.000 0.001 0.001 0.001 0.001 
 2004 0.001 0.001 0.001 0.001 0.001 0.001 
 2005 0.001 0.001 0.001 0.002 0.002 0.002 
 2006 0.001 0.001 0.001 0.002 0.002 0.002 
 2007 0.001 0.001 0.001 0.002 0.002 0.002 
 2008 0.001 0.001 0.001 0.003 0.003 0.003 
 2009 0.001 0.001 0.001 0.003 0.003 0.003 
 2010 0.002 0.002 0.001 0.003 0.003 0.003 
 2011 0.002 0.002 0.002 0.004 0.004 0.004 
 2012 0.002 0.003 0.002 0.004 0.004 0.004 
 2013 0.003 0.003 0.003 0.004 0.004 0.004 
 2014 0.003 0.004 0.003 0.004 0.004 0.004 
 2015 0.003 0.004 0.003 0.004 0.004 0.004 
 2016 0.003 0.005 0.003 0.005 0.005 0.005 
 2017 0.003 0.005 0.003 0.005 0.005 0.005 
 2018 0.003 0.006 0.003 0.006 0.006 0.006 
 2019 0.003 0.007 0.004 0.006 0.006 0.006 
 2020 0.004 0.007 0.004 0.007 0.007 0.007 
 2021 0.004 0.007 0.005 0.007 0.007 0.007 
 2022 0.005 0.008 0.005 0.007 0.007 0.007 
 2023 0.005 0.008 0.006 0.007 0.007 0.007 
 2024 0.006 0.008 0.006 0.008 0.008 0.008 
 2025 0.006 0.008 0.007 0.009 0.009 0.009 
 2026 0.007 0.008 0.007 0.009 0.009 0.009 
 2027 0.007 0.008 0.007 0.010 0.010 0.010 
 2028 0.007 0.009 0.007 0.011 0.011 0.011 
 2029 0.007 0.009 0.008 0.011 0.011 0.011 
 2030 0.008 0.010 0.008 0.012 0.012 0.012 
 2031 0.008 0.010 0.009 0.012 0.012 0.012 
 2032 0.009 0.011 0.009 0.013 0.013 0.013 
 2033 0.010 0.011 0.009 0.013 0.013 0.013 
 2034 0.010 0.011 0.010 0.013 0.013 0.013 
 2035 0.011 0.011 0.010 0.014 0.014 0.014 
 2036 0.011 0.011 0.011 0.014 0.014 0.014 
 2037 0.012 0.011 0.011 0.014 0.014 0.014 
 2038 0.012 0.012 0.011 0.014 0.014 0.014 
 2039 0.012 0.012 0.012 0.014 0.014 0.014 
 2040 0.012 0.013 0.012 0.015 0.015 0.015 
 2041 0.013 0.013 0.012 0.015 0.015 0.015 
 2042 0.013 0.014 0.013 0.015 0.015 0.015 
 2043 0.013 0.015 0.013 0.015 0.015 0.015 
 2044 0.013 0.015 0.013 0.015 0.015 0.015 
 2045 0.013 0.016 0.014 0.015 0.015 0.015 
 2046 0.014 0.016 0.014 0.016 0.016 0.016 
 2047 0.014 0.016 0.014 0.017 0.017 0.017 
 2048 0.014 0.016 0.014 0.018 0.018 0.018 
 2049 0.014 0.016 0.015 0.019 0.019 0.019 
 2050 0.015 0.017 0.015 0.020 0.020 0.020 
 2051 0.015 0.017 0.016 0.020 0.020 0.020 
 2052 0.015 0.018 0.016 0.021 0.021 0.021 
 2053 0.015 0.018 0.017 0.021 0.021 0.021 
 2054 0.015 0.019 0.017 0.022 0.022 0.022 
 2055 0.016 0.019 0.018 0.023 0.023 0.023 
 2056 0.016 0.019 0.018 0.023 0.023 0.023 
 2057 0.016 0.020 0.018 0.024 0.024 0.024 
 2058 0.017 0.020 0.019 0.025 0.025 0.025 
 2059 0.017 0.020 0.019 0.025 0.025 0.025 
 2060 0.018 0.021 0.020 0.026 0.026 0.026 
 2061 0.018 0.021 0.020 0.027 0.027 0.027 
 2062 0.019 0.022 0.020 0.027 0.027 0.027 
 2063 0.019 0.023 0.020 0.028 0.028 0.028 
 2064 0.019 0.023 0.021 0.029 0.029 0.029 
 2065 0.019 0.024 0.021 0.030 0.030 0.030 
 2066 0.020 0.024 0.022 0.031 0.031 0.031 
 2067 0.020 0.025 0.023 0.032 0.032 0.032 
 2068 0.020 0.025 0.023 0.033 0.033 0.033 
 2069 0.021 0.025 0.024 0.033 0.033 0.033 
 2070 0.021 0.026 0.024 0.034 0.034 0.034 
 2071 0.021 0.026 0.025 0.034 0.034 0.034 
 2072 0.021 0.027 0.025 0.035 0.035 0.035 
 2073 0.022 0.027 0.026 0.036 0.036 0.036 
 2074 0.023 0.027 0.027 0.037 0.037 0.037 
 2075 0.023 0.028 0.028 0.038 0.038 0.038 
 2076 0.024 0.028 0.029 0.038 0.038 0.038 
 2077 0.024 0.029 0.029 0.039 0.039 0.039 
 2078 0.025 0.030 0.030 0.040 0.040 0.040 
 2079 0.025 0.030 0.030 0.041 0.041 0.041 
 2080 0.025 0.031 0.031 0.042 0.042 0.042 
 2081 0.026 0.031 0.032 0.043 0.043 0.043 
 2082 0.026 0.032 0.032 0.045 0.045 0.045 
 2083 0.027 0.033 0.033 0.047 0.047 0.047 
 2084 0.027 0.034 0.033 0.048 0.048 0.048 
 2085 0.028 0.034 0.034 0.049 0.049 0.049 
 2086 0.028 0.034 0.035 0.051 0.051 0.051 
 2087 0.029 0.034 0.036 0.052 0.052 0.052 
 2088 0.029 0.034 0.036 0.054 0.054 0.054 
 2089 0.030 0.035 0.037 0.055 0.055 0.055 
 2090 0.030 0.035 0.037 0.057 0.057 0.057 
 2091 0.031 0.036 0.038 0.059 0.059 0.059 
 2092 0.031 0.036 0.038 0.060 0.060 0.060 
 2093 0.032 0.037 0.039 0.062 0.062 0.062 
 2094 0.032 0.038 0.039 0.064 0.064 0.064 
 2095 0.033 0.039 0.040 0.065 0.065 0.065 
 2096 0.033 0.040 0.041 0.067 0.067 0.067 
 2097 0.033 0.040 0.041 0.068 0.068 0.068 
 2098 0.033 0.041 0.042 0.070 0.070 0.070 
 2099 0.033 0.042 0.043 0.071 0.071 0.071 
 2100 0.033 0.043 0.044 0.073 0.073 0.073 
 2101 0.034 0.043 0.045 0.074 0.074 0.074 
 2102 0.034 0.044 0.046 0.076 0.076 0.076 
 2103 0.034 0.045 0.047 0.078 0.078 0.078 
 2104 0.034 0.045 0.048 0.079 0.079 0.079 
 2105 0.034 0.046 0.049 0.081 0.081 0.081 
 2106 0.034 0.047 0.050 0.082 0.082 0.082 
 2107 0.034 0.049 0.051 0.084 0.084 0.084 
 2108 0.034 0.049 0.052 0.086 0.086 0.086 
 2109 0.035 0.050 0.053 0.088 0.088 0.088 
 2110 0.035 0.051 0.054 0.090 0.090 0.090 
 2111 0.035 0.052 0.056 0.091 0.091 0.091 
 2112 0.036 0.053 0.057 0.094 0.094 0.094 
 2113 0.037 0.053 0.058 0.096 0.096 0.096 
 2114 0.038 0.053 0.059 0.099 0.099 0.099 
 2115 0.039 0.054 0.060 0.101 0.101 0.101 
 2116 0.040 0.054 0.061 0.103 0.103 0.103 
 2117 0.041 0.055 0.062 0.105 0.105 0.105 
 2118 0.041 0.056 0.063 0.106 0.106 0.106 
 2119 0.042 0.056 0.064 0.108 0.108 0.108 
 2120 0.042 0.057 0.065 0.110 0.110 0.110 
 2121 0.042 0.058 0.067 0.112 0.112 0.112 
 2122 0.043 0.060 0.068 0.114 0.114 0.114 
 2123 0.043 0.060 0.070 0.115 0.115 0.115 
 2124 0.043 0.061 0.071 0.116 0.116 0.116 
 2125 0.044 0.062 0.072 0.118 0.118 0.118 
 2126 0.045 0.063 0.073 0.119 0.119 0.119 
 2127 0.045 0.064 0.075 0.121 0.121 0.121 
 2128 0.045 0.064 0.076 0.124 0.124 0.124 
 2129 0.046 0.065 0.077 0.126 0.126 0.126 
 2130 0.046 0.066 0.078 0.128 0.128 0.128 
 2131 0.047 0.066 0.079 0.131 0.131 0.131 
 2132 0.047 0.067 0.081 0.134 0.134 0.134 
 2133 0.048 0.068 0.082 0.136 0.136 0.136 
 2134 0.048 0.068 0.083 0.139 0.139 0.139 
 2135 0.048 0.069 0.085 0.141 0.141 0.141 
 2136 0.048 0.069 0.086 0.143 0.143 0.143 
 2137 0.049 0.070 0.088 0.146 0.146 0.146 
 2138 0.049 0.071 0.089 0.148 0.148 0.148 
 2139 0.049 0.072 0.090 0.151 0.151 0.151 
 2140 0.050 0.073 0.092 0.154 0.154 0.154 
 2141 0.050 0.074 0.093 0.156 0.156 0.156 
 2142 0.051 0.074 0.094 0.158 0.158 0.158 
 2143 0.051 0.075 0.095 0.161 0.161 0.161 
 2144 0.051 0.076 0.096 0.164 0.164 0.164 
 2145 0.052 0.076 0.098 0.166 0.166 0.166 
 2146 0.052 0.077 0.100 0.168 0.169 0.169 
 2147 0.052 0.077 0.102 0.171 0.171 0.171 
 2148 0.052 0.078 0.104 0.173 0.174 0.174 
 2149 0.053 0.078 0.105 0.175 0.177 0.177 
 2150 0.053 0.079 0.107 0.177 0.180 0.180 
 2151 0.054 0.080 0.108 0.181 0.183 0.183 
 2152 0.054 0.081 0.110 0.184 0.187 0.187 
 2153 0.055 0.082 0.111 0.187 0.191 0.191 
 2154 0.056 0.082 0.112 0.190 0.194 0.194 
 2155 0.056 0.083 0.114 0.193 0.198 0.198 
 2156 0.057 0.085 0.115 0.195 0.201 0.201 
 2157 0.058 0.086 0.117 0.198 0.205 0.205 
 2158 0.058 0.086 0.118 0.201 0.208 0.208 
 2159 0.059 0.087 0.120 0.204 0.211 0.211 
 2160 0.059 0.088 0.121 0.207 0.214 0.214 
 2161 0.060 0.089 0.123 0.210 0.218 0.218 
 2162 0.061 0.090 0.125 0.212 0.222 0.222 
 2163 0.062 0.090 0.126 0.214 0.226 0.226 
 2164 0.062 0.091 0.128 0.216 0.230 0.230 
 2165 0.062 0.091 0.129 0.219 0.233 0.233 
 2166 0.062 0.092 0.130 0.221 0.237 0.237 
 2167 0.063 0.093 0.131 0.224 0.240 0.240 
 2168 0.063 0.094 0.133 0.226 0.245 0.245 
 2169 0.063 0.095 0.134 0.229 0.249 0.249 
 2170 0.063 0.096 0.135 0.232 0.253 0.253 
 2171 0.063 0.097 0.136 0.235 0.257 0.257 
 2172 0.064 0.098 0.137 0.239 0.261 0.261 
 2173 0.065 0.098 0.138 0.242 0.265 0.265 
 2174 0.066 0.099 0.139 0.246 0.268 0.268 
 2175 0.066 0.100 0.140 0.250 0.271 0.271 
 2176 0.067 0.100 0.142 0.253 0.274 0.274 
