year glaciers_MMCP2.6 glaciers_MMCP4.5 glaciers_MMCP6.0 glaciers_MMCP-break glaciers_MMCP8.5 glaciers_MMCP-feedback 
 2001 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 
 2002 0.000 0.000 0.000 0.000 0.000 0.000 
 2003 0.001 0.001 0.001 0.001 0.001 0.001 
 2004 0.001 0.001 0.001 0.001 0.001 0.001 
 2005 0.001 0.001 0.001 0.001 0.001 0.001 
 2006 0.001 0.001 0.001 0.001 0.001 0.001 
 2007 0.002 0.002 0.002 0.002 0.002 0.002 
 2008 0.002 0.002 0.002 0.002 0.002 0.002 
 2009 0.002 0.002 0.002 0.002 0.002 0.002 
 2010 0.003 0.003 0.003 0.003 0.003 0.003 
 2011 0.003 0.003 0.003 0.003 0.003 0.003 
 2012 0.004 0.004 0.004 0.004 0.004 0.004 
 2013 0.004 0.004 0.004 0.004 0.004 0.004 
 2014 0.005 0.005 0.004 0.005 0.005 0.005 
 2015 0.005 0.005 0.005 0.005 0.005 0.005 
 2016 0.005 0.006 0.005 0.006 0.006 0.006 
 2017 0.006 0.006 0.006 0.007 0.007 0.007 
 2018 0.007 0.007 0.006 0.007 0.007 0.007 
 2019 0.007 0.007 0.007 0.008 0.008 0.008 
 2020 0.008 0.008 0.007 0.008 0.008 0.008 
 2021 0.008 0.008 0.008 0.009 0.009 0.009 
 2022 0.008 0.009 0.008 0.009 0.009 0.009 
 2023 0.009 0.009 0.009 0.010 0.010 0.010 
 2024 0.009 0.010 0.009 0.010 0.010 0.010 
 2025 0.010 0.011 0.010 0.011 0.011 0.011 
 2026 0.010 0.011 0.010 0.011 0.011 0.011 
 2027 0.010 0.012 0.011 0.012 0.012 0.012 
 2028 0.011 0.012 0.011 0.012 0.012 0.012 
 2029 0.011 0.013 0.012 0.013 0.013 0.013 
 2030 0.012 0.013 0.012 0.013 0.013 0.013 
 2031 0.013 0.014 0.013 0.014 0.014 0.014 
 2032 0.013 0.014 0.014 0.014 0.014 0.014 
 2033 0.014 0.015 0.014 0.015 0.015 0.015 
 2034 0.014 0.015 0.015 0.016 0.016 0.016 
 2035 0.015 0.015 0.015 0.016 0.016 0.016 
 2036 0.015 0.016 0.016 0.017 0.017 0.017 
 2037 0.016 0.016 0.016 0.017 0.017 0.017 
 2038 0.016 0.017 0.017 0.018 0.018 0.018 
 2039 0.017 0.017 0.017 0.018 0.018 0.018 
 2040 0.017 0.018 0.018 0.019 0.019 0.019 
 2041 0.018 0.018 0.018 0.019 0.019 0.019 
 2042 0.019 0.019 0.019 0.020 0.020 0.020 
 2043 0.019 0.019 0.019 0.020 0.020 0.020 
 2044 0.019 0.020 0.020 0.021 0.021 0.021 
 2045 0.020 0.020 0.020 0.021 0.021 0.021 
 2046 0.020 0.021 0.021 0.022 0.022 0.022 
 2047 0.021 0.021 0.021 0.023 0.023 0.023 
 2048 0.021 0.022 0.022 0.023 0.023 0.023 
 2049 0.022 0.023 0.022 0.024 0.024 0.024 
 2050 0.023 0.023 0.023 0.025 0.025 0.025 
 2051 0.023 0.024 0.023 0.025 0.025 0.025 
 2052 0.024 0.024 0.024 0.026 0.026 0.026 
 2053 0.024 0.025 0.024 0.026 0.026 0.026 
 2054 0.025 0.026 0.025 0.027 0.027 0.027 
 2055 0.025 0.026 0.026 0.028 0.028 0.028 
 2056 0.026 0.027 0.026 0.029 0.029 0.029 
 2057 0.027 0.028 0.027 0.029 0.029 0.029 
 2058 0.027 0.028 0.028 0.030 0.030 0.030 
 2059 0.028 0.029 0.028 0.031 0.031 0.031 
 2060 0.028 0.030 0.029 0.031 0.031 0.031 
 2061 0.029 0.030 0.030 0.032 0.032 0.032 
 2062 0.029 0.031 0.030 0.033 0.033 0.033 
 2063 0.030 0.031 0.031 0.033 0.033 0.033 
 2064 0.030 0.032 0.031 0.034 0.034 0.034 
 2065 0.031 0.033 0.032 0.034 0.034 0.034 
 2066 0.032 0.033 0.033 0.035 0.035 0.035 
 2067 0.032 0.034 0.033 0.035 0.035 0.035 
 2068 0.033 0.034 0.034 0.036 0.036 0.036 
 2069 0.034 0.035 0.034 0.037 0.037 0.037 
 2070 0.034 0.036 0.035 0.037 0.037 0.037 
 2071 0.035 0.036 0.035 0.038 0.038 0.038 
 2072 0.035 0.037 0.036 0.039 0.039 0.039 
 2073 0.036 0.038 0.037 0.039 0.039 0.039 
 2074 0.036 0.038 0.037 0.040 0.040 0.040 
 2075 0.037 0.039 0.038 0.041 0.041 0.041 
 2076 0.038 0.039 0.038 0.041 0.041 0.041 
 2077 0.038 0.040 0.039 0.042 0.042 0.042 
 2078 0.038 0.040 0.039 0.042 0.042 0.042 
 2079 0.039 0.041 0.040 0.043 0.043 0.043 
 2080 0.039 0.042 0.041 0.044 0.044 0.044 
 2081 0.040 0.042 0.041 0.045 0.045 0.045 
 2082 0.040 0.043 0.042 0.045 0.045 0.045 
 2083 0.041 0.043 0.042 0.046 0.046 0.046 
 2084 0.042 0.044 0.043 0.046 0.046 0.046 
 2085 0.042 0.044 0.044 0.047 0.047 0.047 
 2086 0.043 0.045 0.044 0.048 0.048 0.048 
 2087 0.043 0.045 0.045 0.048 0.048 0.048 
 2088 0.044 0.046 0.045 0.049 0.049 0.049 
 2089 0.044 0.046 0.046 0.050 0.050 0.050 
 2090 0.044 0.047 0.047 0.050 0.050 0.050 
 2091 0.045 0.048 0.047 0.051 0.051 0.051 
 2092 0.045 0.048 0.048 0.052 0.052 0.052 
 2093 0.046 0.049 0.048 0.052 0.052 0.052 
 2094 0.046 0.049 0.049 0.053 0.053 0.053 
 2095 0.047 0.050 0.050 0.053 0.053 0.053 
 2096 0.047 0.050 0.050 0.054 0.054 0.054 
 2097 0.048 0.051 0.051 0.055 0.055 0.055 
 2098 0.048 0.051 0.051 0.055 0.055 0.055 
 2099 0.049 0.052 0.052 0.056 0.056 0.056 
 2100 0.049 0.052 0.052 0.057 0.057 0.057 
 2101 0.050 0.053 0.053 0.057 0.057 0.057 
 2102 0.050 0.053 0.053 0.058 0.058 0.058 
 2103 0.051 0.054 0.054 0.059 0.059 0.059 
 2104 0.051 0.054 0.055 0.059 0.059 0.059 
 2105 0.052 0.055 0.055 0.060 0.060 0.060 
 2106 0.052 0.055 0.056 0.060 0.060 0.060 
 2107 0.052 0.056 0.056 0.061 0.061 0.061 
 2108 0.053 0.056 0.057 0.062 0.062 0.062 
 2109 0.053 0.057 0.057 0.062 0.062 0.062 
 2110 0.054 0.057 0.058 0.063 0.063 0.063 
 2111 0.054 0.058 0.059 0.064 0.064 0.064 
 2112 0.055 0.058 0.059 0.064 0.064 0.064 
 2113 0.055 0.059 0.060 0.065 0.065 0.065 
 2114 0.055 0.059 0.060 0.065 0.065 0.065 
 2115 0.056 0.060 0.061 0.066 0.066 0.066 
 2116 0.056 0.060 0.061 0.067 0.067 0.067 
 2117 0.057 0.061 0.062 0.067 0.067 0.067 
 2118 0.057 0.061 0.063 0.068 0.068 0.068 
 2119 0.058 0.062 0.063 0.069 0.069 0.069 
 2120 0.058 0.062 0.064 0.069 0.069 0.069 
 2121 0.059 0.063 0.064 0.070 0.070 0.070 
 2122 0.059 0.063 0.065 0.070 0.070 0.070 
 2123 0.060 0.064 0.065 0.071 0.071 0.071 
 2124 0.060 0.064 0.066 0.072 0.072 0.072 
 2125 0.061 0.065 0.066 0.072 0.072 0.072 
 2126 0.061 0.065 0.067 0.073 0.073 0.073 
 2127 0.061 0.066 0.067 0.073 0.073 0.073 
 2128 0.062 0.066 0.068 0.074 0.074 0.074 
 2129 0.062 0.066 0.068 0.075 0.075 0.075 
 2130 0.062 0.067 0.069 0.075 0.075 0.075 
 2131 0.063 0.067 0.069 0.076 0.076 0.076 
 2132 0.063 0.068 0.070 0.076 0.076 0.076 
 2133 0.064 0.068 0.070 0.077 0.077 0.077 
 2134 0.064 0.069 0.071 0.078 0.078 0.078 
 2135 0.064 0.069 0.071 0.078 0.078 0.078 
 2136 0.065 0.070 0.072 0.079 0.079 0.079 
 2137 0.065 0.070 0.072 0.079 0.079 0.079 
 2138 0.066 0.071 0.073 0.080 0.080 0.080 
 2139 0.066 0.071 0.074 0.080 0.080 0.080 
 2140 0.066 0.071 0.074 0.081 0.081 0.081 
 2141 0.067 0.072 0.075 0.082 0.082 0.082 
 2142 0.067 0.072 0.075 0.082 0.082 0.082 
 2143 0.067 0.073 0.076 0.083 0.083 0.083 
 2144 0.068 0.073 0.076 0.083 0.083 0.083 
 2145 0.068 0.074 0.077 0.084 0.084 0.084 
 2146 0.069 0.074 0.077 0.085 0.085 0.085 
 2147 0.069 0.075 0.078 0.085 0.085 0.085 
 2148 0.069 0.075 0.078 0.086 0.086 0.086 
 2149 0.070 0.075 0.079 0.086 0.086 0.086 
 2150 0.070 0.076 0.079 0.087 0.087 0.087 
 2151 0.070 0.076 0.080 0.087 0.087 0.087 
 2152 0.071 0.077 0.080 0.088 0.088 0.088 
 2153 0.071 0.077 0.081 0.089 0.089 0.089 
 2154 0.071 0.078 0.081 0.089 0.089 0.089 
 2155 0.072 0.078 0.082 0.090 0.090 0.090 
 2156 0.072 0.078 0.082 0.090 0.090 0.090 
 2157 0.072 0.079 0.083 0.091 0.091 0.091 
 2158 0.073 0.079 0.083 0.091 0.091 0.091 
 2159 0.073 0.080 0.084 0.092 0.092 0.092 
 2160 0.074 0.080 0.084 0.092 0.093 0.093 
 2161 0.074 0.081 0.085 0.093 0.093 0.093 
 2162 0.074 0.081 0.085 0.094 0.094 0.094 
 2163 0.075 0.081 0.085 0.094 0.094 0.094 
 2164 0.075 0.082 0.086 0.095 0.095 0.095 
 2165 0.076 0.082 0.086 0.095 0.095 0.095 
 2166 0.076 0.083 0.087 0.096 0.096 0.096 
 2167 0.076 0.083 0.087 0.096 0.097 0.097 
 2168 0.077 0.084 0.088 0.097 0.097 0.097 
 2169 0.077 0.084 0.088 0.098 0.098 0.098 
 2170 0.078 0.084 0.089 0.098 0.098 0.098 
 2171 0.078 0.085 0.089 0.099 0.099 0.099 
 2172 0.078 0.085 0.090 0.099 0.099 0.099 
 2173 0.079 0.086 0.090 0.100 0.100 0.100 
 2174 0.079 0.086 0.090 0.100 0.100 0.100 
 2175 0.079 0.086 0.091 0.101 0.101 0.101 
