year steric_MMCP2.6 steric_MMCP4.5 steric_MMCP6.0 steric_MMCP-break steric_MMCP8.5 steric_MMCP-feedback 
 2001 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 
 2002 0.001 0.001 0.001 0.001 0.001 0.001 
 2003 0.002 0.002 0.002 0.002 0.002 0.002 
 2004 0.003 0.003 0.003 0.003 0.003 0.003 
 2005 0.004 0.004 0.004 0.004 0.004 0.004 
 2006 0.005 0.005 0.005 0.005 0.005 0.005 
 2007 0.006 0.007 0.006 0.005 0.005 0.005 
 2008 0.008 0.008 0.007 0.006 0.006 0.006 
 2009 0.010 0.009 0.008 0.007 0.007 0.007 
 2010 0.011 0.011 0.010 0.009 0.009 0.009 
 2011 0.012 0.012 0.012 0.011 0.011 0.011 
 2012 0.013 0.013 0.014 0.012 0.012 0.012 
 2013 0.014 0.015 0.015 0.015 0.015 0.015 
 2014 0.016 0.016 0.015 0.017 0.017 0.017 
 2015 0.017 0.017 0.016 0.018 0.018 0.018 
 2016 0.018 0.018 0.017 0.019 0.019 0.019 
 2017 0.019 0.018 0.018 0.020 0.020 0.020 
 2018 0.021 0.020 0.021 0.021 0.021 0.021 
 2019 0.022 0.021 0.022 0.023 0.023 0.023 
 2020 0.024 0.022 0.024 0.024 0.024 0.024 
 2021 0.025 0.023 0.025 0.026 0.026 0.026 
 2022 0.025 0.025 0.026 0.027 0.027 0.027 
 2023 0.026 0.026 0.027 0.029 0.029 0.029 
 2024 0.027 0.027 0.028 0.030 0.030 0.030 
 2025 0.029 0.029 0.029 0.031 0.031 0.031 
 2026 0.031 0.030 0.030 0.033 0.033 0.033 
 2027 0.032 0.030 0.031 0.034 0.034 0.034 
 2028 0.034 0.032 0.032 0.036 0.036 0.036 
 2029 0.035 0.034 0.034 0.038 0.038 0.038 
 2030 0.037 0.036 0.035 0.039 0.039 0.039 
 2031 0.038 0.037 0.037 0.040 0.040 0.040 
 2032 0.039 0.039 0.038 0.042 0.042 0.042 
 2033 0.040 0.041 0.039 0.043 0.043 0.043 
 2034 0.041 0.042 0.041 0.046 0.046 0.046 
 2035 0.043 0.045 0.042 0.048 0.048 0.048 
 2036 0.045 0.046 0.044 0.050 0.050 0.050 
 2037 0.046 0.047 0.046 0.052 0.052 0.052 
 2038 0.047 0.048 0.047 0.055 0.055 0.055 
 2039 0.049 0.050 0.049 0.057 0.057 0.057 
 2040 0.050 0.052 0.051 0.058 0.058 0.058 
 2041 0.052 0.053 0.052 0.059 0.059 0.059 
 2042 0.053 0.055 0.053 0.061 0.061 0.061 
 2043 0.054 0.057 0.055 0.064 0.064 0.064 
 2044 0.056 0.059 0.057 0.066 0.066 0.066 
 2045 0.058 0.061 0.059 0.068 0.068 0.068 
 2046 0.059 0.063 0.061 0.071 0.071 0.071 
 2047 0.061 0.065 0.062 0.073 0.073 0.073 
 2048 0.063 0.066 0.064 0.075 0.075 0.075 
 2049 0.065 0.068 0.066 0.077 0.077 0.077 
 2050 0.066 0.069 0.068 0.080 0.080 0.080 
 2051 0.068 0.070 0.070 0.082 0.082 0.082 
 2052 0.069 0.071 0.072 0.084 0.084 0.084 
 2053 0.070 0.074 0.074 0.086 0.086 0.086 
 2054 0.072 0.076 0.076 0.089 0.089 0.089 
 2055 0.073 0.078 0.078 0.091 0.091 0.091 
 2056 0.074 0.080 0.080 0.093 0.093 0.093 
 2057 0.075 0.083 0.083 0.095 0.095 0.095 
 2058 0.076 0.085 0.085 0.098 0.098 0.098 
 2059 0.078 0.087 0.086 0.101 0.101 0.101 
