year SL_MMCP2.6 SL_MMCP4.5 SL_MMCP6.0 SL_MMCP-break SL_MMCP8.5 SL_MMCP-feedback 
 2001 0.000 0.000 0.000 0.000 0.000 0.000 
 2002 0.002 0.001 0.002 0.002 0.002 0.002 
 2003 0.004 0.003 0.004 0.004 0.004 0.004 
 2004 0.006 0.005 0.006 0.006 0.006 0.006 
 2005 0.007 0.006 0.007 0.008 0.008 0.008 
 2006 0.008 0.007 0.008 0.009 0.009 0.009 
 2007 0.010 0.010 0.009 0.010 0.010 0.010 
 2008 0.012 0.011 0.010 0.012 0.012 0.012 
 2009 0.015 0.012 0.012 0.014 0.014 0.014 
 2010 0.018 0.015 0.015 0.016 0.016 0.016 
 2011 0.020 0.017 0.018 0.018 0.018 0.018 
 2012 0.021 0.020 0.022 0.021 0.021 0.021 
 2013 0.023 0.023 0.024 0.025 0.025 0.025 
 2014 0.025 0.025 0.024 0.027 0.027 0.027 
 2015 0.028 0.028 0.026 0.030 0.030 0.030 
 2016 0.029 0.030 0.028 0.032 0.032 0.032 
 2017 0.031 0.032 0.030 0.034 0.034 0.034 
 2018 0.033 0.034 0.033 0.036 0.036 0.036 
 2019 0.035 0.037 0.035 0.039 0.039 0.039 
 2020 0.038 0.039 0.038 0.041 0.041 0.041 
 2021 0.040 0.042 0.041 0.044 0.044 0.044 
 2022 0.041 0.044 0.043 0.046 0.046 0.046 
 2023 0.043 0.046 0.044 0.049 0.049 0.049 
 2024 0.046 0.048 0.046 0.051 0.051 0.051 
 2025 0.048 0.050 0.048 0.054 0.054 0.054 
 2026 0.051 0.052 0.050 0.057 0.057 0.057 
 2027 0.053 0.054 0.053 0.059 0.059 0.059 
 2028 0.055 0.057 0.055 0.063 0.063 0.063 
 2029 0.058 0.060 0.057 0.066 0.066 0.066 
 2030 0.060 0.063 0.059 0.069 0.069 0.069 
 2031 0.062 0.066 0.062 0.071 0.071 0.071 
 2032 0.064 0.068 0.064 0.074 0.074 0.074 
 2033 0.066 0.070 0.067 0.076 0.076 0.076 
 2034 0.069 0.072 0.069 0.080 0.080 0.080 
 2035 0.072 0.076 0.072 0.083 0.083 0.083 
 2036 0.075 0.077 0.076 0.086 0.086 0.086 
 2037 0.077 0.079 0.079 0.089 0.089 0.089 
 2038 0.079 0.080 0.081 0.092 0.092 0.092 
 2039 0.082 0.083 0.083 0.095 0.095 0.095 
 2040 0.084 0.085 0.086 0.097 0.097 0.097 
 2041 0.086 0.088 0.089 0.099 0.099 0.099 
 2042 0.088 0.091 0.091 0.102 0.102 0.102 
 2043 0.089 0.094 0.094 0.105 0.105 0.105 
 2044 0.092 0.097 0.097 0.109 0.109 0.109 
 2045 0.094 0.100 0.100 0.111 0.111 0.111 
 2046 0.096 0.103 0.102 0.115 0.115 0.115 
 2047 0.098 0.107 0.104 0.119 0.119 0.119 
 2048 0.101 0.110 0.108 0.123 0.123 0.123 
