station name                       	Lon [deg]	Lat [deg]	slc (50%) [m]	alwnce (5%) [m] 	alwnce (17%) [m]	alwnce (50%) [m]	alwnce (83%) [m]	alwnce (95%) [m]	AF (5%) [m]     	AF (17%) [m]    	AF (50%) [m]    	AF (83%) [m]    	AF (95%) [m]    
Abashiri                           	144.283300	44.016700	0.710641	        0.431873	        0.522091	        0.751335	        1.025875	        1.127234	      446.683592	      446.683592	      446.683592	      446.683592	      501.187234
ABASHIRI                           	144.283300	44.016700	0.710641	        0.430540	        0.522918	        0.709892	        0.908160	        1.075876	      251.188643	      251.188643	      316.227766	      446.683592	      501.187234
Aberdeen                           	-2.074510	57.143250	0.475109	        0.230764	        0.338409	        0.538917	        0.832349	        0.885599	       35.481339	       79.432823	      223.872114	      501.187234	      707.945784
Aburatsu, Japan                    	131.416700	31.566700	0.770000	        0.379915	        0.539939	        0.773805	        1.037330	        1.222690	       22.387211	       35.481339	      125.892541	      281.838293	      354.813389
Aburatsu                           	131.416700	31.566700	0.770000	        0.377681	        0.535334	        0.774557	        1.037896	        1.225685	       15.848932	       28.183829	      100.000000	      251.188643	      354.813389
ABURATSU                           	131.416700	31.583300	0.770000	        0.382397	        0.538956	        0.773571	        1.034758	        1.221956	       15.848932	       28.183829	      100.000000	      251.188643	      354.813389
Acajutla-A                         	-89.833300	13.583300	0.739453	        0.455683	        0.604177	        0.948798	        1.179801	        1.202546	      562.341325	      630.957344	      630.957344	      630.957344	      630.957344
Acapulco-A,Gro.                    	-99.911700	16.840000	1.187922	        0.872523	        0.983629	        1.172156	        1.393773	        1.573422	      501.187234	      501.187234	      501.187234	      562.341325	      562.341325
Adak,Alaska                        	-176.631700	51.863300	0.380477	        0.037992	        0.204907	        0.474213	        0.811566	        0.863982	        2.511886	       15.848932	       89.125094	      251.188643	      354.813389
Adak                               	-176.635000	51.858300	0.380477	        0.037503	        0.211933	        0.487875	        0.812386	        0.869101	        2.238721	       17.782794	       89.125094	      251.188643	      354.813389
ADAK  SWEEPER COVE                 	-176.632000	51.863300	0.380477	        0.035901	        0.203123	        0.467275	        0.806482	        0.863098	        2.238721	       15.848932	       89.125094	      251.188643	      354.813389
ALAMEDA (NAVAL AIR STATION)        	-122.298300	37.771700	0.565250	        0.311241	        0.407444	        0.571749	        0.792329	        0.952626	      100.000000	      125.892541	      316.227766	      562.341325	      707.945784
Albany                             	117.883333	-35.033333	0.749320	        0.470832	        0.619451	        0.916338	        1.180458	        1.211692	      446.683592	      446.683592	      446.683592	      446.683592	      446.683592
Alert Bay,BC                       	-126.931000	50.587000	0.273078	        0.039238	        0.139322	        0.321259	        0.602887	        0.712978	        2.238721	        7.943282	       35.481339	      141.253754	      398.107171
algeciras                          	-5.433300	36.116700	0.521414	        0.233517	        0.346234	        0.519662	        0.735218	        0.900690	        5.011872	       10.000000	       35.481339	      125.892541	      316.227766
ANCHORAGE                          	-149.890000	61.238300	-0.321711	       -0.763891	       -0.414194	        0.152311	        0.194637	        0.219692	        0.112202	        0.112202	        3.162278	       22.387211	       31.622777
ANNAPOLIS (NAVAL ACADEMY)          	-76.481600	38.983300	0.827711	        0.462481	        0.602572	        0.827212	        1.089329	        1.300792	       15.848932	       28.183829	       63.095734	      177.827941	      316.227766
Antofagasta                        	-70.400000	-23.650000	0.519766	        0.248124	        0.363084	        0.599699	        0.891491	        0.909961	      501.187234	      562.341325	      562.341325	      562.341325	      562.341325
Argentia,NF                        	-53.983300	47.300000	0.697812	        0.261129	        0.437927	        0.724792	        1.012473	        1.217679	       22.387211	       50.118723	      251.188643	      562.341325	      707.945784
arrecife                           	-13.530000	28.972200	0.728414	        0.511851	        0.960541	        1.176343	        1.188858	        1.198811	      562.341325	      562.341325	      562.341325	      562.341325	      562.341325
Astoria,OR                         	-123.766700	46.208300	0.451344	        0.206160	        0.304525	        0.462795	        0.678632	        0.821902	       12.589254	       28.183829	       89.125094	      281.838293	      446.683592
ASTORIA (TONGUE POINT)             	-123.768300	46.207300	0.451344	        0.188193	        0.294835	        0.466158	        0.684732	        0.830906	        8.912509	       22.387211	       70.794578	      223.872114	      398.107171
Atlantic City                      	-74.418300	39.355000	0.871320	        0.635133	        0.724626	        0.878109	        1.076675	        1.224716	      158.489319	      199.526231	      398.107171	      630.957344	      707.945784
ATLANTIC CITY                      	-74.418300	39.355000	0.871320	        0.557540	        0.679237	        0.880001	        1.115916	        1.291398	       50.118723	       79.432823	      177.827941	      446.683592	      630.957344
Avonmouth                          	-2.714970	51.510890	0.531687	        0.321472	        0.422368	        0.634628	        0.889613	        0.948453	       35.481339	       56.234133	      100.000000	      177.827941	      281.838293
AYUKAWA                            	141.500000	38.300000	1.599156	        1.320448	        1.404461	        1.590905	        1.804348	        1.953808	      630.957344	      630.957344	      630.957344	      630.957344	      707.945784
Bakar                              	14.533000	45.300000	0.542891	        0.341888	        0.430048	        0.565883	        0.774183	        0.876710	      100.000000	      125.892541	      281.838293	      398.107171	      398.107171
Balboa                             	-79.573300	8.961700	0.735180	        0.472731	        0.665582	        1.121945	        1.137241	        1.146386	      398.107171	      398.107171	      446.683592	      562.341325	      501.187234
BALTIMORE                          	-76.578300	39.266700	0.797359	        0.399271	        0.552245	        0.794227	        1.078817	        1.314722	        7.079458	       12.589254	       25.118864	       79.432823	      199.526231
Baltra-B                           	-90.285000	-0.436700	0.747844	        0.427417	        0.565013	        0.787420	        1.039796	        1.178457	      501.187234	      501.187234	      501.187234	      501.187234	      501.187234
Bamfield,BC                        	-125.136000	48.836000	0.411234	        0.154231	        0.260688	        0.437346	        0.673675	        0.819088	        8.912509	       22.387211	       79.432823	      223.872114	      446.683592
barcelona                          	2.163000	41.342000	0.661414	        0.384741	        0.525156	        0.756959	        1.046663	        1.079924	      223.872114	      223.872114	      223.872114	      223.872114	      251.188643
BAR HARBOR, FRENCHMAN BAY, ME      	-68.205000	44.391700	0.680734	        0.458281	        0.549528	        0.690543	        0.942392	        1.044258	      251.188643	      281.838293	      501.187234	      707.945784	      794.328235
Barseback                          	12.903300	55.756400	0.425813	        0.031319	        0.179840	        0.431861	        0.753128	        1.061670	        1.412538	        4.466836	       11.220185	       31.622777	       63.095734
BAYONNE_BOUCAU                     	-1.514800	43.527300	0.546844	        0.348841	        0.451699	        0.732874	        0.884845	        0.919007	      199.526231	      223.872114	      398.107171	      501.187234	      562.341325
Beihai                             	109.083300	21.483300	0.683383	        0.330595	        0.474807	        0.700943	        0.956106	        1.109483	       28.183829	       56.234133	      177.827941	      354.813389	      446.683592
Bella Bella,BC                     	-128.143000	52.163000	0.415859	        0.175701	        0.271346	        0.435957	        0.677292	        0.803192	       11.220185	       25.118864	       70.794578	      223.872114	      630.957344
Bermuda                            	-64.699900	32.400000	0.669766	        0.182507	        0.335881	        0.683774	        1.059985	        1.216785	       56.234133	       70.794578	      112.201845	      398.107171	      501.187234
Bermuda-B                          	-64.703300	32.373300	0.669766	        0.174442	        0.368431	        0.711047	        1.119163	        1.233182	       70.794578	       79.432823	      125.892541	      398.107171	      562.341325
bilbao                             	-3.050000	43.357000	0.620461	        0.485801	        0.862312	        0.995839	        1.012029	        1.026609	      398.107171	      446.683592	      446.683592	      562.341325	      562.341325
bonanza                            	-6.340000	36.800000	0.713242	        0.437200	        0.549283	        0.725487	        0.938483	        1.067892	      141.253754	      177.827941	      316.227766	      501.187234	      562.341325
Booby Island                       	141.916667	-10.600000	0.552719	        0.235831	        0.378973	        0.633040	        0.984647	        1.050961	       31.622777	       63.095734	      223.872114	      398.107171	      501.187234
Boston,MA                          	-71.051700	42.355000	0.787391	        0.474606	        0.597298	        0.788181	        0.999574	        1.167655	       63.095734	      112.201845	      316.227766	      630.957344	      794.328235
BOSTON                             	-71.053400	42.354800	0.787391	        0.467945	        0.594622	        0.787120	        1.003840	        1.170299	       50.118723	      100.000000	      316.227766	      630.957344	      794.328235
Botany Bay                         	151.216667	-33.983333	0.702945	        0.456028	        0.572437	        0.784870	        1.065692	        1.120480	      562.341325	      562.341325	      562.341325	      562.341325	      630.957344
BOULOGNE-SUR-MER                   	1.577700	50.727400	0.576367	        0.340588	        0.447095	        0.628759	        0.871713	        0.964957	       70.794578	      125.892541	      251.188643	      446.683592	      562.341325
Brest                              	-4.500000	48.383300	0.539047	        0.331511	        0.448079	        0.706098	        0.861157	        0.875829	       89.125094	      141.253754	      251.188643	      446.683592	      562.341325
BREST                              	-4.495000	48.382900	0.539047	        0.332201	        0.448027	        0.718914	        0.860796	        0.874603	       89.125094	      141.253754	      251.188643	      446.683592	      562.341325
BRIDGEPORT                         	-73.181700	41.173300	0.755180	        0.322211	        0.486762	        0.751773	        1.056351	        1.303082	        5.011872	        8.912509	       17.782794	       50.118723	      125.892541
Brisbane                           	153.166667	-27.366667	0.727047	        0.468316	        0.618504	        1.123006	        1.148854	        1.165694	      630.957344	      630.957344	      630.957344	      630.957344	      630.957344
Broome                             	122.216667	-18.000000	0.772469	        0.621340	        0.936390	        1.199056	        1.222604	        1.241555	      316.227766	      354.813389	      501.187234	      630.957344	      630.957344
Buenaventura                       	-77.100000	3.900000	0.674484	        0.426322	        0.560784	        1.046825	        1.095201	        1.116203	      446.683592	      446.683592	      501.187234	      630.957344	      630.957344
Buenos Aires                       	-58.500000	-34.666700	0.676469	        0.221878	        0.395198	        0.664738	        0.982686	        1.248704	        2.818383	        4.466836	        7.943282	       14.125375	       22.387211
Bunbury                            	115.633333	-33.316667	0.732500	        0.386459	        0.518180	        0.726267	        0.967212	        1.166002	       25.118864	       50.118723	      141.253754	      316.227766	      446.683592
Bundaberg                          	152.383333	-24.766667	0.752516	        0.481450	        0.583215	        0.754029	        0.956008	        1.114663	       89.125094	      125.892541	      281.838293	      501.187234	      562.341325
Burnie                             	145.916667	-41.050000	0.712984	        0.452298	        0.594266	        1.052094	        1.106888	        1.130955	      707.945784	      794.328235	      794.328235	      794.328235	      794.328235
Cabo San Lucas                     	-109.908300	22.880000	0.694508	        0.381633	        0.560132	        1.083571	        1.146844	        1.180892	      630.957344	      630.957344	      630.957344	      630.957344	      630.957344
cadiz                              	-6.283300	36.533300	0.690336	        0.482513	        0.602070	        0.954654	        1.046611	        1.070571	      501.187234	      501.187234	      501.187234	      562.341325	      562.341325
Cairns                             	145.783333	-16.916667	0.769828	        0.503319	        0.601469	        0.796437	        1.057859	        1.217088	      354.813389	      398.107171	      446.683592	      562.341325	      630.957344
CALAIS                             	1.867700	50.969400	0.580008	        0.120333	        0.294314	        0.571148	        0.887693	        1.155179	        1.778279	        3.162278	        7.079458	       14.125375	       25.118864
Callao-B, Peru                     	-77.150000	-12.050000	0.644766	        0.348843	        0.437383	        0.662960	        0.920537	        1.023181	      501.187234	      501.187234	      501.187234	      501.187234	      501.187234
Callao-B                           	-77.150000	-12.050000	0.644766	        0.353293	        0.428426	        0.677651	        1.001824	        1.027930	      501.187234	      501.187234	      501.187234	      501.187234	      501.187234
CAMBRIDGE II                       	-76.068300	38.573300	0.841266	        0.545653	        0.659133	        0.845746	        1.064702	        1.227897	      177.827941	      177.827941	      354.813389	      501.187234	      562.341325
Campbell River,BC                  	-125.247000	50.042000	0.186242	       -0.037989	        0.052423	        0.208689	        0.462391	        0.596807	        0.446684	        2.511886	       14.125375	       89.125094	      316.227766
Cananeia                           	-47.925000	-25.016700	0.846930	        0.578062	        0.679305	        0.844146	        1.034593	        1.181457	       63.095734	      112.201845	      251.188643	      501.187234	      630.957344
Cape Ferguson                      	147.050000	-19.283333	0.782703	        0.513906	        0.626987	        0.819402	        1.079346	        1.208161	      223.872114	      251.188643	      398.107171	      501.187234	      562.341325
Cape May,NJ                        	-74.960000	38.968300	0.923828	        0.588018	        0.722796	        0.931774	        1.174851	        1.356320	      112.201845	      141.253754	      354.813389	      630.957344	      794.328235
Cape Town                          	18.433300	-33.900000	0.806328	        0.533639	        0.684927	        1.119351	        1.216457	        1.244978	      630.957344	      630.957344	      630.957344	      630.957344	      630.957344
CAPE MAY                           	-74.960000	38.968300	0.923828	        0.603728	        0.730078	        0.932711	        1.169572	        1.344147	      177.827941	      199.526231	      398.107171	      707.945784	      794.328235
Carnarvon                          	113.616667	-24.883333	0.753203	        0.381314	        0.528243	        0.753201	        1.017023	        1.211981	       19.952623	       39.810717	      141.253754	      354.813389	      501.187234
Cartagena                          	-75.533300	10.383300	0.909445	        0.620796	        0.654383	        0.874580	        1.159111	        1.328087	      354.813389	      354.813389	      398.107171	      398.107171	      398.107171
Cascais                            	-9.416700	38.691700	0.705570	        0.386206	        0.534350	        0.773035	        1.092001	        1.176561	      199.526231	      223.872114	      354.813389	      562.341325	      501.187234
catania                            	15.093900	37.498000	0.692117	        0.198110	        0.382571	        0.667182	        1.000556	        1.306656	        4.466836	        8.912509	       31.622777	      141.253754	      223.872114
Cendering                          	103.186700	5.265000	0.748398	        0.365578	        0.533196	        0.811937	        1.126579	        1.246325	      125.892541	      158.489319	      223.872114	      398.107171	      446.683592
Ceuta                              	-5.316700	35.900000	0.519508	        0.288989	        0.364752	        0.541588	        0.913235	        0.947127	      398.107171	      398.107171	      398.107171	      398.107171	      446.683592
ceuta                              	-5.316700	35.900000	0.519508	        0.289944	        0.366400	        0.558945	        0.925159	        0.949591	      398.107171	      446.683592	      446.683592	      446.683592	      446.683592
Charchanga                         	91.050000	22.216700	0.815016	        0.383855	        0.578107	        0.895326	        1.230866	        1.497324	       22.387211	       39.810717	      100.000000	      223.872114	      316.227766
